"simNum"	"IVsNum"	"P_largestGroup"	"eff_largestGroup"	"AIC_random"	"gamma_random"	"prop_random"	"eff_mean_minClass"	"sd_minClass"	"P_minClass_mean"	"eff_mean_maxClass"	"sd_maxClass"	"P_maxClass_mean"	"correct_factor"	"CHVP_test_correct"
"1"	9	108	0.0947758485036825	-0.032803026412272	-658.950885167905	"-0.032803026412272_0.204354302593932"	"0.518598208870363_0.481401791129637"	-0.0268766752802521	0.0194600718032529	0.170120003573727	0.192749215218686	0.0329757035019735	5.5466594043333e-08	1.35863864336351	2.1539119246293e-08
"2"	5	92	0.108585247289294	-0.0579646414270359	-549.286933666674	"-0.0579646414270359_0.189046867874096"	"0.500732982925858_0.499267017074142"	-0.0413949673408592	0.0357696065905816	0.250192164233978	0.172506437204701	0.0361279473409676	6.84453426285128e-06	1.17598200219572	3.68824874679636e-05
"3"	4	105	6.38362897988729e-12	0.15680993419341	-657.121192838741	"0.0779122510678606_0.15680993419341"	"0.481212222669334_0.518787777330666"	0.0841248593176595	0.0357364829361355	0.0204496118502506	0.151101763174992	0.0202288039509548	2.59367745852494e-11	1.17608050724028	0.128043747942842
"4"	10	115	0.0328561738426952	0.057536994627389	-720.656737792594	"0.057536994627389_0.152370832342457"	"0.506771661479506_0.493228338520494"	0.0715503989947339	0.0266358634291259	0.00830606567957366	0.136074958370803	0.0355214022957567	0.000209426318373854	1.23561027843249	0.190870288884216
"5"	6	95	1.80597638346529e-06	0.177838232724937	-547.205975496135	"0.0193099525677457_0.177838232724937"	"0.494614294094891_0.505385705905109"	0.0216125709348706	0.0421441274878504	0.609276645888009	0.177011447137315	0.0349149515800554	1.99143553073457e-06	1.12756328239605	0.00561400347429468
"6"	2	88	4.57215548097602e-05	0.142177912672877	-492.464504647489	"0.00173762940016713_0.142177912672877"	"0.452046022192697_0.547953977807303"	0.00263808263356274	0.0580555627807274	0.963860218952335	0.148162272566079	0.0331229163785996	2.31877332136514e-05	1.39819176683044	0.0505814397985486
"7"	8	124	0.68622836540554	-0.0120697980876374	-742.775569597267	"-0.0120697980876374_0.213521032966612"	"0.500107174481209_0.499892825518791"	0.00130449388647654	0.029806724143687	0.965162626066019	0.200880367907803	0.0290771799540475	2.32702906599068e-10	1.55810349226701	4.95323172068271e-06
"8"	7	111	0.0010597318119241	0.14867901373695	-661.017108041418	"0.0980323210912524_0.14867901373695"	"0.499983088918342_0.500016911081658"	0.0739273722478804	0.0451726945902605	0.104582543991787	0.174213819805907	0.0442032243011239	0.000142817847698939	1.03076864583707	0.117164235896867
"9"	3	102	0.00203525370691959	0.139026822778628	-610.679124191575	"0.0487311918662889_0.139026822778628"	"0.498708585623741_0.501291414376259"	0.0307895688106289	0.0338354054622944	0.364999168112076	0.158408788967333	0.0438943708899943	0.000480422887238886	1.76433779026008	0.0561352639209597
"10"	1	111	0.000297936974535489	0.143936630670781	-687.14332159282	"0.0469496684216229_0.143936630670781"	"0.49904165817344_0.50095834182656"	0.0296745795764451	0.0345324093238328	0.392029800226691	0.161918344976161	0.0385242471352322	5.38019876597475e-05	1.63146519421038	0.025564752940741
"11"	12	97	0.0302690330316629	0.0904042112899148	-571.595024582755	"0.0904042112899148_0.0904370840598466"	"0.500000000000022_0.499999999999978"	0.0603632944063502	0.041108823742691	0.145270637170703	0.122014172655413	0.0421699934467557	0.00471615843979354	1.37146965018833	0.407563246364768
"12"	15	86	1.2582633340854e-06	0.210001075675764	-501.20124816305	"-0.00126064361709163_0.210001075675764"	"0.499598408062817_0.500401591937183"	0.0186488285495015	0.0515983313029253	0.718680022342431	0.195231506807835	0.040243781786444	5.49659254075618e-06	2.32335934645567	0.0360746254860819
"13"	13	107	0.0258311706243286	0.0975125087825408	-634.078757021683	"0.0975033038115566_0.0975125087825408"	"0.499999999999998_0.500000000000003"	0.0752788007999591	0.0342202383498467	0.0299899978174353	0.124910834426765	0.0431368748711984	0.00459546788461751	1.1338635111611	0.413819119604906
"14"	11	111	0.588361544658632	0.017760996349434	-657.827927994437	"0.017760996349434_0.160469329477198"	"0.502389471210412_0.497610528789588"	0.0164632252206521	0.0327207090181291	0.615869094971711	0.163862242301965	0.0452890825206419	0.000449773856448235	1.06479682929892	0.00929161693008551
"15"	14	94	5.54102395404233e-07	0.204218973003065	-555.943146874855	"-0.0168267316014885_0.204218973003065"	"0.497957390620128_0.502042609379872"	5.90344327827443e-05	0.0430681631878955	0.998909259264016	0.187823540700826	0.0379607040785162	3.32744371586512e-06	1.54594236845724	0.00262132077991287
"16"	17	85	0.053482769451341	0.0741745480312855	-504.623169603046	"0.0741745480312855_0.14475198486595"	"0.503164524561999_0.496835475438001"	0.0548808286155388	0.0378719915818605	0.151028834418578	0.16550046658823	0.0443981436489331	0.000349679770011132	1.39369240447577	0.0950141132379164
"17"	16	105	0.264032469664399	0.0305491424177698	-646.425774018855	"0.0305491424177698_0.179966697382506"	"0.502087967385461_0.497912032614539"	0.0342066051354951	0.0272036822358863	0.211415909386892	0.176198570434619	0.0376162077492048	8.53582730812795e-06	1.2548390282132	0.00342859589123965
