simNum	IVsNum	P_1	eff_1	eff_mean_minClass	sd_minClass	P_minClass	P_minClass_mean	eff_mean_maxClass	sd_maxClass	P_maxClass	P_maxClass_mean	corTest_1	CHVP_test	AIC_1	gamma_1	prop_1
40	99	0.0968614864503497	0.103348593814755	0.0907143330301043	0.015935251170204	3.60759573789895e-09	1.3051621786014e-07	0.141135535430784	0.0616517834514871	0.0968614864503497	0.0242114820387908	0.99999632235486	0.428467749056501	-589.111517757362	0.103348429297209_0.103348593814755	0.499999999999994_0.500000000000006	
85	96	3.24153792986791e-06	0.089639075156075	0.0867692571361651	0.0181175541634049	3.24153792986791e-06	6.15325039091719e-06	0.128250672449842	0.0257550265561279	3.01527489711068e-06	2.84407217223179e-06	0.174218703239065	0.187730151759194	-602.842748621997	0.089639075156075_0.127882731232194	0.523050428422233_0.476949571577767	
78	81	0.00205892593438974	0.110225676849702	0.084860854261354	0.034599207625293	0.00205892593438974	0.0163550869090885	0.171558715320429	0.0564157723640956	0.05416934734479	0.00318747854168195	0.999559581169044	0.190187938047982	-440.507907958408	0.110225676849702_0.110248864875672	0.500000000000248_0.499999999999752	
70	102	0.000143559622964818	0.0778316470694474	0.077119255835436	0.0196917957276388	0.000143559622964818	0.000163568623929457	0.297389655832017	0.0489445242465481	3.5648279043545e-08	2.19445267202325e-08	1.50730983250469e-10	2.97771512343308e-05	-595.238787257354	0.0778316470694474_0.292165233236314	0.552100846395853_0.447899153604147	
47	107	5.585051778797e-06	0.0891941276232293	0.0966234546888746	0.0186447955876597	5.585051778797e-06	1.05364565089175e-06	0.167747213421594	0.0592121057387613	0.00102903735304165	0.00552111635281411	0.000783168933746525	0.251914138855298	-607.250752697614	0.0891941276232293_0.199897972761954	0.540703782097297_0.459296217902703	
17	96	0.0225172270191721	0.0614944094291615	0.0651421155824985	0.026513340616675	0.0225172270191721	0.0158266510866514	0.318685897975225	0.0567630790009142	3.06021167384901e-07	1.95138499358045e-07	1.71259895154208e-10	5.18788848145707e-05	-525.355120460973	0.0614944094291615_0.312775764028513	0.541669345106929_0.458330654893071	
93	96	0.0125589163755363	0.0470802166861642	0.0477804007018581	0.018503490200423	0.0125589163755363	0.0113434133669714	0.220036686745236	0.0726369061553162	0.0032761380146125	0.00315730269496502	7.91354701323854e-06	0.0215573052272368	-547.58115968478	0.0470802166861642_0.219145306439657	0.550761999123362_0.449238000876638	
24	114	0.00365025815291914	0.0497479920012602	0.0478321142849023	0.0167565368643476	0.00365025815291914	0.00512882026333177	0.290221084866913	0.0449519812603638	1.58680354837032e-09	2.78537522468047e-09	1.51123558111976e-12	4.35941784107103e-07	-648.938021162952	0.0497479920012602_0.295445826033684	0.551585506277694_0.448414493722306	
1	100	0.00441469074224794	0.0640528617231189	0.0622413766892814	0.0219827633189028	0.00441469074224794	0.0056145598354002	0.285300776556824	0.0428613239513908	8.70185692885329e-10	1.57563331758864e-09	5.73524783220591e-10	3.64458973451104e-06	-556.381078716812	0.0640528617231189_0.290702349981488	0.536053758886097_0.463946241113903	
32	116	0.183270849592839	0.0322174227347177	0.0318422998122185	0.0240641001501447	0.183270849592839	0.188384301340788	0.22573990871013	0.0449955450148659	1.15006750041971e-06	1.92962817095847e-06	2.20055085264903e-11	0.000144721356745271	-675.497186843298	0.0322174227347177_0.23116077469361	0.524887576266481_0.475112423733519	
55	98	0.0556610760804873	0.0724695664546441	0.0725026149708714	0.0374142782459205	0.0556610760804873	0.0555516787481771	0.209088629810601	0.0596083931819658	0.00039512603869517	0.000686677438936642	2.2966708245642e-05	0.0522869988710558	-546.877643651693	0.0724695664546441_0.218827905711996	0.526811453667308_0.473188546332692	
62	98	0.347262720989777	0.0370720318640889	0.0387018096838852	0.0392505791079747	0.347262720989777	0.326577015529407	0.168704245981371	0.0452987692871204	0.000184803012714732	0.000328939655941058	1.26755343154983e-06	0.0300871109693937	-569.878370289169	0.0370720318640889_0.176139639907776	0.508302702352275_0.491697297647725	
9	123	0.00135517121242172	0.0786410760712534	0.0755657594131749	0.023978995555749	0.00135517121242172	0.00204513126458212	0.309508044815628	0.0522010063174818	4.66562791706717e-08	2.90783226336916e-08	1.81994419534703e-11	4.65209566273018e-05	-671.5163576515	0.0786410760712534_0.304262339594558	0.507059729491212_0.492940270508788	
