simNum	IVsNum	P_random	eff_random	AIC_random	gamma_random	prop_random	P_fixed	eff_fixed	AIC_fixed	gamma_fixed	prop_fixed
66	93	0.0171037144312634	-0.0673672040530298	-548.299400228261	-0.0673672040530298_0.025221098603392	0.527365840141673_0.472634159858327	0.470641867304362	-0.036328772287262	-549.958534061951	-0.0363336443818854_-0.036328772287262	0.4999999999999_0.5000000000001
4	99	0.151654993792199	-0.0458202354874126	-576.194719442446	-0.0458202354874126_0.144197693710084	0.51676446651376_0.48323553348624	0.781462435680984	0.0250403944291673	-576.79382326369	0.0250238137246911_0.0250403944291673	0.499999999999913_0.500000000000087
96	100	0.0782330873911395	-0.115296675604045	-584.444943286594	-0.115296675604045_0.0768475052991186	0.516407234110403_0.483592765889597	0.626154508437274	-0.111737110847289	-580.747759362993	-0.111737110847289_0.0415444739023353	0.507219579396474_0.492780420603526
77	100	0.0349859923603538	-0.0631217261397134	-586.811929722459	-0.0631217261397134_0.137291347198399	0.51978063578126_0.48021936421874	0.113961914223607	-0.0686588901422699	-580.111119476085	-0.0686588901422699_0.142501974795801	0.525505180397751_0.474494819602249
72	98	0.319019094287194	-0.096447282553185	-543.530488476002	-0.096447282553185_0.0315277641388066	0.507986066628272_0.492013933371728	0.454606766194084	-0.0577221376628334	-545.635524029363	-0.0577386763453886_-0.0577221376628334	0.499999999999694_0.500000000000306
44	99	0.000113357952926216	-0.0994431669720881	-567.500698032135	-0.0994431669720881_0.0988750466460099	0.530006874510983_0.469993125489017	0.102820727167932	-0.110658121312741	-555.229869867736	-0.110658121312741_0.121843217825392	0.556475653923857_0.443524346076143
34	111	0.484868439533673	-0.0495756041383316	-633.086902147729	-0.0495756041383316_-0.0495618018918114	0.500000000000173_0.499999999999827	0.484723513092578	-0.0495733668414243	-637.086902164771	-0.0495733668414243_-0.049564034699013	0.500000000000135_0.499999999999865
21	104	0.327440031998666	-0.129315176961984	-619.378779489237	-0.129315176961984_-0.00536068486523489	0.52334890757706_0.47665109242294	0.132970891738081	-0.0820440177418257	-617.083930719108	-0.082044328727939_-0.0820440177418257	0.499999999999993_0.500000000000007
76	106	0.0261788961742899	-0.122405783030014	-614.0507164464	-0.122405783030014_0.0983960414045204	0.525359980115188_0.474640019884812	1.17471142626429e-08	-0.131489589643163	-615.495254267456	-0.131489589643163_0.230460652671115	0.668789312331618_0.331210687668382
92	125	0.0352005932360259	-0.142066974723669	-721.431406413985	-0.142066974723669_0.10341054216801	0.508622150305802_0.491377849694198	0.00100237264969455	-0.145226670001293	-722.969776605278	-0.145226670001293_0.136572241858577	0.549956408769041_0.450043591230959
8	111	0.0211889487426919	-0.136749336076907	-641.209006179059	-0.136749336076907_0.117435497397531	0.502483911412163_0.497516088587837	1.97716269705056e-05	-0.145276563073279	-638.105729404081	-0.145276563073279_0.173359997861376	0.556695569220553_0.443304430779447
93	83	0.000478617495638887	-0.109403531728674	-446.314024168571	-0.109403531728674_0.139482515864704	0.542013974785304_0.457986025214696	0.663625883460249	-0.102769047220174	-438.81209994237	-0.102769047220174_0.0403797535309476	0.505914942788264_0.494085057211736
35	140	0.0165253041444911	-0.124159478820445	-847.045528569854	-0.124159478820445_0.0827494425525103	0.518124256042355_0.481875743957645	5.47697184937178e-05	-0.138002276728945	-842.939269158233	-0.138002276728945_0.146090939620357	0.585240984060603_0.414759015939397
70	118	0.64952301862127	-0.0339564887865566	-701.611730598885	-0.0339564887865566_-0.0339410657781824	0.50000000000024_0.49999999999976	0.649523052303712	-0.0339589064603969	-705.611730598788	-0.0339589064603969_-0.0339386478977673	0.500000000000123_0.499999999999877
56	120	0.0173539733484858	-0.156835566609461	-663.657007548451	-0.156835566609461_0.115502868197804	0.505833522941795_0.494166477058205	0.0302132219309302	-0.164716945383267	-656.716451158062	-0.164716945383267_0.131166680358801	0.54029790012811_0.45970209987189
97	105	0.515686576436373	-0.121915371496968	-600.831187154357	-0.121915371496968_-0.0258703318477269	0.507423854677418_0.492576145322582	0.365640752100534	-0.0830827729844248	-602.08347289635	-0.083152353362223_-0.0830827729844248	0.499999999999486_0.500000000000514
25	81	0.035296039109985	-0.0975786910239593	-476.327376802654	-0.0975786910239593_0.0580075325592075	0.527147119553118_0.472852880446882	0.595341405727551	-0.0446625834481708	-475.807058452508	-0.0446625834481708_-0.0446463977018318	0.500000000000041_0.499999999999959
67	104	0.00718348235350182	-0.100543348430355	-612.824424077468	-0.100543348430355_0.109696415646182	0.509774478989825_0.490225521010175	0.00298211020065668	-0.122466557038434	-610.341525597461	-0.122466557038434_0.161936157780645	0.556966862146233_0.443033137853767
