simNum	IVsNum	P_mbe	eff_mbe	P_egger	eff_egger	P_ivw	eff_ivw	P_weightedMedian	eff_weightedMedian
31	104	0.0904373239832575	-0.0917969541652831	0.687248630187095	0.0415131150225934	0.854707538164255	-0.00441687723661428	0.0571518100753144	-0.0445202145021916	
91	100	0.0381113002847088	-0.109897867248583	0.358308753484892	-0.0780386729410095	0.507343470265565	-0.0152531333126532	0.0258709319570228	-0.0516218177317338	
76	106	0.0136503377908772	-0.105357577408251	0.796559279830112	-0.0201113266341482	0.346045147648097	-0.0203482457479996	0.00484480632266496	-0.0631641306897727	
86	123	0.217704498798044	-0.0577850802837829	0.114996661433141	0.114579284288538	0.738720319892997	0.00602431634246599	0.130733922606298	-0.0316306233381559	
81	114	0.674419057020295	-0.0210229654870986	0.389426731679053	-0.0742061566264305	0.163797853071218	0.0337259560503442	0.64614163486656	-0.0106142375475834	
96	100	0.234861065836441	-0.0583640961579728	0.0461752633515393	-0.147192549759936	0.144492281812265	-0.0296395006101907	0.0368774740829257	-0.04665993833842	
61	93	0.0114001575251933	-0.12188856930474	0.0927323089799625	-0.138508230755735	0.0324652918384819	-0.052165495127369	0.000195900017728556	-0.0882427101193428	
36	128	0.0250813142829385	-0.108090970688405	0.473445143400304	-0.053617711321612	0.0954484802922535	-0.0326821418415968	0.000151119218830643	-0.07780291918134	
6	105	0.0111736869133796	-0.120914269646057	0.805846257136693	-0.0193442629692944	0.0164988744630239	-0.0476059684372968	3.89313110791607e-06	-0.0997447473612772	
66	93	0.205538281260984	-0.0621276708947746	0.411155924269535	-0.0652857090187211	0.259257487957967	-0.0224730880601467	0.0796987450873771	-0.0392725858527728	
71	95	0.0282497205751373	-0.113884356484053	0.829257494182649	-0.0187908246494928	0.612532980252708	-0.0121260550711101	0.0203687271367231	-0.0556319201304008	
16	99	0.577567481201649	-0.0298736455028265	0.736354838251563	-0.0299675901150573	0.424785589425745	-0.0174207425065158	0.244532588303511	-0.0272313798252002	
21	104	0.00389357703632042	-0.151354625442721	0.936873787991668	0.00597705244989917	0.000645450895515096	-0.0661971865449353	1.02901876120246e-05	-0.0961743858813194	
11	102	0.0293292953624951	-0.110130653830748	0.149628259829643	0.136511577387231	0.855308657247485	-0.0041682895077954	0.024148035486333	-0.0524251684171095	
51	117	0.420962641695911	-0.0526567025455881	0.00483941072791372	0.261884899569116	0.120675742184507	0.0365423037706173	0.989862459842717	-0.000304064554296943	
46	109	0.67143080428395	-0.0301850967104179	0.50591555233254	0.0669590878892441	0.269010572076334	0.0238919642223262	0.835496413839758	-0.00485572815902368	
1	105	0.0102379725975044	-0.131388182454256	0.500534336805465	0.0729214570765604	0.672516902130272	-0.00962901435989791	0.00559376958799368	-0.0634127353130626	
41	99	0.00955956551454525	-0.120145170986629	0.180113748208404	-0.142860446736348	0.696427462381113	0.00995826015116335	0.00703115500989623	-0.0643714092991326	
56	120	0.119339855288153	-0.0866864379636826	0.555288830634809	-0.0525398099696936	0.285073656945169	-0.0244475204233524	0.00598278351586047	-0.062469998426566	
26	102	0.00162594164715371	-0.126680441382747	0.25357485703205	-0.0824547311290973	0.83079703968468	-0.004714447232945	0.0022537839673219	-0.0725270459817267	
32	111	0.0997588504724189	-0.0906911229790912	0.785189849609124	0.0233486312454729	0.562828817868113	0.013043537798243	0.138639674220068	-0.0341220241698183	
92	125	0.0475434067313172	-0.117883012579817	0.196773107401562	0.0982005023932712	0.434906513495911	-0.0146907505150418	0.00519721139971821	-0.0575003645907919	
37	89	0.0762755135777208	-0.101835923423153	0.242362415544252	0.126991266332102	0.613629563664063	-0.0133080357961281	0.0466972994045526	-0.0506603726578679	
87	111	0.252228528792331	-0.0763674955278595	0.557181649596405	-0.0541494461362782	0.881903718343839	-0.0033232023454036	0.0457413176185877	-0.0448133124947392	
77	100	0.520433852285227	-0.0343447235274602	0.29584252512236	0.0953374732724767	0.0995261977612811	0.0364527194137418	0.809991348052069	-0.00575634865456469	
97	105	0.039545926268087	-0.108622836141622	0.922858430113464	-0.00859090426939634	0.00111678225929977	-0.071035437139457	0.000102446796067536	-0.0881572574055383	
82	113	0.0117255366920581	-0.153952101610328	0.583372887040777	0.053514366696487	0.260077770160184	-0.0265070407436748	0.0349193091746694	-0.0483628032786702	
62	113	0.0932823019098116	-0.108429904444775	0.440047877979359	0.0824227302921007	0.362876422880709	0.0224211397189811	0.131770067214223	-0.0366679903363345	
7	119	0.755503570099082	-0.0163344013574609	0.21869923572789	0.118266497521464	0.194567982154015	0.0289029178540494	0.94166179370554	-0.00161146889626157	
67	104	0.109041354604957	-0.0954388553903598	0.181074492978833	0.107941230505701	0.516099645016897	0.0133946684442943	0.0921697407316394	-0.0377884305501143	
17	103	0.0803158192423154	-0.118463489740205	0.981533605949929	0.00221675472754621	0.499030608255177	-0.016777405025672	0.0247935861569473	-0.0535601935477176	
72	98	0.16018866641082	-0.0617661168370321	0.0347259828462103	-0.17494628930869	0.0644880224644491	-0.0427140723328172	0.00845130046030125	-0.0595915313045147	
22	98	0.229302050306119	-0.0614893179991257	0.263132713008168	-0.110685466072526	0.418426687894353	-0.0203092497395574	0.0161015364896909	-0.0559595060624332	
52	105	0.0621306535685713	-0.0943349966822491	0.0726200227706322	-0.201131748597792	0.841346299784729	-0.0051094756471206	0.00179366014143195	-0.0730043686632413	
2	115	0.385686418505579	-0.042919218240424	0.69268155483599	0.0350044226035636	0.336352307565389	0.0208467105199356	0.32245324773818	-0.0220648559019673	
12	103	0.00312995082964591	-0.137261966248408	0.133775273255087	-0.119288235256138	0.310471927782731	-0.0226359347814941	0.000826090450858825	-0.078536588712825	
57	103	0.213149107972474	-0.0702460587318525	0.883035872971891	-0.0134020560820037	0.283009404701426	0.0270197478343198	0.120325598743425	-0.037422859694053	
47	98	0.074817259738686	-0.101637108650847	0.50912145102572	0.0729436584711949	0.981019406070495	0.000588942526521826	0.0230435749376604	-0.0543504036214263	
42	89	0.884023801083424	0.00853305614247746	0.0141227794156378	0.182865813009148	0.902088512468789	0.00260945078490888	0.901081426757143	-0.00298927611018806	
27	111	0.175334352063977	-0.0623231596574195	0.184344748107691	-0.11784183121441	0.996970782596808	-9.46008515881865e-05	0.0817536370932134	-0.039741838485945	
93	83	0.0413977423115757	-0.113505545806057	0.686940633116794	-0.0367064355958746	0.89938576086617	0.00365381608828604	0.00590456857000464	-0.0709015405354893	
33	115	0.0711719950199635	-0.095209120450198	0.474214578617818	-0.0568191394057006	0.257300414410504	-0.0222833142740477	0.00150591042977023	-0.0668724581502027	
