risk	disease	IVs	P_mbe	eff_mbe	se_mbe	P_egger	eff_egger	se_egger	P_ivw	eff_ivw	se_ivw	P_weightedMedian	eff_weightedMedian	se_weightedMedian
fg	cad	21	2.27713498350953e-05	0.293955267132098	0.0693973965897236	0.126867504109494	0.262713251297902	0.172093600639656	0.00135989147584198	0.248333173918159	0.0775306708066747	3.44761101146342e-06	0.303947975311882	0.065475341299566	
bf	cad	10	0.00701412018063144	0.371499395609244	0.137787663764357	0.665566861863719	-0.573854305740769	1.32762833485128	0.888150403298532	-0.0357541058379594	0.254215279360221	0.038572675488049	0.260590088876607	0.125967022915166	
smoking	asthma	110	0.534631927454802	0.261505016926648	0.421136382326223	0.849481781290669	0.13733423255406	0.723650889198832	0.587032917023232	0.0811923615046869	0.149486787282981	0.682428443428438	0.0737061688065267	0.180143929058335	
bmi	cad	102	3.3207695096007e-07	0.320690738539806	0.0628279555360758	0.631634204785195	0.0640353027023761	0.13356605730232	3.57561035932764e-08	0.287572397822529	0.0521850749772679	7.73168106716821e-12	0.3292445446124	0.0481110114834363	
ldl	cad	188	3.0561604782798e-33	0.26483141824017	0.0220463931406071	0	0.356305747034506	0.0427989153653542	5.69524835628322e-41	0.378728070236059	0.028253929684218	5.67531185133403e-40	0.315112642379116	0.0238130443152227	
alcohol	asthma	41	0.747913307480507	-0.112781404447844	0.350915352968848	0.10536888217909	-0.676250177441232	0.417602225997091	0.498230266942618	-0.0951720638665234	0.140521638920904	0.674559963416143	-0.0855119730583041	0.203649389937194	
alcohol	t2d	43	0.441070647272299	0.121405723091215	0.157590663854201	0.296148303604419	0.232384766713891	0.222435481776839	0.29532163201204	0.15643021077069	0.149476751840735	0.489581176838669	0.1162605504968	0.168255769595877	
smoking	t2d	113	0.98007897265953	-0.0106217489538096	0.42538212291346	0.920131943937175	0.074666147293232	0.744669344185345	0.126980412154448	0.239489538261798	0.156927246430326	1	0	0.208416992536763	
hdl	cad	209	6.16002361120034e-07	-0.130988091817866	0.0262704849714769	0.186466701052067	-0.064992787051802	0.0491958155859473	4.96503327834429e-10	-0.184438417329115	0.0296514977726705	1.22170844621123e-09	-0.151046053628511	0.0248538582616493	
tg	cad	134	1.08906390609932e-11	0.240480758045851	0.0353949464369122	0.0185139133667893	0.142959943744663	0.0607003119917735	2.37858428956855e-15	0.28432494584198	0.0359004392259435	1.92278734757514e-17	0.26162889785866	0.0307857899708807	
dbp	cad	1409	3.52084620626627e-06	0.0634250136419824	0.0136755769570726	0	0.0606035975330526	0.00635347019386637	2.9063139111299e-108	0.0527727277690212	0.00238749698238658	1.63014793088189e-107	0.0565709369389894	0.00256839449044888	
bw	t2d	54	0.0129227604919965	-0.551185487992377	0.22172554135053	0.0482103252788713	-1.16794038540973	0.591209618008413	0.000233616957847042	-0.600382224726666	0.163165896304825	0.000574353442990402	-0.445406984161868	0.129349237917452	
bw	asthma	51	0.411110808166595	0.144884291502249	0.176271039062762	0.992688944374846	-0.00255935573486274	0.279308755784846	0.311360654643287	0.0782237576286324	0.0772678696661526	0.504453053884982	0.0665877360087175	0.0997569650341223	
sbp	cad	1334	1.14262336280674e-06	0.0313035779332125	0.00643400082512564	0	0.0377888701332628	0.0039635398804517	1.37906575523454e-135	0.0360874658614314	0.00145615811175898	2.9904801107538e-115	0.0345255611736601	0.00151303794419809	
smoking	stroke	125	0.0683468726661956	0.550378272777432	0.301955534111896	0.0141001170995141	1.06443182133734	0.433629640241427	0.00179275347994868	0.294718312147759	0.094383047893919	0.0108424346209775	0.321817137907273	0.126314924398356	
alcohol	stroke	53	0.591635548800198	0.0650696392436987	0.121292807662479	0.787101510011924	0.0356949947322645	0.132166306548316	0.2665348817156	0.0907329523383229	0.0816621085867127	0.763584474680438	0.0374418791665878	0.124483810876019	
smoking	cad	125	0.016411303511681	0.559757742744584	0.233267601141551	0.163446809782719	0.567885873215457	0.407503714735537	3.14438352039705e-09	0.531580181871195	0.0897351795833486	1.36961035468137e-10	0.63874303334488	0.0995045444426038	
height	cad	5377	0.00229051026289237	-0.121556222565474	0.0398580935687856	0.000618766767664924	-0.0738813212615356	0.0215822032646032	5.45452590526072e-30	-0.111007750187608	0.00975735152374445	3.42892980987002e-13	-0.0939200363963966	0.0129075195028897	
alcohol	cad	54	1.99357222381208e-05	0.374349572591111	0.0877599260046787	0.00880028293926594	0.386009269202111	0.147347712312366	0.0487289653421882	0.184684444384966	0.0937030003041742	0.000121516008420579	0.354899835659557	0.0923485459530355	
bw	stroke	56	0.482857865615191	-0.123534512792839	0.176046943041947	0.0423655662076285	0.444335195026171	0.218893907556467	0.199186415261416	-0.0863196919804503	0.0672338274213488	0.322610371425597	-0.0773796746589596	0.0782317860687606	
bw	cad	58	0.34139227491692	0.100609034026903	0.105746416533796	0.444224106707859	0.157481276804002	0.205836442379529	0.081611299294389	-0.124846783952333	0.0716928264861281	0.627295683737378	-0.0287011623333893	0.0591122404182187	
