risk	disease	IVs	P_random	eff_random	AIC_random	gamma_random	gSigma2_random	prop_random	b_random	sigma2_random	b_prop_random	P_fixed	eff_fixed	AIC_fixed	gamma_fixed	prop_fixed
hdl	stroke	207	0.507017181990447	-0.0454006290652871	-1147.54082067111	-0.0454015682379178_-0.0454006290652871_-0.0454000056402926	0_0_0	0.33333333333325_0.333333333333448_0.333333333333303	-0.000538875249860346	0_0.000121035159433664	0.511407474490205_0.488592525509795	0.507017184836212	-0.0454003308167581	-1153.5408206606	-0.045403660220491_-0.0454003308167581_-0.0453982171930155	0.333333333332312_0.333333333334726_0.333333333332962
bf	cad	10	0.0744886598369642	-0.918325440374875	-25.5148111508033	-0.918325440374875_0.382756347452928_0.382756356830267	0.2749717122517_0_0	0.37847843397966_0.31076078301017_0.31076078301017	-0.00637424492141329	0_4.18366385041811e-05	0.496667115594894_0.503332884405106	0.825331503603941	0.0374060860022149	-30.8018283646151	-1.30336477444628_0.0374060860022149_0.476952360668807	0.300318223590995_0.351303090686782_0.348378685722224
tg	t2d	132	0.176968157174808	0.117756281620162	-520.910939914654	-0.214276766605029_0.117756281620162_0.522081355870387	0.0482657201349078_0_0.97876792052396	0.341377793979532_0.348172015255928_0.310450190764539	0.000103701241758084	0_9.28478987742446e-05	0.499955111061462_0.500044888938538	0.302226476840545	0.154595949519553	-528.628958731439	-0.294042116776539_0.154595949519553_0.154596235208891	0.321796138550461_0.339101930724773_0.339101930724766
fg	cad	21	0.724572960379677	0.318849477107733	-92.3595796778822	-0.0202253289156748_0.318849477107733_0.318849477982079	0.309355496875235_0_0	0.312626192176836_0.343686903911582_0.343686903911582	0.00107454069882412	0_0	0.5_0.5	0.589191613213177	0.26806897713531	-96.2074575906183	0.268065928474479_0.268068986675751_0.26806897713531	0.333333333332445_0.333333333333777_0.333333333333778
alcohol	stroke	53	0.786527257217386	0.0605164906829497	-288.804406384977	0.0605164347585678_0.0605164906829497_0.0605178558883613	0_0_0	0.333333333333384_0.333333333333395_0.333333333333221	-0.00259988244787843	0_1.72955111882568e-05	0.499420913373864_0.500579086626136	0.786527257079984	0.060516653222008	-294.804406385063	0.0605166097320814_0.060516653222008_0.0605175091767749	0.333333333333355_0.33333333333336_0.333333333333284
hdl	t2d	202	0.935433101965392	-0.130549109383519	-861.426324247681	-0.678834348291481_-0.130549109383519_0.00479641774613437	1.11278447235763_0_0	0.293424690676768_0.353668256259141_0.352907053064091	0.000651745256459102	0_4.53422297979536e-05	0.499906979160478_0.500093020839522	0.568291607992073	-0.125689037796279	-870.798449406054	-0.125689037796279_-0.125689040328735_-0.12567500370485	0.333333333334036_0.333333333334034_0.33333333333193
alcohol	t2d	43	0.826655125652391	0.052517508446545	-179.275326469255	0.052517508446545_0.052517496495976_0.336879256608568	0_0_1.30770491061686	0.337500123761212_0.337500123761212_0.324999752477576	-0.00184403532393999	0_7.11853371539744e-05	0.499913326302667_0.500086673697333	0.69768217040446	0.110159836696416	-185.200989456508	0.110159836696416_0.110159824932993_0.110159845556077	0.333333333333333_0.333333333333333_0.333333333333333
bw	asthma	51	0.706964503096001	0.2155156688583	-247.221049713318	-0.208792716451968_0.2155156688583_0.215516053865946	0.135202261380758_0_0	0.333085055340964_0.33345747232952_0.333457472329516	0.000122872137530737	0_0	0.5_0.5	0.883550950035669	0.184056065411323	-253.095571423891	-0.137283052623717_0.184056065411323_0.184056095243683	0.332681052914655_0.333659473542673_0.333659473542672
bmi	cad	102	0.00133730249060286	0.405531480233889	-559.432934065642	0.122143047301212_0.303178679791703_0.405531480233889	0.879316644922363_0.000395976238798733_0	0.305251909350247_0.347224274190534_0.347523816459219	0.00113916860471394	0_5.55969960826709e-07	0.499999758301935_0.500000241698065	0.0230034054650631	0.319182102823619	-557.177470028028	0.319176858324249_0.319182102823619_0.319183318564219	0.333333333332362_0.333333333334145_0.333333333333493
ldl	stroke	184	0.282989416358937	0.0592385723435684	-965.085300047142	0.0592385748473428_0.0592385723435684_0.0967846687368072	0_0_0.00608676807044152	0.334102024497127_0.334102024497127_0.331795951005747	-0.00113888424530722	0_0.000199557798010815	0.510463134100639_0.489536865899361	0.245038665080542	0.0711939831109425	-971.060301521861	0.0711938937417301_0.0711939831109425_0.071194461733812	0.333333333333354_0.333333333333384_0.333333333333263
