risk	disease	IVs	P_1	eff_1	AIC_1	gamma_1	gSigma2_1	prop_1	b_1	sigma2_1	b_prop_1	corTest_1	P_2	eff_2	AIC_2	gamma_2	prop_2	corTest_2	P_3	eff_3	AIC_3	gamma_3	prop_3	corTest_3	P_4	eff_4	AIC_4	gamma_4	prop_4	corTest_4
sbp	stroke	1313	1.29089499547112e-05	0.0288091963403876	-7214.84330433286	0.0288091963403876_0.0241332808944266	0_0.0016638680297622	0.501127745373718_0.498872254626282	0.00081808660917102	0_2.43692218733627e-05	0.500115031228956_0.499884968771044	0.0433393712393553	0.00374224244816154	0.00965565356488053	-7206.08034623685	0.00965565356488053_0.0443805158183577	0.500045337221557_0.499954662778443	0	9.80896104792273e-06	0.0288098316516979	-7216.84329776821	0.0288098316516979_0.0241321728079811	0.501127407850758_0.498872592149242	0.0432624435096323	0.463802988749362	0.051593955017318	-7189.66250640472	0.0017150745147053_0.051593955017318	0.499650803371428_0.500349196628572	0	
smoking	cad	125	0.153290551341853	0.757256039187202	-747.351148488713	0.295828375501704_0.757256039187202	0.678109217719415_0	0.490551564229152_0.509448435770848	-0.000774356772611586	0_3.41834291259811e-05	0.501215784782977_0.498784215217023	0.000392670863763822	0.0253915032662816	0.574173744380653	-751.927631590968	0.574173744380653_0.574174607227679	0.500000000000001_0.499999999999999	0.999995079993406	0.131132018910293	0.753814653965006	-749.281814961723	0.306004388003276_0.753814653965006	0.491585500696856_0.508414499303144	0.000517742357727613	0.26847827431447	0.929279544081109	-749.093759365409	0.166241837498184_0.929279544081109	0.494514010895619_0.505485989104381	2.32839081348857e-10	
dbp	asthma	1116	0.885115109640403	0.00622926481456735	-5622.98913196877	-0.0114611992566831_0.00622926481456735	0.000955959423347903_0.000376891612022752	0.499995970768617_0.500004029231383	0.000642614492205781	0_0.000298403680292877	0.51199649542197_0.48800350457803	0.00260712042810396	0.179925357862054	-0.029351017672455	-5626.9226116647	-0.029351017672455_0.024102717411298	0.500035181057801_0.499964818942199	0	0.413803831764806	-0.00594435482194878	-5629.33208232216	-0.00594435482194878_0.00281798380659476	0.508256071498724_0.491743928501276	0.156608194249536	7.1821398643182e-17	-0.0568311441838683	-5582.26699973405	-0.0568311441838683_0.0540473349626935	0.502141860349335_0.497858139650665	0	
sbp	asthma	1054	0.429218642676502	-0.0125615102745965	-5488.32274659897	-0.0125615102745965_0.0186871466911546	0_0.000185759770720303	0.500090823215506_0.499909176784494	0.000841053511973035	0_0.000149537910000478	0.503248707051161_0.496751292948839	0	0.075739799707576	-0.0144187108989241	-5492.21044142584	-0.0144187108989241_0.0206458747261357	0.500443830785272_0.499556169214728	0	0.171184569245049	-0.00960424338547547	-5487.45460990471	-0.00960424338547547_0.0168362051295752	0.501107895619558_0.498892104380442	0	5.30748004024099e-07	-0.0215728405113169	-5486.340011089	-0.0215728405113169_0.0288170860200151	0.502236656921675_0.497763343078325	0	
dbp	t2d	1168	0.699615300843612	-0.0112265892613948	-5244.80380587295	-0.0112265892613948_0.0349108492842493	0_0	0.500029430872539_0.499970569127461	0.000346209897157317	0_0.000366862675069764	0.506543650485169_0.493456349514831	0.00825597508324982	0.536053442592402	-0.0112266293958382	-5248.8038059809	-0.0112266293958382_0.0349108917231302	0.500029430921324_0.499970569078676	0.00825586194537298	0.88028523705305	0.00117184471374404	-5231.96872094312	0.00117184471374404_0.0299223609296854	0.507546638319993_0.492453361680007	0.0811911254950957	1.93283068560191e-15	-0.0501720927301637	-5178.24115444586	-0.0501720927301637_0.0782380253713841	0.502747512125237_0.497252487874763	1.77635683940025e-15	
sbp	cad	1334	2.33488024048342e-22	0.0347101803269114	-7347.85301014273	0.0347101803269114_0.0370419292007167	5.24313830878053e-05_0.0035065746394585	0.510373874050406_0.489626125949594	-0.000562576946516006	0_3.65567064148801e-05	0.499949283557762_0.500050716442238	0.213260146066399	7.69897756327442e-12	0.0165173891938806	-7305.26256883474	0.0165173891938806_0.0543269677114526	0.500138832315412_0.499861167684588	0	4.34911316795636e-30	0.0347376525469826	-7349.8343035558	0.0347376525469826_0.0370186620386492	0.510370942736328_0.489629057263672	0.222024449924835	0.00562512390589954	0.00468980579658265	-7076.70030191554	0.00468980579658265_0.0672173552890558	0.503044818417497_0.496955181582503	0	
dbp	stroke	1363	0.000236099299107452	0.0531252843354614	-7489.11080480862	0.0320055131511623_0.0531252843354614	0.00399356903860806_0	0.498957516047723_0.501042483952277	0.000247922576910024	0_3.10815463482386e-05	0.499990918357572_0.500009081642428	2.84253305338211e-08	0.0180563795595027	0.0725648572016766	-7475.09245455571	0.0138122458539631_0.0725648572016766	0.498694113817374_0.501305886182626	0	0.000242726254778595	0.0531146779277822	-7491.05566924642	0.0319722455197257_0.0531146779277822	0.499065469919368_0.500934530080632	2.75746576683389e-08	0.403047211431294	0.083220495248362	-7463.6683234162	0.000425895313988029_0.083220495248362	0.494507854541097_0.505492145458903	0	
dbp	cad	1409	9.18135518743299e-05	0.060633398738383	-7721.64338059455	0.0409358650971769_0.060633398738383	0.00675854983793131_0.000406578242099895	0.497739608413154_0.502260391586846	0.00024796285649504	0_9.26013774526289e-05	0.502704267685917_0.497295732314083	7.21227307876049e-07	0.0139798472363389	0.091445182888864	-7708.46488716073	0.00927581226744792_0.091445182888864	0.495078370549779_0.504921629450221	0	1.03368730810035e-12	0.058039740245355	-7722.82543672444	0.0436084425170611_0.058039740245355	0.495237360193475_0.504762639806525	0.000448721046732103	0.00163594765400552	0.104633480043035	-7564.80766434252	-0.00826848060902545_0.104633480043035	0.483597730107621_0.516402269892379	0	
height	cad	5377	0.0434120138599886	-0.0638069385731928	-31850.6029047815	-0.168573619923775_-0.0638069385731928	0.115888480676863_0	0.499123244647866_0.500876755352134	-2.68680424229702e-06	0_0.000103695146876893	0.503988073295245_0.496011926704755	2.01888061823752e-10	0.0844430272125229	0.0470427958649433	-31839.7708400663	-0.268032868975135_0.0470427958649433	0.499991506555115_0.500008493444885	0	0.00130754861361854	-0.0651581716233097	-31804.0019275072	-0.181294994633851_-0.0651581716233097	0.495440821264244_0.504559178735756	1.27764465673863e-12	2.91781068737578e-30	0.180197558911894	-31623.2900605957	-0.418801968603085_0.180197558911894	0.497840839516727_0.502159160483273	0	
height	asthma	5244	0.488524211973027	0.0359495665020503	-26609.4427092042	-0.115822848080317_0.0359495665020503	0.198636413199689_0	0.499194762858793_0.500805237141207	-0.000106240234876566	0_0.000146906355693913	0.503462583531831_0.496537416468169	7.44701389443492e-09	0.0843657216254035	0.140495089108874	-26607.2863024156	-0.212549818909721_0.140495089108874	0.499842441386951_0.500157558613049	0	0.507490838109025	0.0239786040215438	-26600.1879459161	-0.115304631247953_0.0239786040215438	0.496467493231909_0.503532506768091	5.4502313995286e-08	2.99503703242144e-22	0.323827883787586	-26519.3493307724	-0.418544303741323_0.323827883787586	0.497879877246387_0.502120122753613	0	
height	t2d	5358	0.364753292597791	0.0561801124103018	-25828.4582764756	-0.0788540595251228_0.0561801124103018	0.249784867924193_0	0.499629477238451_0.500370522761549	7.87099715133137e-05	0_0.000120196837384225	0.501269297273092_0.498730702726908	5.06142356744288e-05	0.000165052555862371	0.255955077542807	-25823.1439519454	-0.281536283853609_0.255955077542807	0.499587793536527_0.500412206463473	0	0.390427656076881	0.0410390718878984	-25815.8614013014	-0.0630858537552886_0.0410390718878984	0.499045404020724_0.500954595979276	0.00245757336890162	2.49999011480892e-26	0.384459739551364	-25774.6863573628	-0.417449760999088_0.384459739551364	0.498783626840212_0.501216373159788	0	
height	stroke	5357	0.85894478952785	-0.0140049843880999	-30509.164226363	-0.0815283288897308_-0.0140049843880999	0.0460933355765378_0	0.499920193787615_0.500079806212385	3.84525716630105e-05	0_6.27150001616989e-05	0.501306269998017_0.498693730001983	0.000431898909817541	0.0415204906414592	0.0926416296942245	-30511.0326641447	-0.188640652361167_0.0926416296942245	0.499936343816061_0.500063656183939	0	0.674797264961443	-0.0187706902774573	-30493.4824773564	-0.0806954532904429_-0.0187706902774573	0.499553693733089_0.500446306266911	0.000477522236734806	2.22928090074569e-10	0.174848350221558	-30485.5545831295	-0.273425538719176_0.174848350221558	0.4998538323947_0.5001461676053	0	
