risk	disease	IVs	P_1	eff_1	mean_minClass	mean_maxClass	sd_minClass	sd_maxClass	min_interval	max_interval	CHVP_test	correct_factor	CHVP_test_correct	P_minClass	P_maxClass	P_minClass_mean	P_maxClass_mean	P_minClass_permut	P_minClass_permut	AIC_1	gamma_1	prop_1	corTest_1
tg	stroke	119	0.833331531899048	0.0115285038621575	0.00624665846088884	0.0240586206769099	0.0254215619899486	0.0481479593456708	-0.0504696441337298_0.054030693175973	-0.0277040308890047_0.178594826038247	0.743559879021762	0.919783508621203	0.711121078274118	0.65102656689106	0.811168564591268	0.806323670697996	0.618230172983792	0.738	0.55	-662.874453364304	0.0115285038621575_0.0115292480725628	0.500000000000007_0.499999999999993	0.999988798703205	
bmi	asthma	101	0.693062986818555	0.132819128253455	0.0564331822468928	0.197228378033087	0.109890807624719	0.10078372234809	-0.176155780982273_0.229617164422189	0.0259870258748258_0.421062333126753	0.34504367961144	1.12504849664961	0.387083435781734	0.229648920596889	0.190403991561343	0.608707345568378	0.0531420849534911	0.604	0.00800000000000001	-533.97959769039	0.132819128253455_0.132866462471684	0.50000000000007_0.49999999999993	0.999608828118911	
fg	cad	21	0.324283746935943	0.3229170865845	0.091253491147591	0.340582783439372	0.222807466435429	0.0815271075198869	-0.445782287710496_0.3682869832495	0.209181335867602_0.553535610883649	0.293307944646534	0.826077355639419	0.239591246795651	0.707819216810306	0.000770945182581896	0.686480510198509	0.000464480385148301	0.634	0	-97.49830766659	0.0847069648836509_0.3229170865845	0.454225525718697_0.545774474281303	0.0691277378728734	
fg	stroke	20	0.182395984326606	0.176962577628331	-0.0569610024671675	0.181558608836757	0.156371713688566	0.164260632722725	-0.396012441672077_0.217082954850429	-0.0788604863757479_0.383496194104835	0.292927798501044	0.659615619929533	0.187977116720673	0.707269910151138	0.294822756189127	0.719681306889898	0.282826519517935	0.796	0.13	-93.4394573186062	-0.0596119267969338_0.176962577628331	0.478350790633405_0.521649209366595	0.0518906563742298	
bf	asthma	10	0.492308979802922	0.14591302629765	0.0954244679747198	0.0968643171171876	0.177300136711802	0.178690436229967	-0.419738794305742_0.288335579444168	-0.419738794305742_0.291398848304898	0.995436186657099	0.297023708576261	0.791525024972162	0.4317885824574	0.435253637065096	0.603486491254744	0.600925759182419	0.244	0.24	-43.6976137627881	0.14591302629765_0.145913573993241	0.500000000000009_0.499999999999991	0.999998425636703	
bw	stroke	56	0.832009124895793	-0.243639330335619	-0.25775635138713	0.0276491635052042	0.11029063895482	0.149791875676056	-0.505767050752599_-0.0755227568928167	-0.220916454443195_0.328087606916243	0.124952573177404	0.990208099665929	0.123370468243844	0.0313538517728746	0.866694045638828	0.0231044226466213	0.85423437764292	0.004	0.914	-291.842888366573	-0.243639330335619_0.0252617493104937	0.505436738045703_0.494563261954297	0.0119247299977117	
alcohol	stroke	53	0.720771036110345	0.0605201772774276	-0.0149044562836478	0.143535503977066	0.154720444227665	0.161011426392263	-0.418051284681229_0.209615148736897	-0.0690150010014647_0.519727402401501	0.477991238062096	0.875619476134738	0.426884921914054	0.697278464799676	0.708538566509356	0.923627584064689	0.376788092589588	0.74	0.27	-294.804463652076	0.0605201772774276_0.060520251684979	0.5_0.5	0.99999960298204	
height	stroke	5357	0.858755644735097	-0.0140236908271234	-0.116703764399732	0.021753207957677	0.0466279520719916	0.0477444341193749	-0.221558071182657_-0.0448222831646974	-0.0514505717990937_0.127430080046879	0.0380147041147968	1.40636945913558	0.064900978440715	0.0805043690353127	0.76898011972357	0.0123485840419611	0.648683402614484	0	0.728	-30509.1643622215	-0.081510225890617_-0.0140236908271234	0.499920201756014_0.500079798243986	0.000435024612833956	
ldl	t2d	180	0.542696131252568	-0.227521721285585	-0.216861848348064	-0.0581683335980432	0.0574817254987724	0.0828373531495035	-0.316831181934983_-0.10619967203579	-0.198638680577873_0.106749328279931	0.115507859180144	0.890809749938095	0.0993114009475842	0.000108810383526405	0.461193034990615	0.000219327673240054	0.483466954813449	0	0.516	-785.260956315504	-0.227521721285585_-0.061173308197077	0.50021343539527_0.49978656460473	0.0175840846408986	
alcohol	t2d	43	0.712908079409812	0.0648796467043494	-0.0430657435752485	0.288937181133009	0.305709803245992	0.292539637735248	-0.932798875556182_0.319559766872114	-0.053510070094574_1.00447181954824	0.432665783877705	0.949419274875485	0.413103057745975	0.832957140648848	0.613594963500802	0.888645084519228	0.3289627669766	0.716	0.154	-184.65582930723	0.0648796467043494_0.148827340514272	0.513057128333776_0.486942871666224	0.768335481215197	
alcohol	cad	54	0.00395975323277127	0.341308833398019	-0.22948687401684	0.354833884285662	0.315002615382207	0.0893033031744757	-1.0597763330247_0.310324957424818	0.202871783783409_0.586152314333111	0.0743198622313386	1.15159932738768	0.0907821460402069	0.543596506244607	0.000349867830119345	0.46949994206446	0.000215389367107624	0.464	0.004	-290.689131480308	-0.192569564859948_0.341308833398019	0.487174577691425_0.512825422308575	0.00126444527166369	
alcohol	asthma	41	0.899981327727468	-0.258583416056083	-0.225264363404028	0.084647676020554	0.217149823499549	0.253246685898968	-0.675350112203095_0.186906485682546	-0.317751635962615_0.617257832533141	0.352890525001581	0.833741707539817	0.294675939977265	0.24074839012121	0.625268737048239	0.305794839382242	0.739937244892441	0.26	0.866	-211.166832308695	-0.258583416056083_0.124647987108875	0.500131229594463_0.499868770405537	0.0837198878674408	
height	asthma	5244	0.48874456162204	0.0359315633845518	-0.113276089547369	0.0335833624161384	0.0436595190590455	0.037432964494464	-0.195407876581156_-0.0281976598956366	-0.038274781831911_0.101611025516525	0.010660313513533	1.39589542074007	0.0191972534971324	0.00801479697605237	0.3371543706303	0.00949830646169681	0.369674682067303	0.004	0.382	-26609.4420894498	-0.115805190169632_0.0359315633845518	0.499194858346752_0.500805141653248	7.5040635927337e-09	
sbp	asthma	1054	0.429389383222316	-0.0125586518304312	-0.01153253487523	0.0181573791904272	0.00598246163764754	0.00620966815725989	-0.022605292524323_0.00200640301621269	0.00510371463435556_0.0292772902284084	0.000574760874187217	1.4240221743785	0.00119628561765283	0.0360329125843767	0.00268424360066493	0.0541581641268481	0.00352908576619646	0.088	0	-5488.32237866073	-0.0125586518304312_0.0186843269811155	0.500090612891409_0.499909387108591	0	
dbp	asthma	1116	0.885112269718107	0.00621902672773424	-0.0154993987791504	0.0115945061291164	0.0106422085766263	0.0111237267748807	-0.0392017742218758_0.000718459042316884	-0.00664512596235495_0.035014015369835	0.0784144375757306	1.52796780021837	0.143605379278828	0.282179875273351	0.576221015053337	0.145561362804096	0.29748831595775	0.076	0.294	-5622.98905296392	-0.0114505437492708_0.00621902672773424	0.499995959494504_0.500004040505496	0.00263819770242391	
fg	asthma	17	1	-0.27578186352938	-0.27465100514665	0.233664027127324	0.155952969451811	0.410571781205169	-0.599410110903445_0.0217190419108404	-0.343402018670403_1.20151754174523	0.247115463162828	0.621323624821097	0.145326665944738	0.0960584770490134	0.563522153636075	0.0973146431215793	0.577178395206011	0.07	0.704	-64.8579287357605	-0.27578186352938_0.242180153364721	0.551207597518461_0.448792402481539	0.0307118779261422	
tg	asthma	125	0.893544440311715	-0.0113781130425666	-0.26189643583859	0.00342356595901611	0.148067900622888	0.0570842648717935	-0.57759052719395_-0.0258290252994062	-0.10390903215762_0.135195677618985	0.0945376608788837	1.08342646271374	0.105442357953601	0.216301505948609	0.842337850496616	0.0793928739835066	0.952272973222552	0.00800000000000001	0.998	-561.28173949853	-0.184012738620864_-0.0113781130425666	0.498737278636385_0.501262721363615	0.0453087722377599	
height	t2d	5358	0.364088112133041	0.0562399021109097	-0.0973573811285006	0.0761511545276415	0.0653595391002438	0.0605185641886447	-0.246340581506718_0.0018607412209327	-0.0142222158747826_0.217269506987314	0.0514279642003312	1.07249593637931	0.0570365491831149	0.227397534274041	0.352775503300906	0.136397120214289	0.208334265772173	0.054	0.148	-25828.4605641375	-0.0789038854136612_0.0562399021109097	0.499629433082113_0.500370566917887	4.99389149979379e-05	
ldl	asthma	174	0.982305720027885	-0.00189376196309235	-0.0272461653723161	0.012466377871843	0.0565236172107025	0.0370874248858054	-0.203189533197263_0.0450601074876092	-0.0454657636248655_0.102978968689123	0.556919814015701	1.17363161068357	0.624474838144369	0.973303807676759	0.959334941717072	0.630392816380415	0.73717648174651	0.67	0.808	-812.979933321681	-0.00189429911773252_-0.00189376196309235	0.499999999999998_0.500000000000002	0.999993597032554	
bw	asthma	51	0.817633513208487	0.206367522031063	-0.0519671787530801	0.209472945589893	0.165406379191008	0.144191972971796	-0.394871464912384_0.225199899616645	-0.0465467288042487_0.510268371656027	0.233481722076728	0.972195210458866	0.226175878241427	0.722327006400515	0.158593973793743	0.75469242113945	0.152544220440818	0.86	0.118	-253.164655562832	-0.059109474144535_0.206367522031063	0.498725571501605_0.501274428498395	0.017479380520113	
hdl	asthma	197	0.835074309888388	-0.0149365498594935	-0.0405833702979122	0.0426827172721406	0.0458181663138266	0.0909075379822002	-0.149484275532295_0.0326624274533002	-0.0634629733013637_0.25731418850059	0.413398112376058	1.50372947340464	0.584412935545403	0.744774993112384	0.869679568132267	0.3768384963228	0.639221389553379	0.32	0.908	-938.944443535068	-0.0149365498594935_-0.0149343419917825	0.500000000000002_0.499999999999998	0.999971862489735	
hdl	cad	209	0.126286459376754	-0.0700987577496635	-0.457929625848543	-0.0686069724088796	0.0869342160766	0.053262907594149	-0.619058651107086_-0.275206027350484	-0.152719451188839_0.0437259614184217	0.00013419298649672	1.30494919402174	0.000237517668383378	1.82450138155455e-07	0.189592529425869	3.44239371746954e-07	0.199148653409746	0	0.208	-1006.11800100888	-0.469320532083772_-0.0700987577496635	0.477942801265465_0.522057198734535	4.6118664442929e-13	
hdl	stroke	207	0.34445644318827	-0.045427242316219	-0.0592824126873882	-0.0359551218693899	0.0303751510687212	0.0275762760406327	-0.130916610953199_-0.0126227658930267	-0.0845017274024579_0.0256690969495491	0.569625505468573	1.05883117109791	0.593528629888858	0.136304042325231	0.101051298137229	0.0523323813992613	0.193742389820783	0	0.156	-1153.54527916396	-0.045427242316219_-0.0454223264087779	0.500000000000043_0.499999999999957	0.999908297153172	
