simNum	IVsNum	plei_test	P	eff
37	97	0.744	2.62430555199587e-06	0.0698481810260313	
9	101	0.278	3.66526223838889e-08	0.0911065265986601	
15	98	0.373	2.81402147853729e-07	0.0866131423053965	
27	95	0	1.24342105755773e-07	0.108556848920716	
99	83	0.153	6.33009478272686e-06	0.0818098306048467	
71	100	0.04	6.96615519113716e-07	0.0884615435379163	
83	101	0.441	2.56021894420531e-05	0.0648711905795257	
59	100	0.038	0.00321023994939458	0.0503461200763762	
81	107	0.603	0.000765007763588613	0.0479168788869421	
97	102	0.007	3.02015891540159e-06	0.0818234139286785	
85	108	0	2.43589169167504e-06	0.0826992595340654	
47	89	0.003	0.00244850898901553	0.0581328137054051	
75	108	0.012	1.69039282532218e-06	0.0808295752732382	
43	108	0.113	2.24255847901629e-07	0.0847083381333062	
33	106	0.035	3.88067894226838e-09	0.10465109460951	
89	94	0	5.90861157693069e-08	0.104620355264511	
13	115	0.191	2.50527014462937e-06	0.0719335336153043	
67	114	0.252	6.66202503167757e-07	0.0723817470406839	
29	116	0	0.0179100173067106	0.0380989266779861	
31	96	0.082	1.83262130109409e-06	0.07838876360232	
63	116	0.224	2.10190966239984e-07	0.0805317485066018	
7	114	0.001	7.84299268569918e-10	0.10558464642559	
73	110	0.069	2.3034563157538e-07	0.0849446778881698	
77	95	0	2.11329565424444e-06	0.0816515431035726	
21	118	0.302	1.01314217143164e-07	0.0762746397867768	
17	114	0.023	4.86755745921155e-07	0.0802725486822198	
61	100	0.432	1.23027854019793e-06	0.0751196223684999	
25	100	0.001	1.76053178963317e-05	0.0787082762094456	
57	98	0	4.54728993112913e-05	0.0775820603484292	
11	116	0.264	3.92161642149259e-10	0.0953208669487051	
55	123	0.088	4.54960608732895e-10	0.0917277788472203	
93	119	0.131	0.00161766723507407	0.0448418545661841	
65	102	0.03	0.000453771228888753	0.0579157228534219	
3	102	0.011	2.77279250752527e-06	0.0785455205993868	
45	116	0.001	3.14841254501283e-05	0.0651654128409438	
41	115	0.014	5.44214629105719e-13	0.124209747406829	
39	106	0.017	0.000151152229869586	0.0633204876308195	
69	108	0.177	2.43028103338258e-10	0.100962503152329	
87	120	0.026	1.97463734012525e-06	0.071464794724682	
79	106	0.001	2.49923792195455e-08	0.0976715169925667	
95	110	0.26	0.00237188238315654	0.044168369522247	
51	111	0.151	0.000274579738667568	0.0566552582154182	
35	108	0.035	0.000213282097444379	0.0602473095322452	
49	129	0.081	6.79346911747082e-07	0.0707858117998252	
53	114	0.211	0.000321094369911629	0.0528774992026328	
23	116	0.024	1.64390701135281e-06	0.0763299967232706	
91	114	0.047	9.6518639111072e-07	0.079091884778913	
1	129	0	1.19763065281177e-08	0.0905161251902454	
5	120	0.341	9.04356687816289e-06	0.0620204628139353	
19	121	0	5.8344936010183e-06	0.0748037713643569	
28	97	0.013	5.92744674750661e-08	0.0973596372482734	
10	102	0.003	0.000170794426660117	0.0612551716972389	
44	95	0.214	5.66865823551559e-09	0.103552686595764	
68	95	0.064	9.92047785287463e-05	0.0675613343894401	
26	91	0.328	3.51762849842582e-09	0.102528124049524	
98	101	0.152	1.14203474164911e-06	0.0832931201127193	
60	105	0.076	5.80681391287162e-05	0.0652962380131697	
34	97	0.445	1.5279214746304e-08	0.0936943436259644	
84	107	0.048	0.000388314823775562	0.0552741445550359	
16	114	0.371	1.36856599487917e-06	0.0719314622988209	
64	101	0.047	0.000156768293165972	0.0624606937116872	
72	113	0.054	4.19048816897192e-06	0.0723516387296183	
48	100	0.002	0.00054772026120836	0.0617245454761563	
18	102	0	0.000128429116476376	0.0699441310668511	
14	111	0.068	0.000295843993495132	0.0558882095308574	
76	113	0.584	8.06789260943827e-09	0.0860681901509537	
90	95	0.014	4.23453623687777e-07	0.0883976890910011	
38	128	0.022	9.04860307387942e-09	0.0872450160038282	
12	100	0.023	7.50043621084509e-07	0.0832261803002283	
30	109	0.007	9.62218223577852e-09	0.0944835497959281	
66	89	0.192	3.90525950087401e-08	0.0969931466180523	
78	95	0.241	3.03775958797046e-06	0.0763384539530396	
100	109	0.114	7.59269547512337e-07	0.0798876552197814	
56	104	0	1.64464569613827e-05	0.076989349576856	
74	105	0	0.000612594054291577	0.0621784080584944	
82	128	0.048	7.46128040582479e-07	0.0736094130091349	
46	104	0.311	1.20824085428694e-06	0.0764715182707967	
62	103	0.091	2.0329846749531e-07	0.0870547681728676	
6	83	0.006	3.20273360511775e-07	0.104522690712053	
22	118	0	0.000254677824890147	0.0625401759864996	
40	100	0.137	5.79718255517807e-05	0.0646239119047107	
50	105	0.105	9.76065276819322e-06	0.0718288923580647	
94	115	0.005	0.000195771062725146	0.0601073323919229	
4	103	0.155	2.5188284928869e-07	0.0851455358176189	
8	126	0.004	0.000138518579849429	0.0603491846069891	
52	99	0.148	6.08617048469508e-08	0.0919295298023316	
96	98	0.007	1.31257038030702e-07	0.0900241820740783	
88	113	0.02	0.00154618380129829	0.0494671904810408	
24	105	0.003	1.16165628647871e-08	0.0986752419185071	
86	141	0	0.000212774370531137	0.0624664341264904	
80	108	0.516	9.85339534518548e-12	0.10359976837549	
70	109	0	0.000124164934169933	0.0697593616290536	
42	120	0.011	3.84203081560754e-08	0.0885362756926992	
58	119	0.261	7.27593925482147e-07	0.0725199646671269	
36	107	0.002	0.000174002950110184	0.0674571976560893	
20	97	0.128	8.51045513942481e-06	0.0747564211811076	
32	128	0.002	2.66788440807992e-08	0.0919575621284739	
2	116	0	6.96474903066202e-06	0.0759679470920833	
54	122	0.001	3.80384851289303e-07	0.0862946124139148	
92	122	0.049	2.24445541849555e-07	0.0770380605222519	
