simNum	IVsNum	P_random	eff_random	AIC_random	gamma_random	prop_random	P_fixed	eff_fixed	AIC_fixed	gamma_fixed	prop_fixed
78	108	0.652941226302231	0.0143754673010689	-718.017098934556	0.0143754673010689_0.0143778768217463	0.500000000000014_0.499999999999986	0.652941226302231	0.0143754673010689	-722.017098934556	0.0143754673010689_0.0143778768217463	0.500000000000014_0.499999999999986
93	122	0.55410935196893	-0.016771659004493	-817.1604592455	-0.016771659004493_-0.016768732523741	0.500000000000052_0.499999999999948	0.55410935196893	-0.016771659004493	-821.1604592455	-0.016771659004493_-0.016768732523741	0.500000000000052_0.499999999999948
3	99	0.795991688159015	0.0110150007270104	-642.048238572214	0.0110150007270104_0.0110204679162829	0.500000000000026_0.499999999999974	0.795991688159015	0.0110150007270104	-646.048238572214	0.0110150007270104_0.0110204679162829	0.500000000000026_0.499999999999974
91	105	0.934351301483486	-0.00377268076745142	-685.407114884371	-0.00378201384192357_-0.00377268076745142	0.499999999999978_0.500000000000022	0.934351301483486	-0.00377268076745142	-689.407114884371	-0.00378201384192357_-0.00377268076745142	0.499999999999978_0.500000000000022
52	103	0.353690054451165	0.0353718884634191	-661.691662357229	0.0353718884634191_0.0353735949878404	0.500000000000003_0.499999999999997	0.353690054451165	0.0353718884634191	-665.691662357229	0.0353718884634191_0.0353735949878404	0.500000000000003_0.499999999999997
83	115	0.940171322764097	-0.00319585138944468	-764.571668053292	-0.00320257580494865_-0.00319585138944468	0.499999999999755_0.500000000000245	0.940171322764097	-0.00319585138944468	-768.571668053292	-0.00320257580494865_-0.00319585138944468	0.499999999999755_0.500000000000245
66	103	0.940912763212483	0.00312386771454677	-672.462952977747	0.00312386771454677_0.00312734473513538	0.500000000000004_0.499999999999996	0.940912763212483	0.00312386771454677	-676.462952977747	0.00312386771454677_0.00312734473513538	0.500000000000004_0.499999999999996
72	86	0.481020593685403	-0.0331423020700665	-536.037782325915	-0.0331454663163177_-0.0331423020700665	0.499999999999994_0.500000000000006	0.481020593685403	-0.0331423020700665	-540.037782325915	-0.0331454663163177_-0.0331423020700665	0.499999999999994_0.500000000000006
42	109	0.961268859165598	0.00260878067863631	-715.504493077231	0.00260878067863631_0.00262133079190237	0.500000000000014_0.499999999999987	0.961268859165598	0.00260878067863631	-719.504493077231	0.00260878067863631_0.00262133079190237	0.500000000000014_0.499999999999987
39	108	0.70659856252756	-0.0158708511771179	-680.503461304422	-0.0158753268494418_-0.0158708511771179	0.499999999999973_0.500000000000027	0.70659856252756	-0.0158708511771179	-684.503461304422	-0.0158753268494418_-0.0158708511771179	0.499999999999973_0.500000000000027
35	113	0.661675122102369	0.0166011104421004	-728.402819192966	0.0166011104421004_0.0166051449234955	0.50000000000005_0.49999999999995	0.661675122102369	0.0166011104421004	-732.402819192966	0.0166011104421004_0.0166051449234955	0.50000000000005_0.49999999999995
89	99	0.974725086121682	-0.00153280663649016	-614.162352678704	-0.00153606868812378_-0.00153280663649016	0.499999999999974_0.500000000000026	0.974725086121682	-0.00153280663649016	-618.162352678704	-0.00153606868812378_-0.00153280663649016	0.499999999999974_0.500000000000026
92	95	0.76158925483712	-0.0149607013827096	-593.301074013575	-0.0149607013827096_-0.0149566544753997	0.500000000000028_0.499999999999972	0.76158925483712	-0.0149607013827096	-597.301074013575	-0.0149607013827096_-0.0149566544753997	0.500000000000028_0.499999999999972
8	109	0.82963857647195	0.0115140707547944	-688.848727845727	0.0115140707547944_0.0115206712821438	0.50000000000013_0.49999999999987	0.82963857647195	0.0115140707547944	-692.848727845727	0.0115140707547944_0.0115206712821438	0.50000000000013_0.49999999999987
61	97	0.702654682463235	-0.0194007593618277	-605.767826867107	-0.0194084167668207_-0.0194007593618277	0.499999999999937_0.500000000000063	0.702654682463235	-0.0194007593618277	-609.767826867107	-0.0194084167668207_-0.0194007593618277	0.499999999999937_0.500000000000063
98	114	0.833936072616036	0.0105185599641582	-729.238101647478	0.0105185599641582_0.01052516495485	0.500000000000018_0.499999999999982	0.833936072616036	0.0105185599641582	-733.238101647478	0.0105185599641582_0.01052516495485	0.500000000000018_0.499999999999982
44	101	0.85766667832394	-0.00917968525836685	-649.001441923923	-0.00917968525836685_-0.00917027306041284	0.500000000000025_0.499999999999975	0.85766667832394	-0.00917968525836685	-653.001441923923	-0.00917968525836685_-0.00917027306041284	0.500000000000025_0.499999999999975
77	107	0.801342508833412	0.0117431030163063	-667.71722162961	0.0117431030163063_0.0117460568813348	0.500000000000084_0.499999999999916	0.801342508833412	0.0117431030163063	-671.71722162961	0.0117431030163063_0.0117460568813348	0.500000000000084_0.499999999999916
24	103	0.509067489938391	-0.0168966809400658	-678.340601719171	-0.0168966809400658_0.0203462165558511	0.509839511852378_0.490160488147622	0.973192244318388	0.00152094033656869	-680.643830012221	0.001520543023137_0.00152094033656869	0.499999999999996_0.500000000000004
