simNum	IVsNum	P	eff	correlated_eff
51	106	0.706533332979402	-0.00550768342676632	0.000431848671441867	
11	115	0.566091551219117	-0.0139657120778929	0.0116453061666196	
41	105	0.85768033468703	-0.00405958929141482	0.0101809622905717	
61	97	0.395811989424622	-0.0146478599816993	-0.00223479159116862	
71	118	0.442256155778485	-0.0113292729407947	0.00314053959021258	
31	113	0.226725139044843	0.017429705553476	-0.00136027890462198	
81	109	0.751073693197384	0.00482162072737099	0.000307664225599902	
21	107	0.136632453966769	0.0212379440391599	0.000922105153026153	
1	104	0.971455087873116	0.000525821329531008	0.000493103987520093	
91	105	0.766534733117654	-0.00430747496316652	0.000624983702104244	
52	103	0.0243081605402373	0.0369074311290126	-0.00314161591093189	
42	109	0.878933895062351	0.00218306102084277	-0.0010789628830689	
12	116	0.78904123401347	-0.00367819841400584	-0.0013142228892399	
62	104	0.494347418518824	0.00990990579401992	0.000220453525385853	
72	86	0.0479099914328762	-0.0322156545671183	0.000666583750103028	
22	93	0.846073621272298	0.00343159307863062	0.003413314884743	
92	95	0.429989243973598	-0.0127192088550134	0.000855371668996502	
82	102	0.815881096955249	-0.00361899655419764	0.000534106233081464	
2	92	0.93545722137958	-0.0013355328618129	0.00044659350179262	
32	113	0.91817457287325	0.00181944689230526	-0.00816713722701407	
53	108	0.535371236625744	-0.00920388230263242	0.00110777096782989	
43	101	0.441796428130665	-0.0127395865317788	-0.000612629488179903	
13	98	0.580413803728606	-0.00871639202877052	0.00221334699075	
63	102	0.36397562167291	0.0140174700375101	-0.00216060511346898	
73	106	0.904734945661671	-0.00191910933219403	0.00174162261647603	
23	116	0.201468763195394	-0.0169648934403059	-0.000569555283195145	
93	122	0.217152008004721	-0.0165231963869959	0.000344939264757458	
33	126	0.984590282960124	0.000259950544499733	-0.00156802697010039	
14	113	0.142419506297383	-0.0207968345016851	-0.00141625080542133	
83	115	0.80447471926883	-0.00346335559884931	-0.00194518749797575	
64	117	0.577481508697463	0.00733781882094877	-1.95888147791863e-06	
54	105	0.562489739032835	-0.00915623908178309	0.000492077592355691	
74	106	0.0629427459432672	-0.0263843199513893	0.000124319221655864	
3	99	0.456134283099144	0.0112968112297334	-0.00180738677840587	
44	101	0.531626872898534	-0.00959911718720189	-0.00048455503013967	
24	103	0.579484560018381	-0.00765107368287496	-0.000166860328056408	
94	98	0.153557744686613	0.021203600461694	-0.0010887989531233	
34	118	0.430232719789803	0.0128247697837474	-0.000436945731898108	
65	110	0.513922371068464	-0.00961776968087015	-0.00255126949065318	
84	101	0.0224595949421926	0.0381096344985235	-0.00220758463909533	
15	102	0.638626617224465	0.00831892605380223	0.00123871685192092	
55	103	0.975505891117551	-0.000450043461935203	-0.00137285617906184	
4	111	0.205239303026891	-0.018737362332741	0.000318418228726424	
75	130	0.215114966770789	0.0152363265476504	-0.000773712360674605	
45	107	0.908305949722827	0.00161938802898759	0.00213719256042547	
25	107	0.389038048171494	0.0124005656721977	-0.000601063085489504	
95	102	0.305374153139806	0.0159320713752342	3.36763252058347e-05	
35	113	0.264752159870801	0.0148994983690007	0.000696224286778674	
66	103	0.996972427009262	-5.62014053922367e-05	-0.000902631663466265	
85	108	0.305796497960684	-0.0135975631634073	0.00137486985849358	
5	108	0.00810232335327066	-0.0370956803315896	-0.00148251102565521	
16	110	0.578412691597034	-0.00817292614139912	-0.00134631177032256	
46	93	0.386435386689597	-0.0142067752136159	0.000155896145098554	
56	104	0.622466282314057	-0.007097355993797	0.000924600621522034	
76	99	0.334795261668539	0.0150645345985011	-0.00190925855862526	
96	116	0.139951097862991	-0.021263796565874	0.00164404709661352	
26	113	0.255006849235558	-0.0171251676171761	-0.00294319005456423	
67	94	0.253648932394805	0.0181774225752041	-0.00101105300857852	
36	100	0.31729574221918	-0.0149094560063907	-0.000849584700979895	
6	123	0.403731580535555	0.0120482228113562	-0.00489665955007276	
47	124	0.754837581057457	-0.0042225310630856	0.000508615035895536	
86	111	0.705494239548631	0.00547035712867603	0.00176134084984898	
17	124	0.897953111612654	-0.00163236026902307	-0.000433506886729163	
57	106	0.20072927253344	-0.0261508114548312	0.00427372322181654	
77	107	0.478045771601366	0.0108579514593756	0.000494830465386899	
97	100	0.557828790966467	-0.00965210391508502	-0.00227441701099265	
68	114	0.0425962682228538	-0.028369784168922	-0.000161110477876993	
27	114	0.588403860100108	0.00806654849023451	-0.00022099286174942	
7	108	0.904904960659112	0.00200422487770944	0.00478642626744737	
37	94	0.454979132752779	0.0122069876153237	-0.000723982317398401	
48	120	0.754132534704151	-0.00433196338922152	0.00125151111476253	
87	96	0.295733115473528	-0.0187178549444975	-0.000376251250771597	
18	92	0.0761102366964228	0.0265964864202955	-0.000881156583529564	
58	94	0.837056175627635	0.00330240872027314	0.00182961765634668	
78	108	0.298183159112273	0.0157863912250589	-0.000923667109009997	
98	114	0.471876144128243	0.0101199968000324	-0.000264784289553031	
69	104	0.632502343873872	0.00680665415781539	-0.000425544688025999	
8	109	0.290844011241895	0.0152843818822527	0.00222116228404669	
38	104	0.664361078951065	-0.00622585869267614	-0.000422950055614772	
49	109	0.429553099600095	0.011626324087774	-0.00114732037836352	
19	113	0.94189820689894	0.0011604287117419	-0.00144442974890866	
28	103	0.62152419246366	0.00822208173364883	-0.00273477109635645	
