simNum	IVsNum	P	eff
1	99	0.00221430313608906	0.223438970549712	
51	98	0	0.223212785202994	
41	122	0	0.366442896609667	
71	124	2.70450328798688e-13	0.269144706965951	
91	124	0	0.200408415720537	
11	112	2.99621674622053e-05	0.207866826534602	
81	116	0	0.232041594483608	
21	118	0.102133624682498	0.0512015726207421	
52	109	0.171459430785036	0.0488840301205247	
61	115	3.00466087017615e-05	0.197660808784964	
2	93	0	0.212205180286883	
31	114	0.138994073182957	0.0590322711062153	
42	98	1.76521020023301e-11	0.207859207880919	
72	120	0.000443773241317169	0.22085935651767	
92	106	0.00760485674855071	0.0933901679043123	
12	117	0.0986364814563643	0.130551112886402	
82	107	0	0.214970640041471	
62	117	9.85585879575979e-09	0.245457866878702	
53	113	0	0.216897998968565	
22	124	7.20568538170596e-09	0.224943033430971	
3	110	0	0.190728652291878	
32	111	1.11022302462516e-15	0.249602836794169	
43	93	0.003023880452931	0.176647926362499	
93	101	1.99131309759348e-05	0.187215999080762	
73	106	9.86597240364429e-05	0.218488099867745	
63	109	0	0.218846841424877	
13	127	5.10702591327572e-15	0.194616162381186	
54	102	1.72266351472494e-06	0.253907052063217	
83	112	0.0132899421691894	0.150702936597602	
4	107	9.32661225583331e-07	0.353297927273577	
23	98	0	0.220028629006043	
44	95	8.15464813896938e-07	0.231439296461566	
33	101	0	0.401331806058738	
94	108	0	0.228739598347323	
74	120	0	0.230032805575343	
64	121	0.00255220875912165	0.210783071500952	
14	97	3.50830475781549e-13	0.244327864495384	
55	101	0	0.236510520962865	
84	110	0	0.236338852967707	
24	99	8.53940733680503e-07	0.225538886180266	
5	113	1.13285558711596e-09	0.371985201770675	
34	105	2.32651832265951e-06	0.168172183770334	
45	124	0	0.329520009762463	
95	115	0	0.22587642807088	
75	111	0.000113869085965224	0.211194118961772	
56	115	0	0.234229597396699	
65	107	0	0.186591590043755	
15	118	0	0.236702105830262	
25	113	2.01281213918492e-11	0.230834014968803	
6	115	0.00010910936525077	0.201092948475806	
85	97	0.0678579651980744	0.222905523543472	
35	107	1.50692469169655e-07	0.224480061689092	
96	117	4.16127199365235e-09	0.203640124559298	
46	108	0	0.218290695823189	
57	116	6.51744296162882e-05	0.21385366979686	
76	98	1.353368084267e-09	0.212530699925325	
7	100	0	0.22287626051699	
16	119	0	0.247064197167073	
66	118	1.84334823360999e-06	0.226483391050023	
26	89	0	0.198175337608306	
86	94	0.000627377595850742	0.276825074565604	
36	100	1.37667655053519e-14	0.200762811899407	
47	110	4.43045600206915e-12	0.22600585308276	
97	106	1.03399719748598e-05	0.340861008805498	
58	97	0	0.217860723150431	
17	93	0	0.211750657597861	
77	103	0.000131182491602599	0.196174957157861	
8	110	0.372599922754498	0.0459621735712881	
27	97	0.0151202054334549	0.182548642670239	
67	106	3.09885450633374e-12	0.202907512221913	
37	102	6.13839064467214e-06	0.17702366779877	
87	109	5.78322457103209e-05	0.259909846013148	
59	99	0	0.194391543397266	
48	95	0.0083315458968789	0.172661888746847	
98	122	0	0.365619907637466	
18	127	5.3161919311151e-12	0.21666895882455	
28	96	0	0.220389643701985	
9	104	4.25029544892652e-09	0.160076787848504	
78	103	0	0.219058307596419	
38	105	0.000551508976708304	0.190354545526234	
68	97	0	0.236755887045482	
88	113	2.26570738965925e-05	0.31918607867762	
60	113	9.79119012534113e-08	0.231353755317247	
49	99	4.44089209850063e-16	0.212598910170296	
19	124	7.12272241187861e-10	0.30627003760434	
29	115	7.00891044758123e-07	0.204975820106514	
99	106	1.88496360742363e-08	0.21221662403217	
10	124	0	0.240662739347881	
79	117	0	0.247484795468627	
39	129	0.337980204873408	0.0263333870410313	
69	105	0	0.376653903909357	
89	115	9.10293847244947e-05	0.226378248519129	
50	106	0	0.204775404124033	
30	99	0	0.216297879197739	
20	101	0.00339148485393892	0.246551785955214	
100	107	0	0.212758238757205	
80	99	0.455439502021459	0.0931929915878451	
70	108	0	0.218223346826587	
40	105	5.31674579651309e-06	0.254505563987693	
90	108	0.00272596865879482	0.120507805485408	
