simNum	IVsNum	P	eff
41	744	1.99041194763554e-06	0.182664573052363	
51	676	2.47869325665917e-06	0.193260083188311	
74	724	1.45667976920326e-06	0.187768076697132	
48	659	1.25659439380036e-05	0.192009577777754	
15	722	1.25998130482666e-06	0.201272059115408	
97	704	8.58802825508172e-07	0.191002686900459	
68	676	6.98251826744973e-07	0.181494735492257	
1	711	7.34845238503955e-06	0.174804539816457	
21	674	1.10403764697511e-05	0.206968483366062	
58	680	4.85522604045877e-05	0.182073092600023	
31	690	3.89991084876749e-08	0.221732517083355	
38	707	1.69693247328415e-05	0.182881244470589	
25	772	2.31975880180719e-07	0.198420601652484	
28	654	0.000101392407622475	0.185345244288278	
61	734	9.13297157826971e-05	0.178365922810699	
8	743	1.95463081622288e-05	0.172448430564843	
54	753	2.55439311547704e-06	0.196425795248296	
44	691	3.74283903617247e-06	0.181596194337414	
18	736	1.64172609235447e-06	0.196380204938134	
34	707	1.51878180348084e-06	0.172953730239762	
87	694	6.11009102256217e-07	0.195896295934842	
64	718	1.76230629537874e-06	0.187715239552606	
11	715	1.21666975427147e-06	0.185567701709983	
71	711	5.50722558042319e-09	0.224221687128732	
77	723	2.03556717881878e-05	0.182669030794446	
84	703	4.43532824280794e-06	0.20830602833061	
5	691	2.28454667152573e-06	0.180521901061112	
81	681	1.05332054943328e-05	0.181614393538752	
94	723	8.21209737581946e-07	0.185835438210988	
91	769	6.34419889057056e-06	0.182051454463798	
75	690	2.62027858503241e-06	0.166293563784886	
52	747	7.86201282076521e-05	0.172954159310891	
35	672	8.33432734528954e-07	0.174272206906549	
49	719	2.43135493936734e-05	0.16183698239686	
2	676	2.56375072533362e-06	0.1780817841646	
69	697	2.98624288819291e-10	0.212954770529857	
42	720	1.61567833061827e-06	0.200501111445591	
59	744	1.01054221004556e-06	0.168288081945702	
26	704	4.30944925776622e-06	0.184890511770768	
39	760	2.00069637328428e-05	0.175821287695158	
19	730	1.37813619437005e-06	0.183124185577372	
45	755	3.66175073367387e-10	0.209723491057314	
12	703	0.000258827972394083	0.177632643288231	
88	752	4.25403166127397e-08	0.185927538181697	
98	769	0.000298423164297422	0.19951276394447	
16	695	5.272024706594e-12	0.21871070582487	
72	715	3.92253608459751e-08	0.190870581252841	
55	695	9.55856586849244e-06	0.183123236056147	
85	742	1.62781337999574e-06	0.18435128882754	
78	751	9.04643648822013e-07	0.186123638266873	
22	713	2.84441967733174e-07	0.180328451641237	
29	700	1.31749792426292e-09	0.211878810152065	
32	727	8.1948809451418e-07	0.197423682258307	
82	695	2.97021895145942e-08	0.193540400681303	
92	712	0.000103510330756954	0.190427371313061	
95	823	1.45554237118177e-05	0.17536399019246	
65	772	8.03411912026298e-06	0.15096457939939	
62	726	7.68673006844395e-06	0.194813929211074	
9	706	0.00021867336927714	0.163834790662251	
6	728	3.00150969723708e-06	0.203124643309921	
36	659	3.45002797400016e-07	0.184712510330388	
76	712	5.79184037266383e-08	0.212822284964899	
43	720	4.13947506010725e-07	0.175607228963662	
53	682	3.87011562111777e-08	0.195214840421435	
70	727	2.80501934908237e-08	0.190782325514149	
40	707	3.26967960754826e-07	0.188514326139627	
3	715	0.000432029396240082	0.171479092669774	
27	696	1.68220920066885e-06	0.216996792251846	
50	768	2.86097807905204e-07	0.185185334611172	
46	694	2.42543634252257e-06	0.186464955973236	
86	695	0.00068623631877043	0.161179186793775	
56	687	3.9846518247382e-07	0.205410241631714	
60	747	3.86470495492308e-10	0.217793251958367	
99	708	1.1196247426881e-06	0.169610514087135	
79	760	1.74116734053561e-08	0.202596969531713	
73	750	8.69570599811398e-08	0.207242608637184	
20	704	0.000158416800021546	0.179604968971251	
30	667	2.65104191510601e-07	0.199834032538368	
13	780	0.000385677083806904	0.188559783297347	
93	744	8.10649347371832e-06	0.162833638723676	
17	696	9.1379237466748e-06	0.196727642432625	
66	691	5.74820611315595e-09	0.208745819972112	
89	702	3.68798553071562e-06	0.220233300559378	
23	675	1.18864271256238e-06	0.184722757211773	
33	719	5.38972965815e-05	0.17804893406696	
7	734	9.30831230360171e-07	0.193785173010653	
96	739	5.69994962748927e-05	0.209675536632421	
83	709	2.44441825012282e-06	0.184238764812781	
63	776	1.35947055247277e-05	0.189356724434499	
37	723	2.6703194696539e-05	0.190914711564073	
47	752	3.31744917775459e-05	0.172887909227068	
4	711	1.13803649049241e-05	0.172933763968355	
10	754	4.07487632807818e-06	0.194264107590535	
80	731	4.25167236100695e-05	0.182250755402606	
100	678	1.43444630217915e-07	0.21226612629133	
57	678	1.402999376341e-06	0.173213370944003	
14	741	3.49706140276429e-07	0.198897738463682	
90	748	0.000251428329370162	0.189815964394531	
24	693	4.82503684758623e-05	0.175721432977951	
67	727	1.92651123186981e-07	0.194625313785854	
