simNum	IVsNum	P	eff
11	108	1.29722361741358e-08	0.0842288843245848	
41	104	0.000240075942005591	0.0651336987931423	
91	105	1.37502808250645e-07	0.083467930088914	
81	82	0.00408449271484779	0.0488419585929839	
1	105	0.0323988158223441	0.0486445520120887	
21	106	5.50431094383796e-05	0.0625346848577201	
51	98	3.8490368443167e-05	0.0725808217156733	
71	104	0.000164248203050166	0.0568018309213864	
31	120	0.000494438895596749	0.051817956460763	
12	109	8.30172361556691e-05	0.0603383746836644	
61	97	0.000263898663468654	0.0711104086261025	
42	96	0.000226622321251035	0.05315863973928	
92	90	0.0605568459927062	0.0363699981372044	
82	107	2.11544182171508e-09	0.0873881796174246	
52	109	0.000220333716138388	0.0696537953912841	
32	99	0.00170642117701236	0.0481170649539976	
72	108	1.50361398159049e-05	0.0623454340959087	
2	122	0.000331646418372467	0.0542641270566472	
22	115	0.00242792232360967	0.0417172631516265	
13	120	0.00723575170288671	0.0654427253840682	
62	104	0.00107871461502684	0.0620944229831524	
93	121	0.000329856877648194	0.0497777575071532	
43	100	5.36492373015562e-06	0.0943939621481042	
53	106	9.48811410472761e-05	0.0556432438426996	
83	92	0.000265584076156733	0.0630624133184461	
23	95	0.00199557459441846	0.0458939203177023	
33	110	0.000792084084723754	0.0593557514715691	
73	113	1.39984468461307e-10	0.0872082916370465	
3	111	0.00019651491370265	0.0545302740397935	
44	91	0.000158615435603693	0.0609786408514919	
14	131	0.00111895042808174	0.049008284056043	
94	102	2.50375075583342e-05	0.0730370851539065	
63	109	5.10939821563028e-08	0.0791972553852135	
24	91	1.74964723154147e-07	0.0826794901448177	
54	104	0.000867806752195666	0.0556792291662847	
84	108	0.0358220510252283	0.0333009135571807	
34	106	0.0629414871245684	0.0919708841702943	
4	107	0.00794325601430068	0.0384297626848034	
74	112	0.00462090920337288	0.0482363579111836	
45	113	1.30915767260209e-05	0.0699595639502119	
15	109	2.32491560159254e-06	0.0712477865084216	
95	102	0.000197070632087959	0.0743625708352924	
64	120	0.229161207449696	0.0843120685008311	
85	94	0.00135334757767347	0.0491874062810827	
55	112	6.24996392728505e-06	0.0676282604009524	
25	98	9.38823995257909e-05	0.0720534501659507	
5	97	0.000287567365193198	0.0574812291972392	
35	116	4.64352556406311e-10	0.102266923204042	
46	113	2.88620166100095e-06	0.0713663196136246	
75	112	3.83674516557519e-06	0.0759351757714119	
16	119	0.00291383315048299	0.0468406117220312	
96	97	1.05773849312651e-05	0.0671835105685803	
86	97	2.19469553268681e-05	0.0730720804420919	
65	83	0.000376546289234447	0.0572174280806843	
6	101	8.64078288920211e-07	0.0718430922368521	
56	115	3.13371639992788e-06	0.0657019026280793	
36	106	5.1930378885956e-08	0.0829322181797604	
26	117	1.79434467284523e-10	0.0874422354378059	
47	103	0.00797774718128452	0.0400644661190729	
76	92	0.000478875190066619	0.0579353853366227	
17	90	0.125931724590661	0.0294219853094936	
87	95	5.07059949583777e-10	0.0958925872151292	
66	93	5.2730589914507e-06	0.0761356202604462	
77	93	0.21881176951108	0.0245391460959911	
97	118	0.00603836305635674	0.0454759485751826	
78	112	0.000335838668599431	0.0560082731701868	
67	102	8.61273654617634e-08	0.0774813157941363	
37	98	0.033069220891156	0.0430258232373689	
27	104	0.000125056623668351	0.0551165742400754	
7	96	0.00127413377593166	0.0469071162933023	
88	107	1.59326110460434e-06	0.0717438640246175	
57	110	0.00164189957440741	0.0517999716971842	
79	82	3.65557183279464e-05	0.0648687940246578	
18	117	0.000259579991189307	0.0565023401601405	
38	115	0.00259345447705228	0.0412198639775366	
48	119	1.18892168932128e-06	0.0674929859102181	
98	113	6.45285129181605e-05	0.067831399120361	
28	108	1.50853168778831e-06	0.068313535436107	
8	131	0.0130793466119528	0.0446588907930833	
68	121	1.11994799989468e-06	0.0745119665212927	
89	113	7.3413675381051e-06	0.0578375869886545	
58	102	3.61959897143826e-06	0.0676580221630776	
39	104	0.0118831638469989	0.0489018028562075	
80	102	2.9971971957643e-06	0.06647003963858	
19	120	0.0290244774729151	0.0366260243643646	
69	122	7.88822043908954e-05	0.0618247685577768	
59	94	0.0124096536108098	0.044661955226708	
99	104	8.82356469713574e-05	0.0660941341424593	
90	120	0.000226301517034289	0.0616305072775865	
100	90	1.27316651961085e-05	0.0698196534738615	
70	111	2.02253125380913e-06	0.0750527714437033	
29	105	0.0118124503408517	0.041192628053081	
49	114	0.00567109576153779	0.0374612924789605	
9	128	6.78346268045971e-13	0.0977974690129557	
40	113	0.000401930779871718	0.0518272457190369	
60	105	0.0034327648583603	0.052953884500865	
20	126	0.00591557774774087	0.0778447687249856	
30	112	0.0100835223805968	0.0815166911647194	
50	110	4.08566881773265e-05	0.0601095782146022	
10	105	0.152808771009663	0.0422940468574928	
