simNum	IVsNum	plei_test	P	eff
35	73	0.012	3.55253780029147e-05	0.0885942974910917	
69	86	0.006	4.59607986342017e-05	0.076940083030426	
61	92	0.005	4.30648478431115e-06	0.0885094114258442	
75	94	0.256	4.45567027625677e-08	0.0893681491574841	
7	95	0	0.000128326982563318	0.0751609558894124	
31	97	0.02	0.000226761890173691	0.0641181870803984	
37	97	0.068	0.000779090318454354	0.0576063761577085	
83	94	0.055	0.000358377176966787	0.0619016353684634	
15	96	0	7.16039742942522e-09	0.117711614499736	
57	99	0.021	3.30808108168142e-05	0.0715568371604582	
73	98	0	5.65579883781374e-08	0.108062277481287	
1	100	0.165	5.05073375582873e-10	0.102120911161525	
67	101	0.057	0.000732785790206537	0.0556435446143086	
41	99	0.009	0.000306664333472869	0.0624531880499254	
85	102	0	0.000681532930487807	0.0623040870407579	
49	101	0	0.000169725018653155	0.0752288841318259	
23	100	0	0.00102822751289881	0.0597912683573748	
17	100	0	3.83101900606543e-07	0.0933706222272111	
97	101	0.066	0.0012470530007731	0.0509239051125552	
27	104	0	3.97956010371559e-06	0.0979889769674224	
11	105	0.039	4.0230939946841e-07	0.0847821964607399	
59	100	0.004	5.88815646913127e-06	0.0829423811048378	
95	103	0.003	0.000625109545765956	0.0606918791006276	
77	104	0.246	8.18315487401661e-05	0.0626005347947435	
79	105	0.043	1.87406970049464e-05	0.0726890572196526	
65	108	0.001	0.00101399797551122	0.0592255080592562	
99	107	0	0.000159019423048409	0.077078298954288	
63	107	0	4.87427244423245e-07	0.097653624452963	
91	107	0.052	0.000434149322796294	0.0543861613101683	
55	107	0	0.000266634010527999	0.0660019539001193	
9	106	0.012	0.000547859171218846	0.0559706750770064	
93	108	0	3.65418486640745e-05	0.0723729709313022	
43	105	0.067	2.52932653289687e-11	0.116611819391331	
5	106	0.001	0.00355718639723247	0.0505303183547682	
81	107	0	8.65955647273597e-08	0.102041433444801	
29	111	0.014	5.10257867926139e-05	0.0643945908709007	
13	116	0.013	2.71382458576443e-06	0.0767023930983646	
47	111	0.037	0.000165763529649377	0.0599887699944368	
19	113	0.002	7.78076930686653e-08	0.0888972313988071	
51	116	0	4.38382946473898e-06	0.0770768486844779	
87	119	0.271	7.68640901503347e-08	0.0801408599300419	
33	111	0.002	2.02378308969774e-06	0.0809659051333734	
89	118	0.014	1.3074489983152e-05	0.0701950954484196	
21	121	0.149	4.7589447403178e-05	0.0587965344630429	
3	120	0	4.18324668283299e-07	0.0859050189884514	
45	126	0.085	3.69481380813465e-09	0.0904475135364837	
25	124	0.001	2.12017944699443e-07	0.0887687122427745	
39	124	0	1.78948424536059e-07	0.086771433690554	
53	127	0	4.88903683891616e-06	0.0732477708701409	
71	131	0	1.53847367593812e-08	0.087988748190683	
76	87	0.015	3.11961826184004e-08	0.107117770344817	
24	81	0.107	3.06821762595641e-07	0.0985553792724323	
36	108	0.033	9.89722155109501e-07	0.0811976184599036	
68	91	0.002	0.000730975140730205	0.0651705060716803	
32	95	0.002	2.09754379627493e-07	0.0958621718545706	
74	97	0.258	8.5353722687127e-06	0.0719301649415118	
16	100	0.002	0.000222740302055417	0.0649876989490182	
48	85	0.026	1.36894155399703e-06	0.094614677080968	
2	99	0	9.84208600789843e-05	0.0747464679217573	
62	107	0	3.67715107760353e-05	0.073063290042891	
80	94	0.007	0.00166684468766612	0.0541025263403869	
44	87	0	6.25330119288986e-06	0.0976093707253933	
18	101	0.001	0.000376599587387356	0.0646167504375267	
100	97	0.021	6.52659701990308e-05	0.0685415774182553	
10	97	0	6.95036240978444e-07	0.09174427785314	
66	100	0	2.19209592972388e-06	0.0859740307388887	
98	104	0.054	1.33123659200358e-05	0.0704555833719694	
30	97	0.003	1.47875037281658e-06	0.0809330466451283	
92	103	0	8.45838900878396e-05	0.0722832792385047	
70	120	0.005	7.16297334565454e-05	0.063332261229291	
96	99	0	4.25678455340671e-05	0.0837874812520026	
52	92	0.03	7.30632401600847e-05	0.0705265575973311	
58	113	0	1.98533299504676e-05	0.0772968130847142	
8	114	0	2.28524076715707e-06	0.0844878403266371	
20	97	0.011	3.10586701711382e-05	0.0744537957050702	
6	104	0	5.83235046560566e-07	0.0945160367327186	
60	107	0.064	3.01792291886333e-07	0.0877563843337339	
84	114	0	4.28336347462828e-09	0.0976451690597567	
64	109	0.036	0.000164815620211732	0.0621976252780411	
50	110	0	1.54793328895138e-06	0.0986673811114073	
28	113	0.237	1.06694643713711e-06	0.0725494434727383	
38	120	0.007	4.53042009521485e-05	0.0655317185693158	
78	110	0.306	5.50183276871789e-10	0.0933261598396904	
14	111	0.016	1.57688686839188e-05	0.0706103055612549	
12	115	0.002	1.95027788339935e-08	0.0967856637118578	
56	112	0.002	3.4171391716518e-07	0.0908534929046059	
88	100	0.009	4.60070154210717e-05	0.0755299923820293	
42	117	0.076	8.54338084200768e-08	0.0840896229593196	
86	119	0.144	4.71907712801575e-11	0.102142358678263	
90	101	0	0.0147801577967149	0.0441556394794309	
34	103	0.002	0.000249633446776423	0.0634718897534537	
94	120	0.099	2.83002776823993e-05	0.0634436764632781	
82	118	0	1.25094273915155e-06	0.0821955900522278	
40	106	0.009	5.56072088104596e-06	0.0774443155093576	
22	114	0.001	7.35907841203935e-05	0.0650067317693637	
46	114	0.084	1.37946209133847e-07	0.0842178499076072	
4	111	0	0.095151166887988	0.0261307805345265	
54	107	0.051	9.07477938355267e-05	0.0619075019827302	
26	111	0	0.000912910399927659	0.0537541163511932	
72	112	0	1.60939416614875e-05	0.0766123701726427	
