simNum	IVsNum	P	eff
61	95	0.0790782673271218	0.0267488025823382	
1	99	0.00242559898887484	0.0463609225158248	
81	102	7.71239245911381e-06	0.072874873243756	
62	107	3.23798905466077e-08	0.0779852619784223	
71	104	0.0011839442145678	0.0573932463847085	
41	101	1.30227606476296e-09	0.108104273671234	
11	126	0.0399763825551713	0.0833120197393193	
72	85	1.99840144432528e-15	0.127761373047993	
21	112	0.00515796968279725	0.0418283480245225	
51	106	1.62664836595994e-05	0.0797927417369353	
31	118	0.00819944748525359	0.0825135826624146	
91	115	0.00056389214439645	0.0517404538277537	
32	95	2.21961279378569e-06	0.0729874302325215	
33	88	0.0167662655745122	0.0553734613758287	
52	113	0.000389962795845911	0.053665420572436	
42	110	0.091269092632505	0.0346744922312866	
12	117	6.6318997016479e-05	0.0567606395234051	
82	103	5.53824977205242e-05	0.0664171584964656	
2	115	5.75177622152978e-06	0.0709816655447693	
22	111	7.90423367629245e-05	0.069450774693298	
92	107	7.75111899153913e-05	0.0585892037008511	
73	105	0.00124284409005004	0.0459466703431474	
63	106	0.000107673481508641	0.0644474778701049	
34	104	0.00466728966344943	0.0445303447921635	
23	89	0.00693600637642144	0.0466049840480934	
74	88	3.32816079806619e-07	0.0839392375687956	
83	96	0.00448162853722156	0.052327763905168	
13	107	4.32346039576093e-05	0.060305344046098	
53	110	1.77864503350111e-05	0.0633519363971498	
14	83	0.0252577219584356	0.0518451887817172	
35	113	0.00014605274653734	0.0596440740771878	
3	112	5.82408415206181e-06	0.0807681649379071	
4	85	0.000185547661706531	0.0743637985714172	
75	114	0.174435002625818	0.0457460316164087	
43	112	0.0808901170521505	0.0507597127758598	
64	102	6.77751388789005e-07	0.06888072211475	
24	119	9.65640478143293e-05	0.0633583351957975	
54	100	0.00227628707411198	0.0448694591386074	
93	127	1.45452538902191e-11	0.0976960688564999	
84	115	0.00967674675121355	0.0571765958167882	
36	103	0.00169703873850424	0.0518313458937973	
15	98	0.00403248907575438	0.0867887944484466	
94	112	2.91051782674856e-09	0.0883880956525102	
85	87	0.0314601121396236	0.0409415731306271	
76	109	3.59210054663439e-05	0.0653092755774232	
5	126	6.64623911461604e-12	0.0954250001499995	
44	96	0.00016206796924112	0.0651311826733904	
25	105	0.00354098041707407	0.0539897337702246	
55	131	0.00337730202716546	0.0426506039887763	
77	84	0.0173779084316565	0.0376759278075331	
65	123	0.0160976887470734	0.0400406888270376	
95	109	4.71690985077711e-05	0.0670405985282977	
16	96	0.00741910897620479	0.0530932572897124	
37	96	1.56516398797102e-06	0.0835309735945991	
86	105	7.25635829601501e-06	0.07454078482797	
17	90	3.85757985517099e-05	0.0661235127270414	
6	100	0.0493678952583707	0.0339261477559867	
45	112	1.12908789737798e-05	0.0689619530555545	
56	113	4.5284963092973e-05	0.0570611220168643	
78	108	0.0317018292118971	0.0486402743120424	
66	105	5.02208119861347e-05	0.0601568654986195	
38	110	3.36476402296171e-08	0.0918154866287084	
96	107	1.74966828880851e-05	0.0706561404019653	
67	91	0.0139408577023303	0.0394555212117576	
26	113	1.33775701445238e-05	0.0696263479267462	
79	93	1.30003741105611e-09	0.10653260340019	
87	114	0.0147381835108995	0.0555172031218247	
18	106	8.08566156074164e-06	0.0697960375732143	
68	93	0.002466814904313	0.048478784885182	
7	108	0.0178161706209854	0.0363712327131605	
88	94	1.60453872410926e-11	0.103755487795192	
46	115	0.00649885026566444	0.0730775551901608	
57	102	0.00561375148900001	0.0401119137660986	
97	114	2.36698158850857e-07	0.0690405057334897	
39	119	0.00172091787891038	0.096810812242386	
69	99	0.00266278696896483	0.0459199793537008	
58	84	0.000180281298548968	0.0640835618709915	
27	115	0.00338668149890164	0.0493025192372095	
89	105	2.90568207552688e-05	0.0621351958581152	
8	115	6.55323165177357e-06	0.0669656289646188	
40	92	1.78514326654167e-07	0.0949396270687234	
80	116	0.0112631169104187	0.0465244761509792	
19	114	0.00099569615530859	0.0752959468636886	
20	94	0.0374645160398221	0.0452013127071587	
47	103	0.00014635151856579	0.0565011817406629	
48	95	4.88986628965904e-12	0.102702825644067	
70	112	1.22331034191347e-11	0.0954419557172353	
59	100	0.00276215430877236	0.0596980303820605	
98	104	3.09683544363892e-05	0.0597447817345154	
90	117	1.02562212056512e-08	0.077941967135255	
9	111	3.98142972302118e-05	0.0727246253987855	
99	94	0.00155480472298186	0.0482544496550648	
28	118	7.44665982921333e-06	0.0662928333379715	
49	114	0.0113411271711275	0.0442887839759037	
60	112	2.45015767037504e-05	0.0635083619669188	
29	101	0.00473383854149656	0.0427537723051893	
10	118	0.00620068727029555	0.0649138109114017	
100	107	1.69591121366164e-05	0.0644061366557688	
50	123	0.067038602438336	0.0304049103225318	
30	117	0.0101931775132349	0.0409653657396288	
