simNum	IVsNum	P_random	eff_random	AIC_random	gamma_random	prop_random	eff_mean_minClass	sd_minClass	P_minClass_mean	eff_mean_maxClass	sd_maxClass	P_maxClass_mean	correct_factor	CHVP_test_correct
3	112	5.1168579703142e-06	0.144504604329301	-717.005859052751	0.0244073322638149_0.144504604329301	0.498617660858071_0.501382339141929	0.0376496818996793	0.031672898678595	0.237093309624187	0.131334386084872	0.0301446916321248	2.95720328006242e-05	1.43318103842779	0.0571986038185209
1	99	0.00035249808172427	0.11025554458177	-629.484928387266	-0.0182011376585597_0.11025554458177	0.498978147379135_0.501021852620865	-0.00742974211788845	0.0331309674536106	0.823026773839278	0.100096172151151	0.0297756486488637	0.00110578225233405	1.34915873710042	0.0262781183348183
4	85	0.0241685083858935	0.109119533420071	-511.014301196823	0.0389761959106753_0.109119533420071	0.499999141932748_0.500000858067252	0.00297241864573544	0.0441403782732697	0.946470961490463	0.144199072924332	0.0475265223947723	0.00321038616318382	1.04112590991809	0.0313720284710721
5	126	1.01250406700068e-06	0.115639362596664	-781.934946864855	0.073575693918858_0.115639362596664	0.498870043664392_0.501129956335608	0.0766955205145912	0.0283732941023423	0.0078258651395605	0.112109591975188	0.0224820397713525	2.00556229466354e-06	1.44958087301254	0.46997749862451
2	115	5.59676309074906e-05	0.152214399493274	-693.292974047674	-0.00546202205671636_0.152214399493274	0.49986543535975_0.50013456464025	0.000976472282468854	0.0373519445992797	0.97918940597034	0.144219280750562	0.0363565226768165	0.000127637372992125	1.75085762373431	0.0173571685467686
6	100	0.439737158824866	0.0317913924007405	-617.927563243977	0.0317540500499124_0.0317913924007405	0.49999999999998_0.50000000000002	0.00534660963863623	0.039306473323967	0.892078802419395	0.0629959287617134	0.0409807120087001	0.127432119251875	1.54360718348914	0.475693627627114
7	108	0.212786967394053	-0.0438709687671291	-643.891028355945	-0.0438709687671291_0.123720593077154	0.500697711457808_0.499302288542192	-0.0361875450526504	0.0350011790637154	0.303516357088149	0.114509848450317	0.0412302242014458	0.00647299446134723	1.62925360306719	0.0134297704958536
9	111	0.480559535988117	0.0202437368707793	-706.924082418526	0.0202437368707793_0.124428922903895	0.501008788977785_0.498991211022215	0.0233875094718726	0.0286004740032918	0.415278248212841	0.119979318109384	0.0332908630752927	0.000472269292217843	1.1470250850213	0.0345062503487351
8	115	0.00148801654378583	0.117118422030804	-680.128728189999	0.00444477334469123_0.117118422030804	0.499180267563337_0.500819732436663	-0.000493632808832937	0.0432537588463025	0.990914301400293	0.12086384850148	0.0359695355927505	0.0010602581767697	1.56771712032524	0.0642316216927274
10	118	6.64418171669127e-06	0.156196828228815	-725.492433753771	-0.0299637456188725_0.156196828228815	0.498271765238789_0.501728234761211	-0.00733205876331844	0.0357422613772346	0.837821588574881	0.135693326406933	0.0331053957468293	7.69293370712958e-05	1.51003148814412	0.00735988290301587
11	126	0.16092747984837	0.066516094424433	-731.954446611715	0.0421846252849234_0.066516094424433	0.49998320754298_0.50001679245702	0.013978697616421	0.0381978873359051	0.715017457948722	0.101110885997055	0.0471636811183073	0.0339829113286321	1.44361466116793	0.239319334317005
14	83	0.730233460911899	0.0107574608807923	-502.06241146679	0.0107574608807923_0.08240365132657	0.503781178826196_0.496218821173804	0.00714850829715157	0.0310914767613647	0.818727613492816	0.0867856729139817	0.0359649732674775	0.0180487122045502	1.97271691621287	0.241213923781961
13	107	2.30850811798306e-06	0.143474563247971	-658.953924838007	-0.0248370296394862_0.143474563247971	0.497573059227142_0.502426940772858	-0.00941773318065125	0.0319507121850319	0.768755134251579	0.12912316886934	0.0287113935836598	1.76718790281376e-05	1.52868595155782	0.00298028662215108
12	117	3.67348540674653e-05	0.133202862951205	-726.097766597939	-0.029932720881298_0.133202862951205	0.499181813213057_0.500818186786943	-0.0123507010586013	0.0362240652653434	0.733755780275028	0.115503056476372	0.0310267040387846	0.000305655806636664	1.49549474052486	0.0153429859723235
15	98	0.948971924368976	-0.00153347067911544	-597.203262465344	-0.00153347067911544_0.172437544580275	0.503838258076144_0.496161741923856	0.000510825946657661	0.0238993489141413	0.982991177981054	0.170654444895573	0.0352632408972654	4.9078947412504e-06	1.29725764025566	0.000114803473605989
17	90	0.0338271202552092	0.0716271679737205	-546.448955915586	0.0716271679737205_0.071630515500496	0.500000000000001_0.499999999999999	0.0457231943082386	0.0332310240382656	0.172299345509184	0.108570784896923	0.0417040287931419	0.0108149405621114	1.32166480347005	0.324836557853028
18	106	0.0097586752316963	0.0584089836528077	-692.278754812707	0.0584089836528077_0.0778860835886979	0.500028563721318_0.499971436278682	0.0562464428874379	0.0221890465509262	0.0127234089298075	0.080832492486751	0.0251231286577397	0.00172023872167941	1.33836981750855	0.58580560381674
16	96	0.087340561290737	-0.056582753646349	-574.917113179063	-0.056582753646349_0.159306305454427	0.502071724222208_0.497928275777792	-0.0447388960162366	0.0327554879475454	0.175212762738495	0.149829317401851	0.0402439471383909	0.000333656699050306	1.50011516192307	0.000429950636331186
20	94	0.680400813736969	-0.014336887420227	-581.747802218363	-0.014336887420227_0.101403259274382	0.504330779194204_0.495669220805796	-0.00957854869335308	0.0346960082687518	0.783106370170276	0.0954356386575354	0.0350258272206312	0.007688593842498	1.44270041824659	0.0595470714638669
