simNum	IVsNum	plei_test	P	eff
17	83	0.033	0.0173723899699869	0.0446530517808228	
7	86	0.566	0.0219535010915011	0.034455222222777	
27	93	0.563	0.65082544343077	-0.00658095980586001	
57	95	0.07	0.0784705730071772	0.0285074160422184	
5	93	0.011	0.630286402725385	-0.00769725831944294	
15	97	0.902	0.590449831286997	0.00713103174977664	
95	98	0.915	0.131882323695863	0.0201663713367799	
37	100	0.181	0.336230070607152	0.0142494976194218	
25	98	0.308	0.0299407073117123	0.0331580897036727	
61	100	0.361	0.526729074415316	0.0090117105544053	
33	99	0.013	0.0145925608004788	0.0412829253167979	
39	101	0.111	0.686449479242442	-0.00635539244163265	
23	102	0.212	0.00679105096518762	0.0411104919373788	
55	102	0.431	0.0933692488206028	0.0250073571627986	
29	103	0.478	0.117027137584385	0.0231077676207102	
89	105	0.284	0.293444339222985	0.015235503135148	
13	106	0.068	9.49674040986814e-05	0.0630854877639673	
35	108	0.831	0.00800605356287633	0.0341264998408309	
21	87	0.751	0.0872279948844927	0.0252125609546117	
31	108	0.374	0.165565048557332	0.0201590858266747	
41	108	0.025	0.580648479560435	0.00852828730573795	
3	112	0.015	0.0408240870883397	0.0323668741268199	
79	89	0.02	0.0796210954672501	0.0302129295573953	
53	111	0.576	0.103816338400107	0.0223519984720811	
9	92	0.331	0.00449348998704789	0.0465371003071298	
93	93	0.547	0.347488784572333	0.0142254436215266	
43	117	0.328	0.12078089109711	0.0209564618160528	
99	94	0.382	0.189672786196929	0.0198836136097944	
91	95	0.638	0.0314126511324776	0.0309674586872276	
67	117	0.098	0.101604511847338	0.0237290435368294	
45	118	0.072	0.220587052446846	0.0178359261991348	
87	96	0.692	0.00093238266920919	0.048099432963575	
63	120	0.193	0.00560177654243007	0.0399744670228663	
11	97	0.215	0.0588908165256278	0.0295759614864278	
65	98	0.296	0.0362734982662704	0.0315373626545778	
49	99	0	0.00926486157784357	0.0465313882669299	
75	123	0.097	0.0511636237434074	0.0265325078947495	
77	122	0.535	0.0038947996872834	0.0379635509501557	
83	101	0.357	0.0790215072772996	0.0263393149260649	
47	125	0.26	0.192617360356472	0.0176709686953379	
81	105	0.114	0.0389300440855754	0.0307226827417871	
73	105	0.078	0.192025674225571	0.0206807878491463	
71	103	0	0.68129070388629	0.00671322751637714	
59	107	0.517	0.538867349726352	0.00856467712837797	
85	109	0.185	0.831173316742	-0.00325457852282783	
69	110	0.027	0.00659219288791841	0.0418556342569383	
51	114	0.676	0.126710238083243	0.0197299104560624	
19	119	0.026	0.00331105452548908	0.0444488821340189	
1	126	0.135	0.0303462974571864	0.0295829488965934	
97	128	0.639	0.297891617645433	0.0132748243799077	
18	91	0.361	0.0856640795013682	0.0269490108942186	
24	92	0.71	0.0867133697999224	0.0243294262110613	
40	91	0.022	0.048146068373578	0.0332081846570054	
38	93	0.032	0.265796070071922	0.0193353311460995	
14	91	0.462	0.228297481516663	0.0181326493440028	
16	104	0.339	0.017970300876675	0.0343476920823831	
62	94	0.004	0.0852082918441064	0.0300377844138691	
96	101	0.419	0.116208651637904	0.0237136451940768	
30	104	0.116	0.568491190827414	0.00876570357420964	
34	104	0.002	0.325416801501367	0.0168349927355981	
8	120	0.086	0.00175316322930337	0.0461657091757108	
36	101	0.459	0.00447974630597057	0.0428115842466801	
26	110	0.228	0.803724039586004	0.00351982489615545	
58	116	0.106	0.260989137968103	0.0166441572801927	
32	104	0.014	0.222682400129968	0.020114679060498	
6	118	0.109	0.00231097360188885	0.045819952385531	
44	97	0.397	0.855975720684205	0.00263804680115205	
68	95	0.356	0.0178131008947659	0.0375909729843563	
56	111	0.09	0.386730379403063	0.0129106079351842	
94	97	0.477	0.00325212053918531	0.0436925964483256	
42	107	0.914	0.000177347575775378	0.0495272409139369	
4	109	0.406	0.431702236406684	0.0109104381895784	
48	93	0.248	0.040591192374947	0.0337577047162055	
28	129	0.554	0.0134384557185054	0.0310384546141027	
88	93	0.492	0.0186215629563771	0.0372666060865876	
90	123	0.11	0.912270002929679	0.00153226841738996	
76	109	0.125	0.0125700389009436	0.0367549918662868	
78	110	0.258	0.100120984196342	0.0237393047125448	
46	113	0.424	0.112381500589999	0.0218296489180159	
64	111	0.144	0.656090244597583	0.00660595321658411	
80	102	0.352	0.00511486759568989	0.0409997194249893	
84	97	0.258	0.0185289418565034	0.0366663335298936	
10	106	0.832	0.348522001671617	-0.0120482705279112	
22	111	0.248	0.4187337048348	0.0114605056636187	
50	107	0.046	0.771931855859783	0.00456329361146486	
86	101	0.869	0.0292758558689981	0.0290056974268833	
82	102	0.809	0.0958907534046866	0.0223768974100475	
54	136	0.052	0.00123258559395142	0.0452118430958441	
92	117	0.45	0.0101807281740081	0.0343420536837265	
12	113	0.262	0.782354410616942	0.00389507947173333	
100	119	0.917	0.986835414118554	-0.000198359423563889	
66	114	0.094	0.0357291616238199	0.0309835879396993	
74	103	0.004	0.00810917206186866	0.0445016310002989	
72	111	0.176	0.112930030855002	0.0230946701661815	
70	107	0.065	0.106543288912184	0.0245044110447081	
20	104	0.07	0.990014590422102	0.000197329045796021	
98	98	0.593	0.368140448351389	0.0126347285835408	
60	131	0.349	0.0531865808559274	0.0250122073402964	
52	131	0.084	0.922973931241236	0.00131959854730624	
2	125	0.173	0.0167081405648098	0.0328454464497822	
