simNum	IVsNum	P_random	eff_random	AIC_random	gamma_random	prop_random	P_fixed	eff_fixed	AIC_fixed	gamma_fixed	prop_fixed
31	118	0.766892950650897	0.010297115235999	-783.852400014187	0.0102925355994588_0.010297115235999	0.499999999999939_0.500000000000061	0.766892950650897	0.010297115235999	-787.852400014187	0.0102925355994588_0.010297115235999	0.499999999999939_0.500000000000061
34	86	0.704245240769928	0.0147716644495427	-570.390660142574	0.0147678909112461_0.0147716644495427	0.499999999999964_0.500000000000036	0.704245240769928	0.0147716644495427	-574.390660142574	0.0147678909112461_0.0147716644495427	0.499999999999964_0.500000000000036
71	97	0.873511651162197	0.00858772969811137	-619.013145494389	0.00858772969811137_0.00859758831696973	0.500000000000026_0.499999999999975	0.873511651162197	0.00858772969811137	-623.013145494389	0.00858772969811137_0.00859758831696973	0.500000000000026_0.499999999999975
68	114	0.995371199390132	0.000295503404050701	-722.35173569546	0.000295503404050701_0.000297018992421031	0.500000000000001_0.499999999999999	0.995371199390132	0.000295503404050701	-726.35173569546	0.000295503404050701_0.000297018992421031	0.500000000000001_0.499999999999999
94	107	0.661063768299242	0.0191359891608783	-675.411132362897	0.0191359891608783_0.0191389305672798	0.500000000000002_0.499999999999998	0.661063768299242	0.0191359891608783	-679.411132362897	0.0191359891608783_0.0191389305672798	0.500000000000002_0.499999999999998
93	107	0.533918924803127	0.0243251602387541	-708.792966420901	0.0243197103596882_0.0243251602387541	0.499999999999888_0.500000000000112	0.533918924803127	0.0243251602387541	-712.792966420901	0.0243197103596882_0.0243251602387541	0.499999999999888_0.500000000000112
36	108	0.960162595791954	-0.00195857415559694	-671.963321963986	-0.00196042457212886_-0.00195857415559694	0.499999999999935_0.500000000000065	0.960162595791954	-0.00195857415559694	-675.963321963986	-0.00196042457212886_-0.00195857415559694	0.499999999999935_0.500000000000065
35	99	0.514821099432172	0.0287484411268672	-644.464072373614	0.0287484411268672_0.028755516952958	0.500000000000103_0.499999999999897	0.514821099432172	0.0287484411268672	-648.464072373614	0.0287484411268672_0.028755516952958	0.500000000000103_0.499999999999897
66	112	0.740792595501825	-0.0167643067408967	-700.898389758778	-0.0167681116798767_-0.0167643067408967	0.499999999999904_0.500000000000096	0.740792595501825	-0.0167643067408967	-704.898389758778	-0.0167681116798767_-0.0167643067408967	0.499999999999904_0.500000000000096
50	93	0.484430368788166	0.0364042179834259	-607.985607205636	0.0364042179834259_0.0364208649844882	0.500000000000575_0.499999999999425	0.484430368788166	0.0364042179834259	-611.985607205636	0.0364042179834259_0.0364208649844882	0.500000000000575_0.499999999999425
