simNum	IVsNum	P_random	eff_random	AIC_random	gamma_random	prop_random	P_fixed	eff_fixed	AIC_fixed	gamma_fixed	prop_fixed
35	91	0.0461535401961219	0.0975208953017879	-564.37898399114	0.0975208953017879_0.0975288122545526	0.500000000000155_0.499999999999845	0.0461535401961219	0.0975208953017879	-568.37898399114	0.0975208953017879_0.0975288122545526	0.500000000000155_0.499999999999845
16	111	0.964404964927668	-0.00176175981215438	-681.254288112783	-0.00176175981215438_0.162353390868542	0.500089087037904_0.499910912962096	0.964404964927668	-0.00176175981215438	-685.254288112783	-0.00176175981215438_0.162353390868542	0.500089087037904_0.499910912962096
92	98	0.6988230847553	0.131757247004183	-613.025501722173	0.0148788712101633_0.131757247004183	0.499273708771361_0.500726291228639	0.698725659433542	0.133157091436034	-617.024624895778	0.0134977656208254_0.133157091436034	0.499071728258609_0.500928271741391
4	105	0.00183964643163909	0.115719159453558	-690.244357995885	0.115704824619234_0.115719159453558	0.499999999999852_0.500000000000148	0.00183964643163909	0.115719159453558	-694.244357995885	0.115704824619234_0.115719159453558	0.499999999999852_0.500000000000148
55	124	0.619218085446357	0.0122483509270409	-774.612278258331	0.0122483509270409_0.175405724836416	0.500861844577135_0.499138155422865	0.619218089944449	0.0122483187610127	-778.612278258061	0.0122483187610127_0.17540575573499	0.500861843816162_0.499138156183838
65	112	0.0350242897486965	0.0815439852717311	-653.62433276915	0.0815430121456062_0.0815439852717311	0.499999999999978_0.500000000000022	0.0350242882544586	0.0815444618849956	-657.624332784011	0.0815425419201494_0.0815444618849956	0.49999999999991_0.50000000000009
86	105	0.852342289448348	0.179684724535317	-645.740290680346	0.0041713991807552_0.179684724535317	0.496826329829311_0.503173670170689	0.514058513418638	0.189865741701968	-649.082817900086	-0.0127344542369929_0.189865741701968	0.48626387393918_0.51373612606082
98	115	0.774507158324842	0.00791304334206969	-711.827927531923	0.00791304334206969_0.186275654997771	0.501812376068847_0.498187623931153	0.917494842336028	0.00156710492597107	-715.58791832891	0.00156710492597107_0.195754827689996	0.50719480871722_0.49280519128278
82	112	0.357705280087655	0.0270139839468576	-683.176884056848	0.0270139839468576_0.103189144685787	0.505470548144179_0.494529451855821	0.902973447428343	0.00507487135880715	-683.542727950026	0.00507487135880715_0.128511327542668	0.503547291047015_0.496452708952985
31	91	0.161902577469975	0.226876820273138	-557.870959321188	0.0422211169558858_0.226876820273138	0.497710695713712_0.502289304286288	0.156432521842504	0.230527959974544	-561.826051292394	0.0367171566358186_0.230527959974544	0.494381355012447_0.505618644987553
29	108	0.818180523019755	0.197694039106594	-661.385776020685	-0.000643815417659946_0.197694039106594	0.494374848652143_0.505625151347857	0.763614073451878	0.198916867091989	-665.383469115937	-0.00266307298475332_0.198916867091989	0.492740699611477_0.507259300388523
56	103	0.628727684536859	0.0722290468460958	-639.300238173588	0.0722290468460958_0.0795148833730477	0.500308952468604_0.499691047531396	0.722443182503308	0.0100205855650101	-643.193456967204	0.0100205855650101_0.142730367734902	0.500094238764502_0.499905761235499
99	99	0.0235442007965018	0.104048203268434	-585.245622316233	0.104048203268434_0.104048430983864	0.500000000000003_0.499999999999997	0.0235442012887254	0.104047744764483	-589.245622297913	0.104047744764483_0.104048903764135	0.500000000000037_0.499999999999963
46	109	0.439512801976631	0.0961475645586568	-667.486004341798	0.0496015468771694_0.0961475645586568	0.499965106467465_0.500034893532535	0.444329967484133	0.102056556906414	-671.472989325434	0.0435349470321763_0.102056556906414	0.499868561077263_0.500131438922737
37	106	0.174885835770677	0.0936512887279242	-637.731082324493	0.0936097563599781_0.0936512887279242	0.499999999999998_0.500000000000002	0.174885834588388	0.0936465983973112	-641.731082339649	0.0936144453516675_0.0936465983973112	0.499999999998981_0.500000000001019
10	106	0.102097866238718	0.176640476484834	-624.642212508371	0.0622422226271031_0.176640476484834	0.49959510610373_0.50040489389627	0.102063430928907	0.177280481055265	-628.641736384086	0.0615044025628533_0.177280481055265	0.499543900433641_0.500456099566359
67	99	0.868360955086434	0.17892560610362	-601.420880978152	-0.00534819884888409_0.17892560610362	0.496583927027642_0.503416072972358	0.652967096925298	0.181094003044096	-605.065204429231	-0.0107646219657522_0.181094003044096	0.489826519288825_0.510173480711175
60	92	0.831611548105817	0.201399375906705	-550.045845182617	0.00622559971568846_0.201399375906705	0.496708894321377_0.503291105678624	0.605491094401617	0.209383363745437	-552.76236071069	-0.0050845640325777_0.209383363745437	0.486138214241104_0.513861785758896
27	92	0.132211311305022	0.118032654555233	-558.8388477315	0.0617800476834161_0.118032654555233	0.487217949542262_0.512782050457738	0.173332225842682	0.0923304097378164	-558.868484169544	0.0923059083407029_0.0923304097378164	0.499999999999594_0.500000000000406
26	96	0.612135625249098	-0.0198772177904622	-585.342948565407	-0.0198772177904622_0.174315600481781	0.502081382986598_0.497918617013402	0.44597121809499	-0.0198771895600186	-589.34294855695	-0.0198771895600186_0.174315561285439	0.502081372682889_0.497918627317111
50	105	0.223720157796145	0.135638915929626	-631.39242306833	0.0546943921765608_0.135638915929626	0.492704135925698_0.507295864074302	0.136576775046432	0.0972765894550429	-634.878109502946	0.0972269499364946_0.0972765894550429	0.499999999999826_0.500000000000174
87	93	0.28860527698943	0.111574835397108	-588.68017173249	0.0410874372918453_0.111574835397108	0.497689581517125_0.502310418482875	0.424667591575131	0.120648511552656	-591.944188432594	0.0316577602886553_0.120648511552656	0.498102224068463_0.501897775931537
15	105	0.306829990893649	0.0477353797956806	-632.796576059751	0.0477353797956806_0.123101159104625	0.501910833432422_0.498089166567578	0.262064577367208	0.0825502506250185	-636.684165455056	0.0825100165834337_0.0825502506250185	0.499999999999936_0.500000000000064
17	114	0.0972487029474552	0.102193591449622	-685.142026892871	0.102193591449622_0.102246203917733	0.500000000002187_0.499999999997813	0.0972487027016664	0.102194522411158	-689.142026882965	0.102194522411158_0.102245281575285	0.500000000001764_0.499999999998236
36	113	0.0601121879963174	0.0555034331106595	-701.301386591957	0.0555034331106595_0.187076486274375	0.506741449194832_0.493258550805168	0.186285276659218	0.0275994820568829	-700.8700532442	0.0275994820568829_0.226733090343787	0.523490290290542_0.476509709709458
83	109	0.444144067059555	0.0352696493187571	-657.512374856873	0.0352696493187571_0.153284077842839	0.502421134602841_0.497578865397159	0.898617066158354	0.00387564281703036	-659.242516438301	0.00387564281703036_0.186308517512999	0.505927330327571_0.494072669672429
78	109	0.265868976167701	0.0721016692241034	-666.214106952942	0.0721016692241034_0.0721191060017955	0.500000000000097_0.499999999999903	0.214252037331956	0.0720964556855443	-670.214106936182	0.0720964556855443_0.0721243153289331	0.500000000001269_0.499999999998731
22	109	0.66592711979512	0.177611149249296	-665.982950268583	-0.0115455746710997_0.177611149249296	0.498859969193154_0.501140030806846	0.654482956471532	0.177611156947616	-669.982950269583	-0.011545583504978_0.177611156947616	0.498859969885169_0.501140030114831
3	123	0.0665174916975671	0.0673656823671226	-714.005486786818	0.0673656823671226_0.130335580671381	0.509045816745981_0.490954183254019	0.541392276759654	0.022051011715968	-714.125460188504	0.022051011715968_0.164766595770685	0.503631892045477_0.496368107954523
57	97	0.810687070614506	0.137630929763492	-564.707535137303	-0.0146307263478719_0.137630929763492	0.498442472321202_0.501557527678798	0.744840754861719	0.13763090835036	-568.707535131829	-0.014630700876921_0.13763090835036	0.498442475618936_0.501557524381064
52	104	0.860236178221093	0.00621763547206022	-627.605089719724	0.00621763547206022_0.155991355332806	0.503556390040638_0.496443609959362	0.889002653596841	-0.00531058303793849	-630.011537488699	-0.00531058303793849_0.167493284803647	0.508685972031331_0.491314027968669
1	87	0.412861493066667	0.134274014325531	-517.025183850031	0.0607539267458158_0.134274014325531	0.499956004171605_0.500043995828395	0.41416190046669	0.140195131994578	-521.020998650258	0.0550204075160094_0.140195131994578	0.4998797014171_0.5001202985829
28	113	0.82519187308581	0.17058474648268	-692.374022957717	-0.00580872573693617_0.17058474648268	0.499037429943199_0.500962570056801	0.825191350564654	0.170584610027287	-696.374022857243	-0.00580838827260155_0.170584610027287	0.499037640891667_0.500962359108333
25	106	0.424995469302769	0.059919568231769	-674.675290612463	0.059919568231769_0.0962092639332342	0.500828272202049_0.499171727797951	0.561655268564669	0.0157174318802949	-678.373175728059	0.0157174318802949_0.14056855539254	0.501315760285871_0.498684239714129
24	113	0.118176272317744	0.0764918008596197	-694.269147596839	0.076482026619096_0.0764918008596197	0.499999999999881_0.500000000000119	0.118176272568002	0.0764932858550704	-698.269147589327	0.076480541465307_0.0764932858550704	0.499999999999786_0.500000000000213
11	102	0.71890929188905	0.0399550580174385	-583.036575047361	0.0399550580174385_0.0400044529390714	0.500000000000578_0.499999999999422	0.718909310819707	0.0399542478716036	-587.036575044613	0.0399542478716036_0.0400052609354315	0.500000000000903_0.499999999999097
62	102	0.790810602953961	0.00785170708675515	-622.505323313327	0.00785170708675515_0.17107364940071	0.505259217430369_0.494740782569631	0.782021964706538	-0.00793426793335763	-624.099926507439	-0.00793426793335763_0.193216080856467	0.51875288381318_0.48124711618682
81	139	0.881098690212323	-0.0056858333513121	-858.164558327095	-0.0056858333513121_0.171023891653271	0.501267039949856_0.498732960050144	0.832964323636864	-0.00692929607670666	-862.158778428943	-0.00692929607670666_0.172602480859484	0.50196093561459_0.49803906438541
20	97	0.288940895929759	-0.0310075365838355	-553.590576965028	-0.0310075365838355_0.242167404954072	0.505504290468058_0.494495709531942	0.292623155317031	-0.0323096996860258	-555.037988479361	-0.0323096996860258_0.259095820034609	0.534163184099534_0.465836815900466
97	107	0.15297036388756	0.0833066391605869	-633.383474178984	0.083303435240894_0.0833066391605869	0.499999999999894_0.500000000000106	0.152970350592742	0.0833037388617318	-637.38347425826	0.0833037388617318_0.0833063415208933	0.500000000000015_0.499999999999985
47	103	0.9603441052668	0.1495519312543	-634.223230395613	-0.000604396342410741_0.1495519312543	0.498772359731951_0.501227640268049	0.749456999776317	0.154530094509405	-637.845532647029	-0.0100547421530011_0.154530094509405	0.494013575510618_0.505986424489382
91	109	0.913525035859328	0.00379594931492309	-650.071811781347	0.00379594931492309_0.158303951652729	0.505638451034206_0.494361548965794	0.677229128150578	0.0232767703973548	-651.669354126244	0.0232767703973548_0.127791251784457	0.501485847573062_0.498514152426938
88	113	0.574415005586579	0.196933635897815	-682.911843362923	-0.0201124039031062_0.196933635897815	0.495403609289878_0.504596390710122	0.420965608247789	0.199796884697887	-686.826329255252	-0.0267289399264551_0.199796884697887	0.488943899513068_0.511056100486932
63	113	0.236722643331113	0.0881627627452478	-700.529809644588	0.0881627627452478_0.0882111216683664	0.500000000001867_0.499999999998133	0.181072485659156	0.0881611079612028	-704.52980963754	0.0881611079612028_0.0882127724631692	0.500000000001636_0.499999999998364
66	103	0.654954810984826	0.17363986723868	-623.721793335586	-0.017964317845058_0.17363986723868	0.497546687080145_0.502453312919855	0.235608545315673	0.182522373023992	-627.160127015245	-0.0325633456330466_0.182522373023992	0.486522269198243_0.513477730801757
72	106	0.326116714038743	0.0602174186472106	-632.940713565061	0.0602174186472106_0.114860823898253	0.501168051361805_0.498831948638195	0.411219043936971	0.0390227464673771	-636.652328891014	0.0390227464673771_0.135319366175992	0.500456837483342_0.499543162516658
93	111	0.165229594585223	0.0855785168070149	-658.340139591873	0.0855785168070149_0.117591445970031	0.500005434937255_0.499994565062745	0.165616291895916	0.0800077287151871	-662.336500235073	0.0800077287151871_0.123172563535597	0.50001579660352_0.49998420339648
42	96	0.570797818907217	0.0306205612705818	-578.728316552098	0.0306205612705818_0.15762647615207	0.500500273405968_0.499499726594032	0.649359649246391	0.0199979641477056	-582.548056911746	0.0199979641477056_0.169267492824742	0.502652289959914_0.497347710040086
71	119	0.0372189411834484	0.111204960427406	-732.03013003673	0.111204960427406_0.111222433259545	0.500000000000658_0.499999999999342	0.0342671899557274	0.111205637594521	-736.03013003951	0.111205637594521_0.111221758802768	0.50000000000012_0.49999999999988
77	107	0.752073749227473	0.0939985027173582	-658.962966333972	0.0357196837827549_0.0939985027173582	0.499640423307354_0.500359576692646	0.259251132242403	-0.0325406652954252	-662.465574593511	-0.0325406652954252_0.169678228409425	0.506362702163528_0.493637297836472
32	104	0.750994610449121	0.170742700994348	-616.291939025423	0.0166598847156844_0.170742700994348	0.497910106426416_0.502089893573584	0.62779371089791	0.196301082851643	-616.313891491701	-0.0125308706034348_0.196301082851643	0.488474797159428_0.511525202840572
51	123	0.483744483226089	0.162187305434614	-724.967684582184	-0.0276751069654297_0.162187305434614	0.499487761064262_0.500512238935738	0.444815810593861	0.162187305434614	-728.967684582184	-0.0276751069654297_0.162187305434614	0.499487761064262_0.500512238935738
53	120	0.619433959099263	0.155731517499954	-735.17254009589	0.022293750402921_0.155731517499954	0.498508544557328_0.501491455442672	0.595927057074671	0.153387297502491	-737.782883868045	0.0296106000779709_0.153387297502491	0.497914283045684_0.502085716954316
