"simNum"	"IVsNum"	"P_largestGroup"	"eff_largestGroup"	"eff_mean_minClass"	"sd_minClass"	"P_minClass"	"P_minClass_mean"	"eff_mean_maxClass"	"sd_maxClass"	"P_maxClass"	"P_maxClass_mean"	"corTest_1"	"CHVP_test"	"correct_factor"	"CHVP_test_correct"	"AIC_1"	"gamma_1"	"prop_1"
"4"	97	0.791059015907359	-0.00992533311235774	0.00560184101557026	0.0373588897899784	0.791059015907359	0.881121277632234	0.0957768674972594	0.0403749239659711	0.00672406324669265	0.0196779069210428	2.37717186823971e-07	0.101145913678964	1.03063157070125	0.105333093889003	-601.507359135146	"-0.00992533311235774_0.111851604422262"	"0.500756828974291_0.499243171025709"
"2"	101	0.758244760239241	-0.00997274084035473	0.00128597263367843	0.0323128967176548	0.758244760239241	0.968333912918119	0.100857348761644	0.0344658117463767	0.00155895373345805	0.00424583307639292	1.12395901030737e-07	0.0350665619450376	0.943207831155705	0.0320812237468832	-618.439880579538	"-0.00997274084035473_0.112109193930367"	"0.500043386230766_0.499956613769234"
"3"	113	0.01785707577749	-0.0420867100286643	-0.0407553412841549	0.0175068537602124	0.01785707577749	0.0217096628315478	0.102670025963938	0.0329115232040638	0.00257028062766663	0.00230322515036696	1.13096776388488e-09	0.000119358047829579	1.19561190603461	0.000174150748683728	-702.383313108391	"-0.0420867100286643_0.101508136979904"	"0.506849884219119_0.493150115780881"
"1"	109	0.11475870203864	-0.0513902995946687	-0.0369620434154704	0.0323210127645008	0.11475870203864	0.255321488923038	0.0963668030769981	0.0396634512734094	0.00532545614000511	0.0167640182032152	5.04929431599521e-13	0.00916411468390742	0.98321052343439	0.00890439445048635	-664.92723300891	"-0.0513902995946687_0.112814104115503"	"0.500752049763313_0.499247950236687"
"5"	120	0.81646603996246	0.00677356454471098	0.0111925641965719	0.0291201870036904	0.81646603996246	0.701399425296299	0.0924261877269916	0.03511444303017	0.00534343355604144	0.00960948950834025	4.77029582812705e-05	0.0749560808017611	0.723097631502068	0.0480716340666231	-742.72397174956	"0.00677356454471098_0.0996447902196794"	"0.503573090653622_0.496426909346378"
"8"	102	0.793042294115995	-0.00685535704056588	0.00350238621046448	0.0260603183382877	0.793042294115995	0.893357390915428	0.0516455468612869	0.0317180159550846	0.0552778925131659	0.106582801608543	0.00194363185858926	0.240888550192273	0.98738684627253	0.237496968014516	-651.030839097199	"-0.00685535704056588_0.0615048475364808"	"0.500871115972058_0.499128884027942"
"6"	114	1.39169419098793e-05	0.11875085980084	-0.0321051500965934	0.0353606396483541	0.301696927423832	0.365844986868906	0.113353648705958	0.0261341244136366	1.39169419098793e-05	3.14907716039421e-05	3.38351568984763e-12	0.000939205740581978	0.969933601901219	0.000886401960305432	-704.943290820086	"-0.0366882640128436_0.11875085980084"	"0.498060847995592_0.501939152004408"
"10"	106	0.893025608667472	-0.00351293641237191	0.00255702245884374	0.0260597561433981	0.893025608667472	0.922022880131416	0.0607884590729259	0.031250531632082	0.0398705233921531	0.0544253359327333	0.00234846448780446	0.152405494369529	1.07857547839678	0.16750491461903	-681.128499397199	"-0.00351293641237191_0.0650310840146097"	"0.500406209699105_0.499593790300895"
"7"	115	0.608076890843158	0.0165769274812585	0.0103483631519393	0.0322355320978756	0.608076890843158	0.748780360253146	0.113963863598915	0.0331098547250918	0.00139950346000362	0.000808174950437258	0.000180530531876055	0.024944589118363	0.919584219482361	0.0218778636291769	-696.199257613394	"0.0165769274812585_0.108436633416719"	"0.505877277786516_0.494122722213484"
"9"	103	0.612930618532759	-0.0124814467311021	-0.0121987185733312	0.0245961327757962	0.612930618532759	0.620989037062304	0.0929557623191669	0.0326433703279622	0.00460253244512762	0.00532741362151988	4.68615886763946e-05	0.0100895372366313	1.22237096815807	0.0143059083172383	-631.096754659403	"-0.0124814467311021_0.0945883718841382"	"0.511590807820739_0.488409192179261"
"11"	118	0.912297284540247	-0.00240119242654609	0.00461056940395596	0.0217539111630703	0.912297284540247	0.832520983233117	0.0629445429853899	0.0316371636078882	0.0257426555609625	0.0489703401353589	0.000453511278712293	0.128679739265506	0.922511834323268	0.116012714883895	-745.756861976893	"-0.00240119242654609_0.0714648243438141"	"0.504328843531176_0.495671156468824"
"12"	110	0.712302381329165	0.0100976572750874	0.0209759822899926	0.0273110286149395	0.712302381329165	0.444123709436489	0.0714563360108682	0.0298898068488308	0.00693531512657734	0.0185328126066301	0.000613188484883453	0.212473656941974	0.842513188748685	0.174260924546656	-706.088403467516	"0.0100976572750874_0.0822625096999702"	"0.501372999232134_0.498627000767866"
"15"	102	0.0348556206642297	0.0401055504042936	0.0335405318324236	0.0200068243778822	0.0477435943809815	0.0967419760401576	0.0461182885702217	0.0187506789818666	0.0348556206642297	0.0156099399407367	0.999607020408994	0.6464453080618	0.926198879566607	0.614863410967401	-672.944107085152	"0.0400944329350511_0.0401055504042936"	"0.499999999999998_0.500000000000002"
"13"	109	0.061808384629355	-0.0509569239640585	-0.0419577309998955	0.0270002965711771	0.061808384629355	0.123116469347684	0.0826979035069174	0.0346164851560967	0.0105979944202244	0.0186297996040459	1.7252554940228e-10	0.00451903531827565	0.918766185486049	0.0038959601137476	-675.962168046284	"-0.0509569239640585_0.0900367617633502"	"0.501183554087799_0.498816445912201"
"14"	112	0.457264278972682	-0.0187458624573586	-0.013731829469444	0.0251296162694724	0.457264278972682	0.585860191385068	0.0876262518847985	0.0350486467912417	0.0102285276522529	0.0138763869623287	5.41427948919093e-07	0.0187611033154513	0.864945702243132	0.0148980386759989	-714.776892191451	"-0.0187458624573586_0.0915698059006045"	"0.503129282092869_0.496870717907131"
"16"	106	0.360436436442615	0.0180223213418513	0.00880511188314366	0.0196204113904362	0.360436436442615	0.65452019341863	0.028488285565895	0.0259153689382865	0.488257919390236	0.274159406565958	0.999910994471651	0.544816745532445	1.00542710496612	0.547053125631686	-686.379660168158	"0.0180223213418513_0.0180249921103408"	"0.5_0.5"
"17"	115	0.541741197140821	0.0180813152531753	0.0292163378764699	0.0295435163785584	0.541741197140821	0.324793914360956	0.101652154089	0.0338314738860211	0.00118654897713107	0.00326961441945434	5.78886623214814e-06	0.106805618706788	0.8510409561935	0.0863251256819248	-727.130804326513	"0.0180813152531753_0.112518416801054"	"0.500292096234765_0.499707903765235"
"18"	118	0.0350676301795129	0.0494733016964453	0.0351403072099841	0.023201165340587	0.0350676301795129	0.13257256470903	0.0650247868089822	0.0257587901478413	0.0571220952364756	0.0129302363666685	0.999356060605879	0.388664970043607	0.788874995475487	0.309747805097214	-751.342507134342	"0.0494733016964453_0.0494912817611925"	"0.500000000000008_0.499999999999992"
"19"	110	0.666463857702167	0.0107319520309056	0.0163620220065552	0.0248320943948037	0.666463857702167	0.511345515780949	0.101126819364061	0.0319934519915574	0.00116688687828145	0.00203699042317829	1.56087545728489e-05	0.0363508504195524	1.113547732992	0.0429079509701427	-694.574497646652	"0.0107319520309056_0.106695422777668"	"0.502814318288794_0.497185681711206"
"20"	109	0.884566267419026	0.00315815763856586	0.00521429384997784	0.0217015629297624	0.884566267419026	0.810574311514613	0.124699347928143	0.0303660721956672	6.21579575553027e-05	7.83239323225372e-05	1.45696777753557e-07	0.00136798879299946	0.864409229400741	0.00104766189274833	-674.789473235363	"0.00315815763856586_0.126567420365471"	"0.50650199511882_0.49349800488118"
"21"	111	0.0973477464689189	0.0516419226414663	0.0217747981530877	0.0410374221164964	0.211110719137811	0.596759829434314	0.0772230791835246	0.030884556115697	0.0973477464689189	0.0138808324669908	0.999312047636193	0.280327072908595	0.964869187651102	0.26982830441811	-668.532769540158	"0.0516188022869848_0.0516419226414663"	"0.499999999999986_0.500000000000014"
"22"	109	0.534347108282213	-0.0199535858397051	-0.0161698418065195	0.0320085444041429	0.534347108282213	0.614466914487503	0.0707526569187474	0.0388019995616164	0.0485390475609815	0.0710043009851506	4.2658058458489e-05	0.0839768048608433	0.794169679656968	0.0613836429260584	-669.311911296868	"-0.0199535858397051_0.0774178834501127"	"0.504236757410822_0.495763242589178"
"24"	113	0.355646078438874	0.0294302092283521	0.00679521200171262	0.0317296658758334	0.355646078438874	0.830812024911724	0.0540811914220134	0.0331133590844941	0.364970696097404	0.105232255121571	0.974461759372492	0.302511210049416	0.646018222194002	0.19064984091388	-718.828626769423	"0.0294302092283521_0.0301209270203295"	"0.500000000061846_0.499999999938154"
"23"	123	0.372465453758146	0.0293359684517546	0.000587478772648833	0.0327718398301559	0.372465453758146	0.985726909202242	0.0856305189968364	0.0293777660577898	0.0562906885737787	0.00423566951761576	0.243858860212677	0.0533256792030206	0.936268401496867	0.0484510571063839	-764.530137175729	"0.0293359684517546_0.0566142635242451"	"0.500814156555184_0.499185843444816"
"25"	108	0.989479033222217	-0.000451642199802304	-0.00478224760837362	0.034170510830223	0.989479033222217	0.88896064310549	0.0880129530003103	0.0300881115720974	0.00652359546120121	0.0042038600789234	0.000253152631661147	0.0415357400434876	1.05902426871367	0.0453009453120155	-677.948060863461	"-0.000451642199802304_0.0834827862792733"	"0.501622596518062_0.498377403481938"
"26"	99	0.755109625344102	0.00700485162480871	0.0133597973290543	0.0223951926667423	0.755109625344102	0.55218506512356	0.0667800971264356	0.0326967851235134	0.0277996390450974	0.0437971129247755	0.0044228472006087	0.177678092554254	0.829230557105615	0.141810219779927	-627.406907084334	"0.00700485162480871_0.0730236460006243"	"0.505934423998684_0.494065576001316"
"27"	105	0.540085623303143	0.013264994966504	0.0191025980426923	0.0215791012340339	0.540085623303143	0.378071505389615	0.0663846948803439	0.0295033096319228	0.0153986335120699	0.0265497601240171	0.00944831814987834	0.19582753607078	1.06126648860657	0.210051416371077	-670.162996527329	"0.013264994966504_0.0726818459382446"	"0.504115733984693_0.495884266015307"
"29"	91	2.64267239091038e-10	0.184374687723417	-0.0229191656302657	0.0368203495721145	0.473660265704154	0.535213881425831	0.177800440680414	0.0259248439492618	2.64267239091038e-10	8.52130097348671e-10	0	8.29922494853226e-06	0.567047621507952	2.76559115514881e-06	-547.480891803233	"-0.0264944554057739_0.184374687723417"	"0.49300754932431_0.50699245067569"
"28"	119	0.165514758764468	-0.0376738859464791	-0.0352566993867648	0.0269985635354934	0.165514758764468	0.194135771744127	0.0936856257640991	0.0325414831428279	0.00410409665261457	0.00473860771058519	2.31713759291097e-09	0.00229228938170458	0.827336909471015	0.00163614098474611	-740.059752489765	"-0.0376738859464791_0.0952569772227846"	"0.501803906757849_0.498196093242151"
"30"	101	0.166310525727027	0.0444924866341075	-0.000377536590236265	0.0322802928358224	0.43460290913979	0.990691795270686	0.0723842141896305	0.0319097635269629	0.166310525727027	0.0254541989446196	0.452729634152441	0.108926811944082	0.917314091797547	0.0971905554801605	-626.783855341542	"0.0253237978746467_0.0444924866341075"	"0.498774823292347_0.501225176707653"
"31"	133	0.00150825178722994	0.104417062901815	-0.0264075704582191	0.0363267852233538	0.231506630764392	0.468546973478757	0.0864247680803205	0.032218535059348	0.00150825178722994	0.00824293127721305	8.62643290133747e-13	0.0201381107697853	0.578899537272348	0.00883476724838793	-830.462670670758	"-0.0436656284099289_0.104417062901815"	"0.499148291434912_0.500851708565088"
"33"	106	0.325702321197601	-0.0217324892963613	-0.0208467535242524	0.0220091662356321	0.325702321197601	0.34571926611773	0.120577683505257	0.0365734856165175	0.00141269386905381	0.00133461860773811	2.93664070838418e-09	0.000922353783042867	1.13841229938728	0.00118792337244325	-654.524601153832	"-0.0217324892963613_0.119931352653663"	"0.503599518738898_0.496400481261102"
"32"	103	0.205386661057398	0.0457208027026775	0.0176443524120736	0.0358738789592237	0.205386661057398	0.623886459646511	0.0933547964130453	0.0288014200859224	0.0243571111443145	0.00160751400018507	0.382574237984032	0.0998252266201026	1.00579943166515	0.100605002988486	-638.689553246738	"0.0457208027026775_0.0658234553654034"	"0.502062861816951_0.497937138183049"
"34"	114	0.674396568828965	0.0118943814051953	0.019210672593352	0.0282381160765249	0.674396568828965	0.497699693784419	0.108329910910314	0.0347821432842913	0.00117053745091828	0.00233509177562825	1.52525048680019e-06	0.0466796803550568	1.00635983156607	0.0471218186099286	-726.872250411904	"0.0118943814051953_0.115851253854104"	"0.500692327751314_0.499307672248686"
"35"	112	0.332823155544249	-0.031925715889342	-0.0199230576957737	0.0328221450827197	0.332823155544249	0.545090221436594	0.0785951002840253	0.0335430227187528	0.00811347041262694	0.0209045166279247	2.79752647713849e-08	0.0357943136973633	1.344472895432	0.0570163996679768	-707.927408379886	"-0.031925715889342_0.0904278751848264"	"0.500400503270509_0.499599496729491"
"36"	105	0.667785664034578	-0.00913499200417213	-0.00437998641804937	0.0212237680995408	0.667785664034578	0.836904002512095	0.0836482437511277	0.0340912772531093	0.00940568428011928	0.0158028839544545	2.78279395713454e-05	0.0283760299739575	0.853836337345913	0.0222647492978657	-662.854934562895	"-0.00913499200417213_0.0902105324897489"	"0.508048945627098_0.491951054372902"
"38"	93	0.42359079795541	-0.0181203184880031	-0.0164651747642341	0.0225436239309924	0.42359079795541	0.46702019630678	0.115871513852518	0.0376990729266148	0.00291431330316194	0.00278317101936107	7.73378405760639e-08	0.00258879769829166	0.702758164874727	0.00140888133322998	-582.019764549755	"-0.0181203184880031_0.115298746781203"	"0.504810639369255_0.495189360630745"
"37"	119	0.487214629204869	0.0208458051462637	0.00159712383870599	0.0291770366907962	0.476780672606541	0.956438914731581	0.0396655151558126	0.0299107162825023	0.487214629204869	0.187357643471592	0.999289473900006	0.362262000887638	0.768414575739656	0.279339483811296	-742.526857536755	"0.0208256061991195_0.0208458051462637"	"0.499999999999993_0.500000000000007"
"40"	102	0.298594918179889	-0.0302313060603702	-0.0156815346446484	0.0289341347066141	0.298594918179889	0.589030467495963	0.0828633772394871	0.0388630991710364	0.0120884085087058	0.035416244241543	4.06082736326141e-08	0.0419619006796388	0.721285291735436	0.0260739320001633	-627.17791693277	"-0.0302313060603702_0.0993212512234626"	"0.500947589419625_0.499052410580375"
"39"	117	0.987594930690276	0.000408608090985288	0.00556703797049967	0.0262237101350164	0.987594930690276	0.832253183410185	0.0573719578422421	0.0282930608060696	0.0317312827239856	0.0448746786005873	0.00352640591999331	0.179304794789178	1.01351004122173	0.182226469587652	-729.582756277635	"0.000408608090985288_0.0615110444067338"	"0.501890803314287_0.498109196685713"
"41"	113	0.770383534439166	0.00603613237326654	0.00786330071422825	0.0206306145846412	0.770383534439166	0.703816086029184	0.10421259649965	0.0301142978057224	0.00062456177208833	0.00076375296629872	6.16712921575058e-06	0.00830367914192724	1.01423241979022	0.00850752437758672	-713.628816295471	"0.00603613237326654_0.106009331384342"	"0.504285693922093_0.495714306077907"
"42"	105	0.289725567167214	-0.032223705490835	-0.0278253517190438	0.0302811864495972	0.289725567167214	0.36027470882292	0.0795500442806044	0.0346136856120712	0.0173040805905418	0.0235498649337942	4.13484055439284e-07	0.0195555553951311	0.542172887270948	0.00781222709473438	-647.748832385541	"-0.032223705490835_0.0837273042240862"	"0.500799893968921_0.499200106031079"
"43"	103	0.855159161516226	0.00510890739489248	0.00519392327376275	0.0279171147895705	0.855159161516226	0.852776622811299	0.0905042058541713	0.03111707084323	0.00423151545618701	0.00445738878489836	0.000202553902648894	0.0412822670520869	1.15048012962196	0.0511279656257092	-641.375613609192	"0.00510890739489248_0.0910516716457996"	"0.504006482900632_0.495993517099368"
"44"	99	0.0913616165170532	0.0526131735233676	0.0310521217115055	0.0308580733623806	0.0913616165170532	0.316755043481234	0.0787116854213809	0.0361356052440523	0.148506468458794	0.0317874591281561	0.999667069498886	0.315875453162627	0.834071188796777	0.261908739441095	-620.169085140442	"0.0526131735233676_0.0526242356417521"	"0.50000000000001_0.49999999999999"
"45"	84	0.000232727965302952	0.132169129560718	-0.019558963702773	0.037299377501763	0.314614762841818	0.601413486136594	0.113167220428302	0.034344483099103	0.000232727965302952	0.00144844837516982	1.85607085256834e-12	0.00885188391070199	1.16781634530155	0.0116013219931438	-523.419637893094	"-0.0377363294906582_0.132169129560718"	"0.497310681430822_0.502689318569178"
"46"	100	0.459856235265927	-0.0216733869498916	-0.00993800884174536	0.0292102091332843	0.459856235265927	0.734408816340775	0.0737311558345386	0.0319598823141496	0.010103551338825	0.0231385397381917	3.67222227115604e-06	0.0533068923364796	0.770757581253265	0.0367242849408953	-646.820479302778	"-0.0216733869498916_0.0838195150192666"	"0.500508036021885_0.499491963978115"
"47"	107	0.703381239445105	-0.00848218368553001	-0.004661526557561	0.0222168678785062	0.703381239445105	0.834211498030382	0.0294982370336325	0.0293427821043539	0.258361696846785	0.317042793818951	0.0485436565459942	0.353337456069733	0.719095472913359	0.254081498413108	-690.535982121931	"-0.00848218368553001_0.0333444425019462"	"0.500396053485494_0.499603946514506"
"49"	81	0.343509566978485	-0.0240251075252814	-0.0211216832638283	0.0252125440016992	0.343509566978485	0.40466980899525	0.0671292537739183	0.0347882338474291	0.0498878239558293	0.0571947400043806	0.000460409956970498	0.0399685716281962	0.659954417783557	0.0218774395472661	-504.085640965185	"-0.0240251075252814_0.0692655475948349"	"0.50502751552252_0.49497248447748"
"48"	107	0.477691713584229	0.0250274023920444	0.0095930664128304	0.0289816485982886	0.390038122151479	0.741294257284638	0.0437053868720994	0.0351238653993617	0.477691713584229	0.216125591219862	0.999544062747665	0.453789987862953	0.787355739581811	0.36689507042347	-660.269459104376	"0.025013691089157_0.0250274023920444"	"0.499999999999997_0.500000000000003"
"50"	106	0.948361806105985	-0.00163797258332387	-0.000490637604257941	0.0252309589616994	0.948361806105985	0.984522333458773	0.0848535654190636	0.0314708740733601	0.0069773765427747	0.00816932267594568	0.000222148235561104	0.0343604359586099	0.880517748315242	0.028339826667629	-646.673865012748	"-0.00163797258332387_0.086610853924862"	"0.505522934088645_0.494477065911355"
"51"	96	0.0184063925194024	0.0499178990840465	0.0188949503929283	0.0258363320219997	0.493437975714489	0.466376150209659	0.0487934146445802	0.0208104366766588	0.0184063925194024	0.0211264302304948	0.162140773467965	0.367465607161042	0.907845138928177	0.334608205633377	-632.97560906174	"0.0177626759688569_0.0499178990840465"	"0.499663608602451_0.500336391397549"
"52"	113	0.687695329978782	0.0091269727177771	0.0140297269795937	0.0226459554165045	0.687695329978782	0.536829078582459	0.117621284607402	0.0342989775585345	0.000451668394113825	0.000847900076315131	3.08855998110147e-07	0.0117208491519977	0.804160242586793	0.00822260906419063	-695.958227259998	"0.0091269727177771_0.123988111404809"	"0.506917660368452_0.493082339631548"
"53"	110	0.910386471743837	-0.00334600429630933	0.000682070174691676	0.0296597912625928	0.910386471743837	0.981695143526982	0.06495353893806	0.0315920173140463	0.0338336182635059	0.0421703756561679	0.00147459277170769	0.13802254412481	0.708122902891657	0.0894747690442766	-675.747489275538	"-0.00334600429630933_0.0678964402282255"	"0.504472499767121_0.495527500232878"
"54"	88	0.0110687542939695	0.09543926365763	0.029412932409701	0.0361684629603147	0.409018973772224	0.41831167685017	0.0965510926969535	0.0367631723636644	0.0110687542939695	0.0101985765048253	0.0143353374127506	0.192974742784084	0.868071525120221	0.163225521713213	-533.258398090396	"0.0300064198761715_0.09543926365763"	"0.49889080186443_0.50110919813557"
"56"	100	0.0194488866570249	-0.0719308019991051	-0.0610758167899034	0.0302797661776142	0.0194488866570249	0.0463976905426028	0.1351854958689	0.0416193722198993	0.00075213380637838	0.00158667074042763	0	0.000137173391737783	0.982001109560707	0.000132220628604044	-592.458518826683	"-0.0719308019991051_0.144752734208136"	"0.50566904193003_0.49433095806997"
"55"	120	0.0441215947315699	0.0705123269910216	-0.000723405123057867	0.0350959714669522	0.82470686455678	0.983589531097196	0.0784438841240345	0.0346579448624811	0.0441215947315699	0.0254250108764743	0.00790074328724222	0.108486829100618	0.92294665493251	0.0975740448811677	-719.361619120558	"0.0077907434455649_0.0705123269910216"	"0.495947959443929_0.504052040556071"
"59"	107	0.17705963273897	-0.034348270091294	-0.0234887670868911	0.0252763412016554	0.17705963273897	0.354856031489149	0.108114840645629	0.0331566721097785	0.000460983329997335	0.00149483360087576	3.32689431559174e-12	0.00159655621172884	1.67362579818417	0.00456395606800815	-668.113231355703	"-0.034348270091294_0.119868366277633"	"0.503810600857598_0.496189399142402"
"57"	104	0.792518251531263	-0.00744330072581754	-0.00720795498912744	0.028223653502464	0.792518251531263	0.798933472020187	0.138697781638404	0.0340858150173886	8.70290871067959e-05	9.26671861861571e-05	6.87238710384008e-09	0.000977214129594301	0.652479562226006	0.000459143371820367	-624.593692028322	"-0.00744330072581754_0.139276207976592"	"0.506940490255051_0.493059509744949"
"58"	109	0.613134160827075	0.016091495865085	0.0180689432526133	0.031733790927371	0.613134160827075	0.570273013261658	0.0753120711898052	0.0332461336043574	0.0195503102762966	0.0254900412663613	0.0036446498417555	0.212950303797254	0.870236734640168	0.181335317726863	-693.784033184589	"0.016091495865085_0.0788013555699657"	"0.500143232022724_0.499856767977276"
