simNum	IVsNum	plei_test	P	eff
33	87	0.016	0.010494693737053	0.0468617041183689	
65	89	0.266	0.524403747405387	0.0100140816153707	
3	89	0.009	0.340027077885327	-0.0157809289463037	
77	91	0.023	0.884423817713657	0.00254801069596606	
97	95	0.255	0.419939595660093	0.0128151797914267	
85	94	0.172	0.0402954717736901	0.0324337788177366	
95	96	0.856	0.000422086774568847	0.0487145460666723	
19	97	0.042	0.0221795806034871	0.0387063110634016	
47	100	0.175	0.0553014681783551	0.0296325854961743	
93	101	0.221	0.547760970583945	0.00881898714071928	
53	106	0.621	0.960036578851404	0.000680144482851373	
13	103	0.072	0.367641591179583	0.0140289106908868	
57	103	0.165	0.931119903416989	-0.001329177362423	
25	108	0.02	0.0560370568661916	0.030358093219549	
49	109	0.621	0.856857289588987	0.00243154273422115	
87	108	0.416	0.56499795303646	-0.0082211366020253	
17	105	0.005	0.91722966516888	0.00171101084910032	
45	107	0.72	0.683754049792631	0.0053021924978294	
73	107	0.819	0.34732064539853	-0.0119683504621534	
27	111	0.859	0.756074310338139	-0.00400282372166588	
43	113	0.295	0.349814001624879	0.0127921324218372	
29	113	0.033	0.273485179457174	-0.0165807282144426	
15	92	0.04	0.865628862548845	0.00290262764930346	
81	113	0.001	0.728942112347248	0.00546594085038309	
67	114	0.056	0.253037685949258	0.0166229602081573	
21	113	0.024	0.0346454787987557	0.0319670018818045	
75	121	0.02	0.126991743075514	0.0233951359942151	
83	96	0.091	0.092906187745183	0.0272242893024594	
37	99	0.07	0.28374936479447	0.0171205527940239	
35	100	0.036	0.0575322821794763	0.0303540660433441	
99	101	0.594	0.908201707010457	-0.00164526637618375	
55	123	0.009	0.0143434014749976	0.0352213583546948	
91	102	0.129	0.802754971881804	0.00382465729485414	
89	104	0.152	0.122006643506519	0.0236470881491249	
23	104	0.323	0.440258447340323	0.0110877256208599	
79	107	0.503	0.806425737499197	0.0034000253483996	
41	107	0.533	0.174880580531576	0.0178524953030274	
31	108	0.14	0.120705506135709	0.0229435074605872	
9	104	0.022	0.0177431991941222	0.037384092073092	
5	105	0.003	0.954017173925338	0.000964333804998969	
71	110	0.239	0.781084211033961	0.0040100300137646	
61	110	0.111	0.0599213590553787	0.0288593644339658	
1	109	0.755	0.162004564315409	0.0175109401926902	
11	111	0.285	0.569272194482396	0.00808034336681801	
51	115	0.014	0.10415021489536	0.0249044295240248	
69	115	0.278	0.669502964697368	-0.00590024875356969	
7	116	0.523	0.0153519543230015	0.032753649601949	
39	115	0.053	0.479224790627484	-0.0102667657024017	
63	119	0.284	0.81416940355352	0.00319256597997409	
59	116	0.009	0.0855161228218654	-0.0255437677654647	
46	88	0.246	0.732329283515374	0.00567919105056907	
94	97	0.061	0.157845625240836	0.023351140208979	
34	110	0.097	0.365260107804207	0.0138398566036247	
4	107	0.532	0.455467518950641	0.0101438237072133	
98	103	0.201	0.785476477549035	0.00396126825188573	
48	101	0.535	0.0156628967224105	0.0342974020081932	
66	110	0.203	0.0298562705156248	0.0315921161476596	
78	110	0.289	0.0219979563807051	0.0326887846757016	
26	101	0.097	0.871400107893148	0.00253845596548091	
20	108	0.14	0.0276277168138876	0.0329701969460626	
58	101	0.84	0.133597278823395	0.0201543984828437	
44	101	0.085	0.100954732929068	-0.0242720957778495	
22	95	0.97	0.546840893291448	0.00787403934206507	
88	105	0.145	0.109611039128195	0.0243595318925659	
50	108	0.07	0.619965209811466	-0.0074034080653275	
84	95	0.15	0.0907135593556166	0.0275885561363494	
86	122	0.036	0.119358337403215	0.0226632277080671	
96	121	0.081	0.00674318489736849	0.0384240959608663	
54	113	0.143	0.842524516640078	-0.00294529747502064	
30	109	0.218	0.265053533490318	0.0162136889981877	
16	98	0.587	0.579767394262583	0.00792171366486226	
76	102	0.23	0.0316755404544104	0.0332949051902827	
14	116	0.045	0.072627571065445	0.0269891205591082	
68	107	0.019	0.428635894915892	0.0124657959252918	
24	88	0.491	0.227354715823837	0.0189401645025309	
32	84	0.05	0.11390566168821	0.0284940955403439	
82	112	0.057	0.589087586077277	0.00814118383659379	
56	100	0.119	0.973072865500665	0.000520031990831202	
18	117	0.021	0.00278783240207637	0.0461406626748884	
8	81	0.542	0.0827860446448686	0.0278378499975264	
28	128	0.833	0.147667334849047	0.0169887211565009	
74	129	0.208	0.160809656934109	0.0188745722810672	
36	106	0.007	0.709440152541094	0.00607423290577847	
2	102	0.028	0.119294411618573	0.0257574104328152	
60	92	0.02	0.466270788701501	0.0130165408119063	
52	113	0.069	0.990100742682188	0.000185972230722091	
90	113	0.295	0.291948853587975	0.015116550608257	
42	109	0.984	0.166045800132592	0.0170898076526357	
92	111	0.57	0.839796259607356	-0.00269891988273539	
100	114	0.035	0.0680460425640022	0.0255230015722654	
40	103	0.222	0.823492541592714	0.00340824448736687	
64	103	0.444	0.0558918168959151	0.0271339479373074	
12	110	0.423	0.901679916995828	0.00180502234357036	
38	118	0.207	0.483008708590489	0.00976820588702652	
72	110	0.257	0.457662300870052	0.0108893470515509	
80	120	0.233	0.213188342603027	0.0172019954963377	
70	109	0.066	0.338997257071585	0.0145308214501466	
6	115	0.023	0.189415001864506	0.0195475909975093	
10	124	0.47	0.00138678389215203	0.0428027614709892	
62	133	0.075	0.318014310362113	0.0135218638432529	
