simNum	IVsNum	P_1	eff_1	eff_mean_minClass	sd_minClass	P_minClass	P_minClass_mean	eff_mean_maxClass	sd_maxClass	P_maxClass	P_maxClass_mean	corTest_1	CHVP_test	correct_factor	CHVP_test_correct	AIC_1	gamma_1	prop_1
3	110	0.0763845725161465	0.0230448129300592	0.0229654094230178	0.0128810488706224	0.0763845725161465	0.0773889169971971	0.0235097640780066	0.0131011336680945	0.0813367495769191	0.0755079716828893	0.999874856100564	0.976363549713385	0.969343837912631	0.973377770918136	-734.045456169108	0.0230448129300592_0.0230484969292978	0.5_0.5	
5	116	0.25303878826889	0.0152804001673805	0.0143555580940188	0.0133016490181841	0.25303878826889	0.282742918781047	0.0168899843226164	0.0142633157793217	0.286110586177055	0.238793231190043	0.99981135069684	0.896606744781776	0.742334386922088	0.809282197278949	-762.848561699945	0.0152804001673805_0.015285617793606	0.5_0.5	
1	115	0.153294426830403	0.0480560492796479	-0.0463761246510227	0.0323475843374001	0.0661658999270688	0.154400350934367	0.0337408751198835	0.0334285913102083	0.153294426830403	0.314948282875107	1.69503808100657e-07	0.0850125945369836	0.861738698986968	0.0693843381681964	-732.660171114869	-0.0600079209194889_0.0480560492796479	0.499798404474001_0.500201595525999	
4	89	0.696014709273494	-0.0157456931338906	0.00307544538900754	0.040168803698438	0.696014709273494	0.939144970549583	0.125202699717298	0.0397087316064865	0.000490597142617798	0.00221030983937808	1.95868210539629e-10	0.0306028139010699	0.662198688149548	0.0166020024305096	-553.612452646527	-0.0157456931338906_0.143768393519702	0.500379290439799_0.499620709560201	
2	103	0.209594444109146	-0.0338717341739237	-0.0349150563898229	0.0268259337957241	0.209594444109146	0.196005309295726	0.0775990679823876	0.0329462120128328	0.0258923516398547	0.0204196326059754	3.70613689235633e-05	0.00809105397879797	0.749090831025526	0.00502774169467942	-612.217897605396	-0.0338717341739237_0.0744863505246214	0.51065212045148_0.48934787954852	
6	110	0.740930480872567	0.00690171311258566	0.00920434577816756	0.0208219098327618	0.740930480872567	0.659328138124889	0.0591757669764778	0.0255232276913873	0.0167912831878223	0.0222873955109741	0.0116308304026336	0.12924566297335	1.01282936917511	0.131385373841931	-705.082040521569	0.00690171311258566_0.0619866947692136	0.503599220974315_0.496400779025685	
7	116	0.669388037993085	-0.00919589155461526	-0.00455875206569898	0.0214813338701125	0.669388037993085	0.832311694370823	0.0660367526399361	0.0302543044289044	0.0190789551213093	0.0310888572795884	0.000368374078827172	0.0570934703403045	0.725776271773853	0.0362965607587578	-723.666449156512	-0.00919589155461526_0.0719304595732391	0.504177193416257_0.495822806583743	
8	99	0.492489295359823	0.0215020459495168	-0.00279484723483748	0.031210360768872	0.492489295359823	0.928828609951744	0.0454558838664298	0.0335170940938466	0.522142025173103	0.178152038904264	0.999078398357426	0.292089432086788	1.31256381045971	0.386535164370581	-626.549763190572	0.0215020459495168_0.0215299028449155	0.500000000000038_0.499999999999962	
9	109	0.793014805928951	-0.00782269627162958	-0.00458802716969357	0.0297386721299519	0.793014805928951	0.877678361510802	0.0831798986446368	0.0351138795415248	0.0152146727475712	0.0196196983592057	1.59051009642752e-05	0.056471449064662	0.887035521619137	0.0475209435169013	-673.041342420822	-0.00782269627162958_0.0866098744251032	0.501348347958655_0.498651652041345	
10	96	0.3095898991225	-0.0306750617091944	-0.0169466488502558	0.0300280575972057	0.3095898991225	0.573838899774969	0.0525694866469448	0.0387163217494547	0.0875673955370871	0.177739749388901	4.63103934114084e-05	0.155956265647457	0.667753156981041	0.0950102519691986	-601.970069059365	-0.0306750617091944_0.0668310185825681	0.503916272146047_0.496083727853953	
