simNum	IVsNum	plei_test	P	eff
91	87	0.044	0.0379962583825244	0.0358385801186972	
61	91	0.153	0.732201700997085	0.005565759665455	
27	90	0.131	0.118968832036441	0.0251770898469389	
45	91	0.017	0.50381751049297	0.0113466850550785	
83	91	0	0.0866722371892253	0.0332920966745784	
23	96	0.625	0.0956293947406819	0.0244793584860609	
93	97	0.211	0.0658428666573615	0.0281835689421442	
35	96	0.52	0.166764906002689	0.0205274235918142	
75	99	0.029	0.114054889836208	0.0266772457174476	
59	101	0.147	0.0101063355941543	0.0378109731078595	
85	103	0.074	0.208950463178414	0.0199103131248191	
79	108	0.147	0.000233548690903797	0.0561128765299864	
97	108	0.187	0.715656963366945	0.00536082281951888	
31	93	0.102	0.273876018968132	0.0175569375652466	
87	106	0.123	0.258033990580357	0.0172231856080751	
73	109	0.194	0.0286372859981736	0.0324803211093746	
25	107	0.021	0.015775464594296	0.0374947381396933	
19	96	0.568	0.331678848721805	0.0141444181868404	
49	111	0.309	0.274724376460955	0.0156628356238555	
21	109	0.227	0.630230062736548	-0.00703814841754223	
11	112	0.03	0.504292268100655	0.00978104595884504	
3	110	0.9	0.0729935169035353	0.0231029658353589	
51	116	0.072	0.033329706430642	0.0319883000706015	
1	115	0.168	0.662413025303801	-0.00627486987985175	
81	113	0.007	0.0714828455066768	0.0281017156500235	
89	116	0.133	0.0295370642590925	0.031762495967204	
7	116	0.022	0.0384923010348417	0.0321124271155044	
77	98	0.026	0.976608765826127	0.000473476087058013	
5	116	0.858	0.236258209409627	0.0148426754733818	
99	116	0.027	0.0162910456539544	0.037095856849234	
47	102	0.142	0.399255974313236	0.0130043676405736	
17	103	0.156	0.42607247930663	0.0121388161965782	
53	117	0.92	0.97376949602597	-0.000385934814346884	
13	118	0.968	0.416005289299957	0.00940878220329931	
71	102	0.004	0.0109006782059414	0.0427611837749506	
39	119	0.02	0.0177137629958055	0.0356385083413819	
95	105	0.016	0.026364049321655	0.0368782898640801	
37	121	0.041	0.347274451150651	0.0132925746846771	
9	109	0.03	0.0127632899271276	0.038599743495222	
65	106	0.096	0.337862677328217	0.015228169791005	
57	107	0.193	0.441694361663194	0.0111636083039009	
63	111	0.002	0.0119670697878197	0.0417642979518383	
29	110	0.536	0.832282308320348	0.00287149023110764	
55	113	0.177	0.457115006586225	0.0107382819016943	
41	112	0.096	0.0599498207262917	0.0283517479248441	
15	111	0.669	0.0361472070345318	0.0279449635113178	
67	121	0.116	0.94295385112285	-0.00100707053164067	
69	124	0.248	0.164414041460926	0.0188614849763563	
43	127	0.79	0.00362120510378409	0.0364019460137894	
33	124	0.937	0.0016276381443723	0.0379279236811586	
62	83	0.111	0.0384342480173036	0.0365417960524015	
46	88	0.223	0.618829878526096	0.008108837794766	
28	91	0.201	0.109667022436061	0.0260255528820261	
80	91	0.472	0.696269101592929	0.00586495257244472	
100	82	0.004	0.116195356507307	0.0307035818420414	
92	116	0.522	0.830490967574376	0.00285478646479424	
94	107	0.188	0.369878022751081	0.0132626975661345	
4	89	0.017	0.000663023893422835	0.062728506319835	
84	111	0.113	0.350068677295364	0.0136028193313965	
76	103	0.03	0.661221837269031	0.00726313334225312	
24	112	0.446	0.000940749804306944	0.0464737011190474	
54	89	0.025	0.0414429681654906	0.0351615205894657	
12	98	0.026	0.0986754968640903	0.0270574934020386	
52	101	0.308	0.996485585698423	6.5440377754108e-05	
82	100	0.055	0.433190002609032	0.0121317849533313	
36	117	0.013	0.199352172288616	0.0190725260163777	
98	112	0.168	0.17225802569336	0.020017375141967	
8	99	0.152	0.148422876824239	0.0227132307424597	
88	107	0.04	0.858566744981607	-0.00252560005913046	
2	103	0	0.422007236519505	0.0137574121729289	
26	112	0.102	0.0472460904680337	0.0304192669196168	
74	113	0.325	0.95097803310905	0.000865048219247869	
60	118	0.205	0.187046345799725	0.0177087711756464	
78	90	0.01	0.250144592705461	0.0202869912911634	
50	114	0.428	0.319517878616649	0.0131912449604269	
86	121	0.074	0.335723420427391	0.0132438044888871	
6	110	0.199	0.012491355813533	0.0355707065160061	
40	106	0.296	0.161712904651132	0.0198855984305233	
38	110	0.062	0.00238080597072031	0.0467378453134603	
90	115	0.535	0.0250425496100368	0.0298134619787325	
14	110	0.134	0.279016862612484	0.0161516329016488	
22	117	0.024	0.391299841341431	0.0123231572620968	
64	92	0.727	0.38803908332089	0.0124601320337448	
18	104	0.002	0.2114051590749	0.0204277182959663	
10	96	0.033	0.496420443723092	0.0116463270548486	
96	101	0.037	0.158867475090453	0.0231973062945919	
20	112	0.012	0.0935434365667201	0.0259825852173706	
48	108	0.23	0.0457260538287463	0.0294915436599796	
72	108	0.094	0.153013041360995	0.0224740270235819	
32	121	0.057	0.177494369797905	0.0197845564470399	
42	99	0	0.105866622832266	0.0264895552585316	
68	91	0.698	0.0588098369180009	0.0276391834606683	
56	102	0.529	0.883442567947373	0.00210746821739294	
66	106	0.265	0.751853736918169	0.0046142398194051	
30	109	0.014	0.394356839625324	0.0137311460430587	
16	109	0.262	0.231835102941916	0.0171946525115741	
58	117	0.227	0.505916357308527	0.00933986253483791	
44	105	0.092	0.977907492550028	0.000433753961319502	
70	109	0.119	0.218275367812401	0.0184622836991702	
34	118	0.114	0.82907936505494	0.00294087153582709	
