simNum	IVsNum	P_1	eff_1	eff_mean_minClass	sd_minClass	P_minClass	P_minClass_mean	eff_mean_maxClass	sd_maxClass	P_maxClass	P_maxClass_mean	corTest_1	CHVP_test	AIC_1	gamma_1	prop_1
9	97	0.0119583963170776	0.079932287261603	0.0904171497241053	0.031197522202681	0.0119583963170776	0.00464999999541887	0.312200184440677	0.0364174670794619	3.19727705032404e-14	1.71882330769825e-13	0	3.74632198708343e-06	-553.190357638248	0.079932287261603_0.324629517515937	0.506846562178168_0.493153437821832	
24	93	0.00431892086166188	0.0937481589857898	0.106459337035334	0.0320346962651594	0.00431892086166188	0.00127815190041161	0.328919541251811	0.0471923909748413	1.7482618518464e-10	4.69200864049768e-10	0	9.61115045459629e-05	-539.492019274699	0.0937481589857898_0.338899465379367	0.503637129811758_0.496362870188242	
93	98	0.00260454107258208	0.0812142239020863	0.0808789238919639	0.0262749939546598	0.00260454107258208	0.00270818135452175	0.303050936358673	0.0525868593202091	1.10531166880502e-07	9.77692293333705e-08	1.47215573065296e-12	0.000157233423238604	-564.778695430672	0.0812142239020863_0.301587489094117	0.516983981054671_0.483016018945329	
55	114	0.0140869282908634	0.0649454860909686	0.0714939894183145	0.0260430235482698	0.0140869282908634	0.00703673995274915	0.327293806946649	0.0277186051484015	2.78808657951697e-22	1.90118999095342e-21	0	1.74852714395171e-11	-679.847280604408	0.0649454860909686_0.337310449882404	0.50262201454607_0.49737798545393	
62	109	0.0167323219459117	0.073088778693495	0.0751571051667607	0.030073520869071	0.0167323219459117	0.0139557277615267	0.312758050078065	0.0324237709024568	2.56883571405965e-16	2.97973037089993e-16	0	7.75529975803341e-08	-631.654973451458	0.073088778693495_0.313676928743862	0.503162473458785_0.496837526541215	
32	107	0.0102969887229868	0.0730242793313667	0.0799621147811916	0.0279533663679013	0.0102969887229868	0.0050949148750144	0.307532339585805	0.0389410715382791	3.97968332285241e-13	2.79703498056674e-12	0	2.06006866810769e-06	-626.073541582018	0.0730242793313667_0.322497008948985	0.500963758414642_0.499036241585358	
40	102	0.394827082524025	0.0241615800427193	0.0341111654206528	0.028274298745731	0.394827082524025	0.23046725889567	0.373505385313464	0.0453293736279263	4.71467449862816e-13	6.51901947476287e-13	0	2.11471483308509e-10	-571.163895644124	0.0241615800427193_0.376443115898332	0.517410612038745_0.482589387961255	
17	103	0.0581587363937462	0.0747085269429427	0.0789842248323132	0.038990959660028	0.0581587363937462	0.0454063000700935	0.280705661304216	0.0584920354327546	5.96512963373024e-06	5.46760440509467e-06	5.45119505090952e-13	0.00411022981646573	-589.524905055289	0.0747085269429427_0.279452526514005	0.507290647312997_0.492709352687002	
85	94	5.77996053065636e-11	0.277569597092158	0.0832370546839141	0.0469998859397641	0.112721277384692	0.0798360036258616	0.268047566529419	0.0374779928056089	5.77996053065636e-11	1.91738285422201e-10	2.03126404585419e-11	0.00210941901845781	-538.686882425312	0.0752568320543196_0.277569597092158	0.498570511395736_0.501429488604264	
78	95	0.00905687422273561	0.0864231359188884	0.0898795179909132	0.0324265590569008	0.00905687422273561	0.00672105734144473	0.251733734731635	0.045619226650474	2.00668244047184e-07	3.01418085184742e-07	1.1337775163156e-08	0.00383012475604369	-544.800872518138	0.0864231359188884_0.256038767494955	0.511265859530885_0.488734140469115	
70	115	1.03600861591621e-13	0.298292047916778	0.14712474902155	0.0438612543042242	0.00201092682770076	0.00108085649521789	0.282437301369233	0.0352651163544104	1.03600861591621e-13	1.09042021741506e-12	5.57200952044923e-11	0.0162046075633703	-684.038944382506	0.138668990741835_0.298292047916778	0.499833942920899_0.500166057079101	
47	112	0.000909377155026079	0.0979000693150771	0.0993313450063002	0.0287174435665164	0.000909377155026079	0.000770241280741329	0.315292757694843	0.0543287666402047	4.7616062380789e-08	6.24820076953549e-08	3.25739435425021e-13	0.00044086469347042	-630.390446142007	0.0979000693150771_0.318510885066117	0.504363324878011_0.495636675121989	
1	114	0.0505246701560359	0.0670720528037129	0.0808713817238702	0.0339332870284492	0.0505246701560359	0.0188286555413144	0.347644765273222	0.0453062375012381	4.3938502145745e-12	6.44228987820485e-12	0	2.44220301689958e-06	-636.899888162353	0.0670720528037129_0.351022241554776	0.50261831530322_0.49738168469678	
25	95	0.00937335705280229	0.0840141099261912	0.0949922121604903	0.0316707514274662	0.00937335705280229	0.00346259109946587	0.363515467196415	0.04488166677149	1.32532195652772e-13	1.97428201438098e-12	0	1.01666438215902e-06	-548.505382061704	0.0840141099261912_0.388456712603284	0.534792434563672_0.465207565436328	
56	98	0.00022044566425888	0.077325639760071	0.0784946038158722	0.0201438839062169	0.00022044566425888	0.000179418718261503	0.281177024918557	0.0468766198837783	3.83048041549895e-08	3.42888240817302e-08	2.77555756156289e-14	7.11251110062735e-05	-576.298376573588	0.077325639760071_0.280019443226896	0.506399340616606_0.493600659383394	
79	114	0.00020526537498285	0.0833975037145361	0.0865650673112023	0.0217322953879019	0.00020526537498285	0.000120686879359908	0.363798322426664	0.0316292444434896	2.70807617158768e-21	9.70185202248493e-21	0	5.04173844281081e-13	-649.18808556186	0.0833975037145361_0.371368093594245	0.503300975694722_0.496699024305278	
63	82	0.00823629105979538	0.152321145580035	0.150734052485805	0.0562310258696872	0.00823629105979538	0.00890087561625897	0.249855191856994	0.0470284091897066	6.64274198928872e-07	9.28194079642462e-07	0.00582606408147512	0.176318608045239	-456.189585550084	0.152321145580035_0.25371004796579	0.500055953420348_0.499944046579652	
86	104	0.00798244340561175	0.0508140607447805	0.0535778023626365	0.0187816055498834	0.00798244340561175	0.00524031618284638	0.32386890405904	0.0424865830877913	1.17210065905611e-11	1.26900324859165e-11	0	5.93341385945183e-09	-591.246878720439	0.0508140607447805_0.324550077599996	0.514041925614551_0.485958074385449	
