simNum	IVsNum	P_random	eff_random	AIC_random	gamma_random	prop_random	P_fixed	eff_fixed	AIC_fixed	gamma_fixed	prop_fixed
51	110	0.0457119564743022	-0.141327251115889	-648.313515450728	-0.141327251115889_0.0814423167109655	0.514301367113348_0.485698632886652	1.5772731843543e-05	-0.155254869548686	-646.090479096631	-0.155254869548686_0.154143733963304	0.585095604036171_0.414904395963829
4	96	0.0208091247449819	-0.0968675979252858	-557.803537287844	-0.0968675979252858_0.199360968407317	0.51857371532713_0.48142628467287	0.000601338539383855	-0.0968673017486541	-561.803540193084	-0.0968673017486541_0.199360922733593	0.518574170553094_0.481425829446906
40	88	0.360563620395325	0.117744227142684	-529.267833208416	-0.0908174507718067_0.117744227142684	0.498706873234009_0.501293126765991	0.150011588993291	0.117744227142684	-533.267833208416	-0.0908174507718067_0.117744227142684	0.498706873234009_0.501293126765991
63	90	0.0821943991376037	0.163976374368096	-515.948173859491	-0.131043332813715_0.163976374368096	0.497637882771284_0.502362117228716	0.00680273489919775	0.163976370128807	-519.948173865249	-0.131043333418369_0.163976370128807	0.497637878065859_0.502362121934141
5	110	0.0395317969550793	-0.0866878322588328	-635.026208730747	-0.0866878322588328_0.114134955288145	0.505776540167632_0.494223459832368	0.0454645989011831	-0.101644159634136	-631.331343034848	-0.101644159634136_0.148135068537327	0.533322659598118_0.466677340401882
82	108	0.0726056791724314	-0.134390237743237	-624.646705607253	-0.134390237743237_0.0824291171297678	0.511250332639489_0.488749667360511	0.0803802897055859	-0.142774790169368	-620.234910113048	-0.142774790169368_0.106683243994179	0.535254760300205_0.464745239699795
9	99	0.0942076375507966	-0.0655256483630611	-579.210605026955	-0.0655256483630611_0.188061740716098	0.50959311003415_0.49040688996585	0.0124903102141657	-0.0692842954255386	-582.701279101362	-0.0692842954255386_0.21039391506091	0.535667766433125_0.464332233566875
25	107	0.00170736657341508	-0.145319525038011	-619.46026805334	-0.145319525038011_0.185435716034411	0.537766558378_0.462233441622	6.29817704976372e-06	-0.145319664394603	-623.460274122361	-0.145319664394603_0.185436004282485	0.537766992589476_0.462233007410524
35	109	0.0231454979832497	0.154370342289493	-626.36503083739	-0.159343573670651_0.154370342289493	0.499590924785461_0.500409075214539	7.81630679598501e-06	0.154370307232024	-630.365030899929	-0.159343692353922_0.154370307232024	0.499590613536493_0.500409386463507
22	115	0.0244143124447437	-0.116714031019851	-659.329997825207	-0.116714031019851_0.107499740300461	0.511574869964692_0.488425130035308	0.137927619769632	-0.124631743604362	-653.418869596388	-0.124631743604362_0.124784382501672	0.533812290536009_0.466187709463991
45	109	0.0789509815394658	-0.10534795862299	-647.620364386233	-0.10534795862299_0.0803587911486081	0.504546709959231_0.495453290040769	0.0349183404609931	-0.120358949902221	-647.200041410407	-0.120358949902221_0.110878100344967	0.527149134047961_0.472850865952039
75	106	0.103003757827389	-0.0759275339621246	-626.148173526043	-0.0759275339621246_0.194192384045044	0.502841466794979_0.497158533205021	0.00691701205569948	-0.0805043493688757	-629.397581001111	-0.0805043493688757_0.213542029008141	0.522855065457995_0.477144934542005
6	87	0.223701066502855	-0.0927941203160878	-499.180490610632	-0.0927941203160878_0.139129672355983	0.500250695030065_0.499749304969935	0.137991674981247	-0.0860881992930152	-502.335436353461	-0.0860881992930152_0.13733287825976	0.511386604605995_0.488613395394005
