simNum	IVsNum	P_mbe	eff_mbe	P_egger	eff_egger	P_ivw	eff_ivw	P_weightedMedian	eff_weightedMedian
21	88	0.821532385661794	-0.0131630909810618	0.461765861304267	0.059390462830878	0.494984727881617	0.0149709390367567	0.51753648040601	-0.0159344279668119	
26	123	0.0887175917429774	-0.0703427984957373	0.297151047476283	0.0707206115025398	0.701771565316927	-0.00666214816237117	0.00914608711431247	-0.0524751349183092	
71	128	0.18749833745953	-0.101393098536896	0.903041068931939	0.00812170649566647	0.0535744675830844	0.0355344168414082	0.648209614558532	0.00969188802363622	
91	107	0.131571672135888	-0.116110875464448	0.0314161721368229	0.175042561943549	0.0602338903153333	0.0399434512878847	0.492830454459519	0.0163322023877222	
1	126	0.294772075041514	-0.0631447504252218	0.540376369074594	-0.0586232429116041	0.746022869419843	0.00661047250638702	0.355179257602528	-0.0202056929376871	
66	96	0.283510418374004	-0.0554126833140561	0.720557415567545	0.0316307836313814	0.727347511372164	0.00768369130381868	0.400717400558091	-0.0201255268558571	
56	90	0.328038172309707	-0.0526628972770083	0.88620000159168	0.0126106420901284	0.126930290510957	-0.0349029501747787	0.0870700295881775	-0.0419089673181948	
31	99	0.316267795560658	-0.0575308428680779	0.404113990794356	0.0649840960499545	0.476517993010915	0.0145026519227568	0.509095284046966	-0.0155861477308484	
51	110	0.00986663580798453	-0.155570112938445	0.423828615278486	0.0618335351442511	0.1569618460697	-0.028270832578835	0.000465475971228878	-0.0784269953635593	
96	121	0.159287803169583	-0.106598975243384	0.787415172374391	-0.0181624673794432	0.171873129932976	0.0242999177015654	0.187685195660201	0.0278880275100621	
16	99	0.160882020711916	-0.0883170938277575	0.296986663030717	-0.0828666726507245	0.49715074486377	0.0139644485031706	0.302694274105529	-0.0244689039983785	
46	106	0.022284993374661	-0.11429680821254	0.43854064396816	-0.0600282657643062	0.104754729454511	-0.032400108547026	0.00150066331791744	-0.0713632277894142	
11	128	0.164024863898019	-0.0731516494570297	0.262288701274158	-0.0756311279166917	0.620515921782116	-0.00810318094314638	0.0853299237850788	-0.0339742730156545	
76	114	0.00553498653140281	-0.142428057309445	0.818285559088884	-0.0207705478531466	0.25757049301696	-0.0236908814597668	0.000397706019027253	-0.0771490488509855	
81	94	0.261255155490965	-0.0714663430109466	0.85276646552115	0.0141142201893764	0.457510762467194	0.015884308515151	0.34729854060434	-0.0228322037739538	
