simNum	IVsNum	P_random	eff_random	AIC_random	P_fixed	eff_fixed	AIC_fixed
66	106	0.00639418087704493	0.0423117323432882	-686.077605050233	0.0051889367340102	0.0421017294087782	-687.391880562823
21	84	0.649079870321457	0.00855556393273703	-533.660395751906	0.649079870321457	0.00855556393273703	-535.660395751906
46	101	0.0837916860893778	0.0295990737868758	-628.123357632875	0.0790640757653059	0.0294665269908719	-628.074749752003
1	103	0.0369286033718165	0.0364810617225018	-645.11430404222	0.0369286033718165	0.0364810617225018	-647.11430404222
76	91	0.0871189916845787	0.0300992645220221	-577.273822750106	0.0871189916845787	0.0300992645220221	-579.273822750106
96	124	0.00621780864354652	0.0385463315574344	-804.610588593722	0.00389783257041334	0.0391951026964413	-806.056954628797
16	101	0.0322169163059878	0.0412757197919727	-614.862659653593	0.0204737438682695	0.0427811798626474	-614.46493065957
71	91	0.130924881985544	0.0299183556041947	-545.765202394979	0.0555088093863553	0.0368611553115882	-545.616142954908
51	106	0.000241633557648358	0.0672552580390174	-641.490132894539	0.000241633559994089	0.0672552571597519	-643.490132876256
41	105	0.972320593236664	-0.000577003683586076	-641.487951104065	0.972320587324712	-0.000577004466997106	-643.487951110752
11	107	0.0147573619423159	0.041328632574046	-659.975461936512	0.0147573620273758	0.0413286339571577	-661.975461926244
86	108	0.200440704709109	0.0216344694567323	-666.343351075197	0.157889135050567	0.0230761592461645	-666.755459881435
2	94	0.0899041887451145	0.0271373878522138	-601.316426742637	0.0899041887451145	0.0271373878522138	-603.316426742637
26	115	1.4152915612671e-05	0.0739799942710077	-699.686775714622	1.24769942278183e-05	0.0736418302212489	-701.634948177135
97	103	0.255234228619193	0.0168533917305647	-656.864364460562	0.249574765770296	0.0168533917305647	-658.864364460562
42	87	0.0413424870448731	0.0358615486247017	-546.905553463228	0.0413424870604018	0.0358615467689498	-548.905553463945
17	104	0.0149926353951797	0.0385049731466307	-659.231451727641	0.0149926353951797	0.0385049731466307	-661.231451727641
56	105	0.0241064945336136	0.0420439942174187	-639.096018397957	0.0239282125972776	0.0420439955992147	-641.096018397274
52	102	0.679179253697748	-0.00846882333826647	-591.508207695381	0.67917925384915	-0.0084688236019423	-593.508207695465
36	93	0.154833523999801	0.0259328813537765	-583.041809462805	0.225172000730916	0.0216016001791865	-584.488937419598
87	109	0.0373144726053605	0.0342018428769913	-677.520579442215	0.0373144725856249	0.034201842157704	-679.520579442409
3	91	0.00394195274410751	0.0563268141182462	-550.990259727847	0.00188725940440727	0.0582652952544987	-549.069256848026
31	101	0.0456455613842216	0.0356060717678906	-614.291240145644	0.0739047383142365	0.0304837019207524	-613.272791688898
12	104	0.241629773236337	0.0184761559000311	-660.586018838865	0.241754342258073	0.0183630578067295	-662.585293379009
67	96	0.174061830162268	0.0246054277636609	-598.435466382082	0.234383119218801	0.0203285029882097	-599.936709064953
61	97	0.00435284411193229	0.0623881899622357	-568.604536678547	0.0104906674954941	0.052714187122981	-567.288185736829
77	113	8.70110783611228e-05	0.0672976115027679	-704.310463871091	8.7298248702057e-05	0.0670702095535226	-706.304237674075
72	91	2.55898066264625e-05	0.077836843546929	-571.138285931182	2.72848604780066e-05	0.0755875477157221	-573.016295602618
81	114	0.094487888038509	0.0272496106186138	-710.133426069319	0.0799808075391097	0.0276501514644763	-712.063291976485
47	97	0.22218705237479	0.0242217051212218	-566.732106016085	0.223381533191467	0.0238874781509089	-568.715397027849
18	90	0.00363022217350207	0.0488900771287081	-571.171061035135	0.00363070564275816	0.048830273519604	-573.170818815008
37	99	0.0355752213509633	0.0371755284517723	-608.177008781132	0.0198663084327835	0.0392799660312669	-607.570773039595
57	111	0.0762220524332189	0.0259765683443247	-707.467736722551	0.0762220524332189	0.0259765683443247	-709.467736722551
91	105	0.023283640959142	0.0409014335309412	-640.449424447097	0.0127044007647407	0.0434434655993915	-640.672946102435
6	111	0.0350728443307905	0.032677520804439	-703.089404929737	0.0335620479518016	0.0324859478799245	-705.033251639221
43	101	0.00558708517051085	0.0488312791596225	-632.447847685172	0.00554820518385019	0.0488312860085086	-634.447847684903
88	103	0.168068325760348	0.0217291529489011	-650.725676841479	0.168068325760348	0.0217291529489011	-652.725676841479
53	86	0.39546249089042	0.0189818719039483	-490.045296437437	0.395462496798008	0.0189818707908883	-492.045296437896
22	95	0.81090752846127	0.00418444889622329	-597.810530990734	0.73469265335327	0.00563354505332105	-599.610399602479
98	97	0.578818310471135	0.0104303014846823	-585.369586992411	0.588036786470186	0.00992461469080015	-587.354858720001
68	92	0.0714257188142567	0.0306852121387682	-575.716935628307	0.0704803241703868	0.0299695970794251	-576.861374671347
48	94	0.0414446290296183	0.0351277842568363	-596.06027966255	0.0414446290289707	0.0351277842568363	-598.06027966255
62	103	0.0665682001284563	0.0321953934418532	-624.589900103943	0.0665682030542559	0.03219539457159	-626.589900070022
73	104	0.0275015821353495	0.0412187069424924	-633.590336443873	0.0144777326453424	0.0438551945469217	-632.12376554754
78	106	0.0734021025069453	0.030361679347867	-665.358149651702	0.061538622996801	0.0306162694639705	-667.345030364665
58	114	0.00149281516261249	0.0510204352905616	-709.675384908827	0.00149281517109115	0.0510204375379727	-711.675384898336
54	124	0.0666165644976518	0.0262441117179334	-793.876366973012	0.0553111089045912	0.0269224524661352	-795.384216181956
27	100	0.66817142088017	0.00754265296620097	-611.701445397551	0.668705687414612	0.00748103618312327	-613.691630190442
23	101	0.0917883956632109	0.0310773812356994	-621.322029748621	0.0917883951459955	0.0310773714580789	-623.322029793042
89	102	0.000264933691830483	0.0664519019096264	-634.15409709581	0.000264933692697082	0.0664519012680669	-636.154097096024
82	113	0.0167854336551555	0.043114786727381	-682.745661750662	0.00999740756996196	0.0441915572701435	-678.296134857561
13	102	0.772731205291865	0.00592768381311902	-619.739014090432	0.622846028277251	0.00838642618718454	-621.117572854835
32	86	0.0109202300752048	0.0565304705273916	-514.814577367765	0.00324564578088031	0.0585076183485285	-516.659863906362
99	91	0.353205337608071	0.020725910291332	-524.646846396217	0.353205335564207	0.0207259092476009	-526.646846398001
