simNum	IVsNum	P_1	eff_1	eff_mean_minClass	sd_minClass	P_minClass	P_minClass_mean	eff_mean_maxClass	sd_maxClass	P_maxClass	P_maxClass_mean	corTest_1	CHVP_test	AIC_1	gamma_1	prop_1
40	113	1.14538719503535e-12	-0.135273488549607	-0.131993737228091	0.0168733435783491	1.14538719503535e-12	3.11900916821706e-12	0.183806074781506	0.0332628595475075	4.49053498843589e-08	2.1601466445086e-07	0	2.51843310535503e-17	-655.122311628557	-0.135273488549607_0.195304836273702	0.541766521955416_0.458233478044584	
93	102	1.24588362606795e-07	-0.134786029679329	-0.130580132069307	0.0236879137604233	1.24588362606795e-07	2.7212414776049e-07	0.181959357333127	0.0247791940380166	2.72656299403318e-11	5.46601933241429e-11	0	7.70715570698734e-20	-589.255160343766	-0.134786029679329_0.185488055909733	0.503402702833505_0.496597297166495	
9	96	0.910257507397613	-0.00547967429206154	-0.0324070237660843	0.0320220691232967	0.864247798996667	0.314098398971617	0.020892277733034	0.0484864558647312	0.910257507397613	0.667525221423623	0.999766874542055	0.359000463604817	-540.559244586427	-0.00548964525534666_-0.00547967429206154	0.499999999999926_0.500000000000074	
24	107	0.162144882763825	0.0367773503025224	0.022493890212497	0.0261257878550635	0.162144882763825	0.3911901119318	0.0721260004859572	0.0374389285470818	0.100418018694479	0.0567202402970835	0.453415089869439	0.276970045209888	-617.22141406302	0.0367773503025224_0.0620471171133788	0.515200434891696_0.484799565108304	
85	105	0.000663444875098238	0.132127092259597	-0.0750792006604453	0.0431272764824592	0.0621291897891803	0.0846628966514065	0.121651740264662	0.0376413925712028	0.000663444875098238	0.00164764377399226	1.03241859505943e-11	0.00058878437116658	-593.50710722682	-0.0813240463254803_0.132127092259597	0.49883537181722_0.50116462818278	
1	109	7.7112308774358e-13	0.191283026034238	-0.126851233448522	0.032685147434762	4.56038536998233e-05	0.0001793512902976	0.190037511854813	0.0235236993074396	7.7112308774358e-13	1.01086545688218e-12	0	3.57267299796758e-15	-629.418164917435	-0.138898064375561_0.191283026034238	0.483047137853764_0.516952862146236	
47	93	0.00586606937443111	-0.0643144453478669	-0.0554927889338562	0.0227991224715577	0.00586606937443111	0.0168646190428474	0.140947983161951	0.039556264102685	0.000233584276605776	0.000582899515025282	0	1.68806071181519e-05	-546.577320717164	-0.0643144453478669_0.151511697124075	0.510273079000394_0.489726920999606	
55	105	0.001930023621954	-0.0979572947766879	-0.0854287436025627	0.0307867727904469	0.001930023621954	0.00654895188677005	0.103079063047394	0.0413843078412721	0.00670458157577791	0.0143285439857198	0	0.00025750743493763	-620.583560424652	-0.0979572947766879_0.114495029396594	0.504145158099685_0.495854841900315	
70	103	2.73812351453015e-06	0.139642334533528	-0.0966840352273746	0.0401053078037426	0.0100824172587804	0.0177092293747912	0.130670587149869	0.0281121856680507	2.73812351453015e-06	1.00480336703448e-05	0	3.44911738027895e-06	-600.309005851313	-0.10515220886598_0.139642334533528	0.495489413540765_0.504510586459235	
62	97	0.820583352167413	0.0135094191916589	-0.0080722444594787	0.0594038116868973	0.820583352167413	0.892194638721447	0.151542308398599	0.0545807909183414	0.0279848884959787	0.00660752002164623	0.000503769061074744	0.0478636982229732	-548.259764320456	0.0135094191916589_0.121788845714721	0.500115176179166_0.499884823820834	
