simNum	IVsNum	P_mbe	eff_mbe	P_egger	eff_egger	P_ivw	eff_ivw	P_weightedMedian	eff_weightedMedian
31	107	0.463582136103549	-0.0348857021644998	0.558267563769192	0.0302821664019669	0.627770962361759	-0.00680268927776585	0.534923451242028	-0.012595101519824	
41	95	0.603166254358041	0.0227221462590458	0.442874102794182	-0.0461733587352726	0.91418311322415	0.00170676404014947	0.874517385380434	0.00335924342594765	
26	105	0.786237415772377	-0.0154744936230233	0.30213832545943	-0.0653932291476506	0.472530273085411	-0.0109732619416255	0.442529730771641	-0.016204520546494	
6	115	0.606564595745576	-0.0208197815759018	0.684332838998063	-0.0236733504772734	0.826150720376478	-0.00352250924215485	0.729363398523781	-0.00658093031350035	
16	109	0.500490660258645	-0.0342949261318025	0.557198493519651	-0.038017415577905	0.217686193105164	-0.0211306394796221	0.278430339422729	-0.0226498572919018	
66	117	0.406596844266008	0.04106029531963	0.756700916655965	0.0193310742746186	0.789111629993557	0.00404662069364651	0.446163189050473	0.0152439543844348	
76	105	0.239450348977834	0.0641756750285614	0.961178170393987	0.00284947747582158	0.749266120423665	-0.00473976959732753	0.636444773921258	0.00970373175178108	
71	119	0.592304685259909	0.0284543321639592	0.0723896401413657	0.116340398577274	0.520864871691495	0.0101756546749539	0.480023133832358	0.0142720691617288	
1	109	0.838704698457373	0.0113001565937005	0.523279144440622	-0.0548129567960624	0.922803446390017	0.00210545218710314	0.954421850575864	-0.00120563049208068	
81	117	0.108874235404402	0.104608302149967	0.662867331216879	-0.0216962960952104	0.761241793680106	0.00436298621335768	0.865066285999975	-0.00349533696679121	
61	125	0.850588903731029	-0.00845066093061397	0.90966941378777	-0.00573680164326257	0.709515846449938	0.00502034240165807	0.932570737481447	0.00162073437703226	
21	107	0.922994868168448	-0.004575111204838	0.135242212912986	-0.0899010140261324	0.821622749973137	0.00358165537909747	0.857034547070069	0.00367234554697591	
36	106	0.942347633921344	-0.00328017337747699	0.861836190580388	-0.0109128770367161	0.275313110150334	0.0176421640984069	0.928302686659541	-0.00189596642026616	
11	99	0.678846249877164	-0.0203668999210127	0.354808001393828	-0.0597740860849433	0.156005499861751	0.0255499512700624	0.552424532487846	0.0124866923512047	
51	118	0.168561297792898	0.0679166910886581	0.607946177615945	0.0254483245534775	0.0359418675069498	0.027364155594418	0.124605900650601	0.0296835459798987	
86	106	0.851266857969918	-0.00926577001926765	0.617949176342515	0.0259692282448306	0.125157417319504	0.0224875550126689	0.308089433892179	0.0205804779350076	
96	100	0.43563644012784	-0.0447481667156335	0.873369127748565	-0.0113487147418418	0.58120437639144	-0.00841770676150467	0.233997048481173	-0.0253965666117744	
56	109	0.554976645865971	0.0302286901958124	0.782765264473378	0.0179214393314392	0.381686067495679	0.0149724092856993	0.0909517421097088	0.0355556508938231	
91	112	0.491943638124117	-0.0339081832738215	0.638666856007607	-0.0256633282393377	0.0446141590919503	-0.0297818238428442	0.106946375515737	-0.0322335408705956	
46	93	0.755805461794086	-0.0143433100197072	0.255198353094386	-0.0584220953128638	0.936443907348182	-0.00121844323943927	0.909987986234693	-0.00245836722646057	
32	110	0.891866445725195	0.00743615776849327	0.0146962614075814	0.144936362783373	0.0111958345988438	0.0377473014480289	0.104352424974676	0.0336602666315699	
42	117	0.763436955189619	-0.0138264054054277	0.997817218290746	0.000171050292149168	0.75259114467184	0.00482722433202844	0.549032043514131	-0.0119419124487047	
72	103	0.987645872569155	-0.000855709376940461	0.655270949528565	0.032509993478836	0.502955894764582	0.0101980267735414	0.835957804570491	0.00441139248247273	
27	107	0.967439737874759	-0.00227181121270736	0.132818783586372	0.0855418068867658	0.173261548133635	0.0193313495472537	0.523898910435316	0.0131311256135862	
2	111	0.678416395247661	0.0185977324898857	0.877677261711609	0.00881691792816548	0.0547652045987194	0.0258796501899656	0.207296044860185	0.0248447225622163	
7	109	0.688936014706401	0.0194035824137496	0.299143671648777	0.0552915955065402	0.142878167325473	0.0200844413669569	0.432436306959706	0.0159611791092049	
77	106	0.793483094754718	-0.0148707621924036	0.532897604559396	-0.0362790166525428	0.572965511850644	-0.00827561065720532	0.5243048620484	-0.0135948933545206	
82	109	0.661999245864893	-0.019702994344994	0.25301443624741	-0.0760735514397233	0.617931625146262	-0.00942642176430961	0.392886087394076	-0.0179842303646331	
22	99	0.46816332491993	-0.0362607272914296	0.218567132591094	-0.0826875392494876	0.317608123598624	-0.0168007601619674	0.240846079407873	-0.0247614454273978	
67	132	0.433119541154977	0.0360582794138855	0.140942227611386	0.0821995935499285	0.666266776284263	0.00618331354040912	0.414209754209718	0.0154875508560611	
17	107	0.991443146899642	0.000535385647450703	0.952490539249489	-0.00440788721413757	0.424675089157458	-0.0146633211520978	0.862903410529988	0.00356596501258182	
37	118	0.176552189657046	0.0776526688977514	0.432141136512248	0.0402860071282352	0.0780293910679913	0.0229848400946044	0.202811315937392	0.0244073695315935	
62	114	0.855908417755292	-0.00880359531209429	0.853427269293318	0.0108607405643616	0.844968420010138	-0.00301054007651768	0.891696427583507	-0.00271812224483772	
12	120	0.567430350815399	-0.0286034757378907	0.88593956738692	-0.00869164015388901	0.201270028125407	-0.0203573078298633	0.38224351971456	-0.0172707306619522	
87	93	0.94051126741707	-0.00385392470944457	0.21025280944679	-0.0876059073650128	0.192851904547163	-0.0236284114251718	0.27451467169703	-0.024611227511157	
52	112	0.12373997707611	0.078616078329233	0.512168313561982	-0.0373885197631594	0.105683661060229	0.0250453641622233	0.0796102072015459	0.0347082665173346	
97	103	0.784823161717072	0.0156928966985076	0.781289893669578	-0.018505711744098	0.886608738707961	-0.00238878590963299	0.796519493388933	0.00566198682072191	
57	106	0.189977298053575	0.0801837457063483	0.19429519652472	-0.0776556692696804	0.28473918330311	0.016745196614689	0.10125497829021	0.0345032181845281	
92	95	0.613341303164866	0.0324253427345578	0.782050986428761	0.0270718049168064	0.805866632408069	-0.00525815843886692	0.64487654640444	0.0110176125440807	
47	123	0.832340568229893	0.00982641733816125	0.484844720315398	0.0405270287640591	0.194594467561675	0.0203965414762246	0.386506642887391	0.0166064973034835	
33	114	0.130723717321636	0.0789471516849182	0.047533607222499	0.110903261190291	0.364567401788251	0.0123731488481758	0.117522147289677	0.0314914281834865	
8	113	0.604063976284334	-0.0291884414100857	0.61294574209371	0.0278721132380574	0.614522968092222	0.0070710930954931	0.678702929463752	-0.00822938665829789	
83	113	0.429849576032317	-0.0402663154809551	0.475299402447776	0.0352230114499489	0.920469169570891	0.00139351728705957	0.513186293009664	-0.0135010622901743	
3	96	0.903846239131394	0.00618291497467394	0.942464890604435	-0.00480234796321628	0.988706884992404	-0.000236616890235883	0.665248454591402	-0.00953448838161301	
23	121	0.348576845208295	0.0397894272501242	0.17424446606222	0.064347181762762	0.945478850088062	0.000915741137080079	0.297771009850378	0.0195022110327742	
73	121	0.0979077168486076	0.0843202841771721	0.902118171517349	0.00717625830157085	0.54935100554504	0.0104421674284798	0.386091292384155	0.0169715199319567	
68	106	0.597972884043127	0.0245352162091256	0.647577106334146	0.0300627115947552	0.0457385016292058	0.031283714145093	0.35923593742018	0.0188546491546227	
38	115	0.848428488454755	-0.00884257932349219	0.279709056696497	0.0586941381852058	0.735499112815506	0.00488452963084855	0.524566403692765	0.0127320468325881	
43	115	0.163010627503986	0.0695433370404061	0.596060679687889	0.031312324404805	0.889059907218672	-0.00219722920080855	0.304465294627582	0.020742413925786	
18	117	0.606185348068772	0.0268811409047296	0.782863176950686	-0.0218801048578546	0.770018326302773	0.00500837801328721	0.614042279754326	0.0101360782536821	
28	119	0.858459372352242	-0.00778629732764846	0.469858241711576	-0.0423519433402165	0.961318152468842	0.000698364412723905	0.629341787522948	-0.00933073593358013	
63	88	0.328853306860496	0.0511689815156273	0.918752263716444	-0.00737644901401594	0.485180238069446	-0.0123768436824971	0.971171579025318	-0.000828950728336273	
13	125	0.542704972064719	0.0371881544075109	0.82272626411936	-0.0122004887804963	0.186304508747029	0.0196523771960532	0.111940959149359	0.0323795699581442	
98	95	0.637362773338034	0.0207862380783814	0.664060392749573	0.0224230158005551	0.88896375744009	0.00199503174350788	0.657163985468025	0.00906584424738473	
78	97	0.757861195112702	-0.0126114591599219	0.301739368111542	-0.0605946602087854	0.941829531660398	-0.00109465765061874	0.503998131000009	-0.0138770038029001	
58	96	0.876158369821939	-0.00855701362550254	0.178913205309161	0.0736814076366945	0.233475519880964	0.0181521241671286	0.47655087617797	0.0151753194370648	
88	107	0.171868657221634	0.0811228872835396	0.0414300183441343	0.11710990773187	0.465905627453654	0.0102762461259571	0.525781642426765	0.0133261593073601	
93	93	0.45020201384683	0.0439721578355773	0.842350136016046	0.0130401309166517	0.0565784537801275	0.0289399519680132	0.103541489190868	0.0362082447102508	
53	108	0.108147424879483	-0.0759995961599897	0.809600700429385	0.0124362607851832	0.793242016722442	-0.00371435534481912	0.309966719800395	-0.0212150111047237	
48	94	0.896964783890533	-0.00741163464886196	0.0883161008456943	-0.109446400250303	0.399198596245888	0.0145740563945015	0.342304769040451	0.0214486763313925	
9	77	0.532730197465457	0.0340285502117456	0.764209811881226	0.0226674632228821	0.00601170523119614	0.0500370288579492	0.0586183306190948	0.0458558085994017	
34	105	0.587455087674313	0.0352089710988559	0.840476100845625	-0.0130598672250129	0.62137780866637	0.0084370698500731	0.393707040729741	0.0181397962974962	
84	123	0.625959403298472	0.0237225777656518	0.550981961758624	0.0332861472968058	0.860934257995127	0.0025494679051241	0.456944318429095	0.0142068183322779	
4	105	0.86440237257628	-0.00857533304787911	0.378946281785116	-0.053776299371211	0.196996317343059	0.0197427808067884	0.816894858564358	0.00489666995622004	
24	90	0.150221668211794	0.095010378089229	0.145678071116272	-0.0904160411097821	0.132828497985568	0.0259698609360242	0.350593010836146	0.0221590086831692	
39	106	0.595706332668663	-0.0283893240490904	0.270173923378979	0.0809615214466021	0.46455023275085	0.0123619046985351	0.588785510303055	0.0109114767808576	
44	111	0.267583911261228	0.0564601898333231	0.69252412744186	0.0218919604968157	0.913351677115926	0.00148751217593347	0.360194227931064	0.0177975874887288	
69	104	0.702980115445786	-0.0191073645871984	0.300994882866684	0.0582513836091889	0.50029971153197	0.0102159202837762	0.753398889627369	-0.00666321344952685	
64	101	0.851153257049398	0.00955266320073478	0.271229300572189	-0.0632684665065974	0.248440317448083	-0.0173443925057841	0.410612833037887	-0.0175365369225001	
19	96	0.164928778687456	0.0653825628822126	0.691807754630227	0.0247414128171053	0.373477714579189	0.0154687838200981	0.0708025761153012	0.0398696660150908	
74	90	0.46325236844178	0.0432712562556405	0.889836726214881	-0.0135582069589831	0.931848612084058	0.00195146901451582	0.261425609073592	0.0252608694748104	
99	104	0.465133265413458	0.0412399740488498	0.522596699993726	-0.0387374668333978	0.119714774587336	-0.023425086681414	0.257459004115813	-0.0235704824832686	
14	117	0.420588122123554	0.040424277910958	0.0540233089982503	0.114575198942993	0.335888855218355	0.0158087710873292	0.145886664815018	0.0290219678562731	
79	104	0.191634329035009	0.0671537489499566	0.283130575713848	0.0568807144861398	0.102155054181642	0.0246250153015155	0.043677157771655	0.0427284495990159	
29	84	0.655125768408088	0.02412807181328	0.268236159048187	-0.0788716660007916	0.913199896576384	-0.00180931798526448	0.835061555629559	-0.00476237296372035	
59	102	0.743237845280186	-0.0146440472757741	0.279455426141256	-0.0652954361604139	0.513387476930056	0.00964683962199812	0.896595261465094	-0.00271653433928174	
89	105	0.444833563791659	0.0412453311797727	0.841259715631071	0.0127195020975819	0.843622898683697	-0.0032378210961448	0.665895473763808	0.00911197838979271	
54	99	0.545155808020388	0.0360335537312444	0.838093960316192	0.0126846782857386	0.468908308553492	0.0115598400937475	0.544160615715639	0.0132767804247855	
94	112	0.762664072938293	0.0148221319172376	0.949049720419621	-0.00352421551893951	0.838173526521853	0.00285738170794566	0.77114909854989	0.00575648326505871	
49	99	0.465816864251384	0.0387164767861752	0.383331739865119	-0.044061639734631	0.585103198645231	0.00777626586959182	0.327833637868982	0.0202081166017707	
10	117	0.92300203208542	0.00449086319658026	0.0946488633491944	-0.0978300534969499	0.642015126665824	0.00675134901922509	0.654690704869679	-0.00866521752168896	
85	89	0.957701418844903	-0.00277307101267532	0.736692850262382	0.0227974636679863	0.00498652215651539	0.0528142853193393	0.476713972530513	0.0161529751534929	
35	112	0.955773469161057	0.00253928763247324	0.279861985406598	0.0543277189062629	0.494811161558808	0.00950438005283268	0.866163350186104	0.00332244359222037	
5	117	0.697285694610814	0.016512647169987	0.285905101272193	0.0517193571246741	0.123050061534469	0.0202678725605173	0.38265162925302	0.0165006816036764	
40	115	0.3308069364341	-0.0440092082100129	0.784144838734292	-0.0156948716540108	0.396868111358245	-0.0127425088239172	0.470564866779125	-0.0147887079377148	
65	103	0.395462961714417	0.045879563097995	0.253660704716651	-0.069999961746595	0.0525090455035171	0.0300653903724717	0.396112392066263	0.0181265619937964	
25	118	0.221244628691975	-0.0724669880057685	0.800087786304017	0.0126149871564725	0.817133028278962	0.00326167818372611	0.971211375057189	-0.000716586332548869	
20	125	0.562857492509822	-0.0298355130299651	0.705484989508935	0.0197936762531943	0.690714866490524	0.00527927110178329	0.974501657314718	0.000613288109475373	
70	117	0.822032377280531	0.0116935243852175	0.380955901424442	-0.0470129723369438	0.597985027257633	0.00703824981139645	0.752841603362355	0.00618291191456127	
