simNum	IVsNum	P	eff
71	92	0.00853528329282605	0.0417326852657199	
21	93	0.0162802003008247	0.0379466714502239	
22	109	0.146189186909804	0.0216638794970464	
91	96	0.878903648831236	0.00250369341555586	
72	107	5.41293855516045e-07	0.0718396773829987	
61	97	0.12608293873331	0.0223304367547383	
31	99	3.68054849533284e-05	0.061692892746371	
73	93	0.000401608241377138	0.0628238534207367	
11	104	0.218607918978796	0.0255663889578319	
23	110	0.0131001237975945	0.0340509768798489	
41	111	0.00109526766470269	0.0481106560941539	
24	93	0.0575513435685644	0.0285833913760891	
51	108	0.00665462315618681	0.0413587231571529	
81	97	0.853451057588086	-0.00293196675580537	
92	99	0.0155251276821118	0.036879158414283	
1	117	0.000341589877019821	0.0579668077492803	
93	100	0.783479367850058	0.00415814327809717	
62	110	0.350828964769905	0.0131935356183882	
74	101	0.192525011429807	0.0186221712524889	
32	107	0.186765629981931	0.0186648909175172	
2	97	0.189626219576046	0.0193172726166742	
12	113	0.177607600549405	0.0216335013084131	
25	114	0.00278588084153242	0.0450461337929558	
94	100	0.0006520868343598	0.0623418902983533	
52	100	0.0108537635326789	0.0425192343886951	
42	116	0.030082833920817	0.0311273917264301	
82	116	0.0393512169543342	0.0500855649486322	
63	109	0.0572382117064709	0.0320141537430332	
3	104	0.0415896627060617	0.0352767751222	
26	102	0.0213252951557437	0.0339611470581258	
4	82	0.00160029194963385	0.0496644351512022	
13	99	0.0146501325717834	0.0412884436635827	
95	101	0.281795816500339	0.0236406943230396	
33	118	0.279067912642455	0.0150072734114791	
43	118	0.00364164221201091	0.0406931620312676	
75	111	0.00068840594229358	0.0484128214316803	
53	130	0.151768740492035	0.0209869925646406	
96	101	0.0153812138721579	0.0386936879078106	
97	86	0.0157748390227173	0.0410444569996891	
64	109	0.000302931033388631	0.0495529139404469	
44	104	0.918404647002159	0.00149144397798934	
83	133	0.00205044362791007	0.0409252994106652	
76	124	0.0496544447676055	0.0422173104806464	
5	106	0.51645584922407	0.0141080883114414	
27	117	0.0419296777308418	0.0313228480823416	
34	117	4.62505270304447e-07	0.0740515698748949	
28	95	0.22286033797552	0.0195077007421482	
14	121	0.00106830115815604	0.0468550423179736	
84	109	0.288787463196401	0.0186345291197582	
35	101	0.0024022390906302	0.0466772820618456	
54	98	0.0627315570862736	0.0298360408315247	
15	99	0.00091871557975165	0.0579115802466451	
65	107	0.00142388616667244	0.0447057978669585	
77	114	0.0648451872067994	0.0254720712369361	
45	110	0.643647466756313	0.0076121632971545	
29	107	0.282165044058126	0.0155318297976465	
36	106	0.0661898608112284	0.0265801787158365	
55	109	0.0907841896565522	0.0268847425856854	
85	110	0.000243584941141961	0.0539760984956271	
6	123	0.0594602021805994	0.0298759120790377	
98	116	9.10809984160377e-05	0.0566478729662454	
16	109	0.0072275486118456	0.0397917348293179	
37	113	0.0237422951275836	0.0319031322671971	
46	101	0.145820562672385	0.0222811408470514	
78	114	0.0189517895607136	0.0304893504622416	
30	104	0.000945927616436526	0.047461837894569	
66	120	0.000903945229449032	0.0438200900636118	
56	116	0.0005258705112694	0.0496864793696433	
7	101	0.0254213397296896	0.0341214528850349	
57	92	0.139525735940651	0.0248655967318115	
86	112	0.00138121034586369	0.0501922929534828	
99	105	0.0111349473970117	0.041184188710193	
38	96	0.132741173843415	0.0258822716949201	
17	106	0.59205087599837	0.00897736466859295	
87	102	0.00131413265178648	0.0472713829130133	
88	85	0.074049026172065	0.0284656366975892	
47	101	0.147580534969507	0.0224372685231557	
48	91	0.0900903973427822	0.0288897768602019	
8	124	0.0354929790722631	0.0338202128671809	
58	109	0.164564846870748	0.021325377331609	
79	110	0.0391875467913307	0.0329435413188314	
67	104	0.0492105418209952	0.0294221926437258	
100	117	0.00758467103829985	0.0353303820157867	
89	100	0.00335328932903534	0.0420172163089526	
18	114	0.222334842971494	0.0179033187660031	
49	97	0.0158514507695788	0.0411065811194952	
39	114	0.510430145038087	0.0097190391022999	
9	101	0.0467788951964758	0.0331691295379711	
80	100	9.31547334794836e-05	0.0547782013850089	
68	110	0.0844290874226681	0.0249643172535924	
59	119	0.0408094366945602	0.0279757861617151	
90	106	0.0373805024988085	0.0310886945042257	
50	115	0.065445502383527	0.0336988269219809	
40	111	0.0440712082217551	0.0307438919320671	
10	99	0.0624453393062936	0.026429166203028	
69	104	0.742575619343592	0.00489607483332393	
60	113	0.18592965331658	0.0192197150872729	
19	121	0.00634547649875183	0.038171437628939	
70	106	0.00162533183489311	0.0493656099528143	
20	111	0.0534755037661374	0.0278396227920682	
