simNum	IVsNum	P_mbe	eff_mbe	P_egger	eff_egger	P_ivw	eff_ivw	P_weightedMedian	eff_weightedMedian
21	109	0.994731923075242	0.000356484272601376	0.647977512098412	-0.0303356842404282	0.901407053114884	0.00225340623480345	0.903771024600486	-0.00260457762207262	
91	97	0.169861899874977	-0.0962609965940293	0.612449384011014	-0.0353205392146003	0.195648302869814	0.0217253918039999	0.859893435417596	0.00396194584856971	
56	86	0.395320879418494	0.05635328615867	0.398026533385224	-0.0756056002624386	0.010985099753982	0.052835531562541	0.02677422002127	0.0526074699845752	
96	112	0.504415390961606	0.0397621243464543	0.0732012607728265	0.137847285995721	0.00484758933773446	0.0551184319795605	0.0242287235493999	0.0473202505759225	
26	122	0.161825052337998	0.0865905413175093	0.195066627444135	0.084695879845529	1.70907419000838e-06	0.0789906225730719	0.000191201587157516	0.0755571127896582	
1	92	0.172728417712258	0.0922784094849389	0.245941846243264	0.0939111119917368	0.0012649534143306	0.0638282624840167	0.00422982084426234	0.0677948613543252	
81	90	0.879918908091535	0.0068427705754564	0.817916696900578	0.0152750739893517	0.0983701136546295	0.0295711487949055	0.364755328400219	0.020612230227503	
41	112	0.832309395975363	-0.0112160633921247	0.187841646664029	0.0872563100454779	0.00866193002449191	0.0445963813224797	0.419017822778026	0.0173217940828427	
6	112	0.986654615059309	0.000813494619583022	0.74884628137382	-0.0272573703393532	0.0437905308488373	0.0409404490411915	0.220625979474448	0.0244450789142109	
46	92	0.497888811481708	0.0449766887145627	0.997821092049188	-0.000215788840055854	0.23192237722881	0.0234311615562286	0.148531640956214	0.0352476337227218	
31	109	0.851086620330155	-0.0102583308517741	0.353233045609916	0.0547676721309293	0.000443019928116647	0.0560089257681648	0.00762957399949255	0.0547596632158743	
71	82	0.712710360557656	-0.0234057658612619	0.502657266778222	0.0437005627124893	0.0448622207436282	0.0365165614625403	0.240980045590105	0.0277013510483276	
16	112	0.543702825183031	-0.0334024182573469	0.708610790002974	-0.0277764168800779	0.639525238900687	0.00887962238182565	0.704915503313346	-0.00824285045364576	
51	115	0.304378415036944	0.0581914927476155	0.545831333256751	0.0349992536206128	0.0159717847711308	0.0366852963849241	0.0350380124201351	0.0423750364007357	
11	107	0.780655985704197	-0.016881506303502	0.0892013075571736	0.106866297859894	0.0446440762706181	0.0335633231057252	0.525256581831326	0.0135607554190552	
36	105	0.476390476261275	0.0346224697319735	0.636982025568069	0.0296965842173598	0.0272934965714862	0.0367379143680153	0.162760805701303	0.0289486817290438	
86	115	0.258579887768618	0.0572070962338103	0.205882578972314	0.0743111892855066	0.0077104807869637	0.0396973920623336	0.0421279078024371	0.0404519036158163	
61	125	0.686139683568717	0.0209870969364584	0.725820607314575	0.0198916039493212	0.320323739565511	0.0142495062522224	0.419588197889659	0.0158105543960583	
66	138	0.304380379298295	0.0542939226548774	0.502885944558573	0.0365243164137223	0.00261386600869095	0.0417315985495777	0.017319885062288	0.044006374810869	
76	104	0.952495903933451	-0.00296291241187935	0.653682304640166	0.0291383495581874	0.000123215129949536	0.0609591561566716	0.0342317213737633	0.0459954834502836	
57	105	0.870670830742661	-0.00900716154454601	0.705535144698529	0.0224235390357959	0.00490742198247922	0.0411825055367318	0.308516104899726	0.021011098440312	
22	139	0.253829526663056	0.0625091669257813	0.146770002644234	0.0860947820624931	0.0113024691800539	0.0355951922591898	0.0106650077078876	0.0458710087143483	
97	101	0.263478237960618	0.0584010758717564	0.949047386464469	-0.00414244720607237	0.176867996196546	0.0235865554956296	0.0388341736073119	0.0437692967479378	
92	90	0.625113941987793	0.0294172751398102	0.630684713502271	-0.0338320249380447	0.358385289178489	0.0174746532147828	0.384783300202055	0.0207434643543541	
42	111	0.735618205610835	0.0197694319254218	0.150621685087627	0.100613424522643	0.0295609407286153	0.0385575849986676	0.149230343215527	0.0315782125507994	
7	103	0.177358444489092	0.0867100804831517	0.219122985328124	-0.084742612055117	0.0642382503154076	0.0306426858043913	0.0663501726031686	0.0402833175180356	
82	119	0.73667350941516	0.0169165699975149	0.71608579271987	0.0204275134475006	0.00341225392839358	0.0452079253179938	0.0475059126243781	0.0384981527764124	
2	102	0.0249769148835377	0.154918104441303	0.45996582800671	0.0496681038614899	0.0130670049399003	0.0439234382816555	0.00286702266576949	0.0672207677517317	
32	109	0.910732260027133	-0.00602699443543253	0.278312080552401	0.0825671393413186	0.138379749627763	0.0278574110431888	0.912809486392153	0.00234130328566999	
17	91	0.507332822503742	0.0402019651877177	0.983112229608148	0.00191524349101595	0.29374489086149	0.0203894601766951	0.219184481599436	0.0292291288180688	
27	105	0.725641259491329	0.0207684515934516	0.205651839653877	0.086183047807363	0.106936616281783	0.0267366300336441	0.479133531402328	0.0152331126153978	
47	95	0.633726714566532	0.024414681063326	0.410595465942692	-0.0548863287750872	0.110770522113867	0.0290299958746805	0.247366970874322	0.0255295401210651	
