simNum	IVsNum	P_random	eff_random	AIC_random	P_fixed	eff_fixed	AIC_fixed
36	105	0.0355970518402469	0.0353578726381833	-645.620347868772	0.0355970518926366	0.0353578769387541	-647.620347865871
81	90	0.177199747807661	0.024586857967547	-560.540576831628	0.177199747807661	0.024586857967547	-562.540576831628
46	92	0.362403694550129	0.017855073691186	-560.409441859421	0.315457007691472	0.0186543450801408	-557.356188157695
71	82	0.0531126872342648	0.0363439894411931	-508.05342692075	0.0476680306172386	0.0357018060850546	-508.196918299641
1	92	0.00469745175976977	0.0584106360953354	-555.489618210585	0.00203528432065259	0.0601145700255011	-554.631545950731
66	138	0.0113985565657807	0.0360371256541227	-875.09970733717	0.00675082114752831	0.0375023616232914	-876.215249751357
51	115	0.0328256490628956	0.0342787770813772	-726.192326251323	0.0344944981746058	0.0332274387180424	-728.107501217536
16	112	0.737471887782491	-0.00622113758986791	-657.032378370856	0.703761318444757	-0.00684489508090196	-659.003859517163
6	112	0.0231400319775207	0.0400015352240113	-666.943267915627	0.0231400315688459	0.0400015371923059	-668.943267872765
76	104	0.000107497970237218	0.0637525883733111	-654.310136854049	0.00010974912317947	0.0632576651509972	-656.271028855512
82	119	0.0044314218281759	0.0438253798617922	-741.961627061067	0.0044314218007331	0.0438253831952549	-743.961627072903
26	122	1.14168488435039e-05	0.0767415208516201	-742.742768692494	1.20731896787081e-05	0.0742664313899031	-741.880734718805
91	97	0.21079025528007	0.0216755616073594	-612.267699462973	0.262812426838552	0.0189076665034234	-613.387880197507
56	86	0.030108919430296	0.0466475729702484	-516.835187875984	0.0346805388485531	0.0445018977305188	-518.504877586553
86	115	0.0106251402596794	0.0390895276140546	-726.688471010444	0.00541565465602686	0.0405544789493467	-727.387400759673
61	125	0.337386903405304	0.013558672572718	-792.90818975413	0.339640992889003	0.0134240517197311	-794.891278937224
21	109	0.822833272063859	0.00395110967674875	-647.404552692284	0.825491795390659	0.00382168364072381	-649.242436204324
96	112	0.00621864887418399	0.0522587953608397	-652.711253741497	0.00611507495213527	0.0517213539665597	-654.625737718868
72	92	0.0318843988851868	0.0343056342342812	-598.341348282672	0.0462264890845541	0.0311674656871791	-598.632944205376
67	113	0.0104294398859079	0.0399760015396842	-706.575565547003	0.0104294398834288	0.0399759998563113	-708.575565547952
7	103	0.0519905150375867	0.0325033320535319	-645.577823539927	0.057189884321597	0.0305489718783966	-644.914555378037
31	109	0.00223563471331555	0.0509222776128069	-668.36485576631	0.00230419081578405	0.0496859716820991	-669.788343654173
47	95	0.125569760826107	0.0280079656338861	-573.507563350733	0.132055140889346	0.0268476403503883	-575.429304040116
2	102	0.031059191766771	0.0399006606673129	-622.735432602854	0.013707277081512	0.0435767145832356	-616.853000083369
11	107	0.0809846273485029	0.0299034331856344	-664.189267333616	0.0598962490095283	0.0312913163201444	-664.287724013433
57	105	0.0046409398792622	0.0420510367566471	-678.731060039126	0.00422237651998029	0.0419456640419078	-680.562606263692
27	105	0.170727438083679	0.02327620788173	-657.420831604795	0.141159150886067	0.0243938713415047	-658.069255862215
52	111	0.109364883341929	0.0271730748710639	-683.636290525869	0.109364883253718	0.027173070318131	-685.636290525747
41	112	0.00576521637463793	0.0482356539275201	-679.058399017988	0.00736790186275179	0.0454696889350224	-679.052141055141
77	105	0.107142640856819	0.0286252611454382	-637.2313211571	0.0939997479798259	0.0283802078994275	-637.047209975238
62	107	0.034410412748647	0.0327241931376504	-690.346331373909	0.0297568199608034	0.0329337601371729	-692.249356061573
73	110	0.00050406451553677	0.0605901257266692	-682.485973362639	0.000310810319624823	0.0610373552253856	-676.068936406327
97	101	0.0576403761565444	0.0329326899806055	-632.591469276445	0.0372419361348829	0.0347672992114088	-631.375300013977
3	102	0.0309579217335329	0.0333060425895052	-659.536710643218	0.0309579217335329	0.0333060425895052	-661.536710643218
8	99	0.380527072431263	0.0146596969325716	-619.973877599488	0.451166591728286	0.0120699407321983	-619.705933434347
83	102	0.00142349500368595	0.0508846227881669	-652.32109295091	0.000690009878014428	0.0510858376855244	-653.140169347895
58	85	0.0282291597676601	0.0446405097839469	-518.926915935345	0.0594850309610963	0.0382171915588849	-519.095960096196
32	109	0.322903702462277	0.0181989457254606	-658.167795067641	0.322903703032221	0.0181989434080364	-660.167795065297
53	97	0.0566795482164127	0.036125665445273	-573.74672416337	0.0566795493237737	0.0361256676440189	-575.746724121429
42	111	0.055793629592981	0.0350959659091713	-685.343566206021	0.0251524331178038	0.039455513866266	-684.527505164127
74	108	0.000271193158071467	0.0585060438945817	-701.945099636444	0.000147349265046982	0.0601168740730722	-702.376538726855
12	119	0.00163255722105109	0.053974719496394	-727.357850064574	0.000633521106897916	0.056532673669184	-726.969399499103
63	122	0.11634721105826	0.0293528377695152	-724.600189980764	0.173791003174615	0.0245415162127917	-720.010832187645
98	99	0.0324536056691502	0.041066800598046	-601.906700864241	0.0253559773665798	0.0406417342266624	-601.254742224134
68	101	0.000180026892592891	0.0640227472778864	-639.709451568137	5.1705264376162e-05	0.0667789867176485	-638.45594989548
4	113	0.0442739844936597	0.0311066382237976	-707.057661493666	0.0442739844936597	0.0311066382237976	-709.057661493666
28	93	0.0615646068928755	0.0312068486745982	-585.165612834781	0.0617695413821479	0.0309156851959458	-587.160110931207
17	91	0.386074580564099	0.0167049374571924	-549.709512339689	0.390528992037502	0.0163852118122345	-551.6572964017
33	98	0.81521715422325	0.00395680739519098	-617.437828999508	0.81521715422325	0.00395680739519098	-619.437828999508
75	98	0.0245497357364427	0.0407642830190052	-597.952369615854	0.0245497357725385	0.0407642873111295	-599.952369616103
92	90	0.324481711497493	0.0186800725143075	-550.665887638431	0.280827190944712	0.0197390337788615	-551.942792111586
22	139	0.0158751034414668	0.0344337441259173	-873.574601453669	0.0112821813668124	0.0350830323540224	-875.308221656968
37	121	0.152144689009975	0.0249181419769552	-716.432305664678	0.136413132517579	0.0252690378998286	-718.21455413975
78	103	0.00257688523674187	0.0558400836670762	-639.038367521673	0.0039297045951989	0.051052247871534	-639.201615376124
9	117	0.0342316128283105	0.0385767242845086	-686.373277498156	0.0342316129960933	0.0385767241734219	-688.373277490008
87	101	0.0828064306310619	0.0329120526924954	-610.257202413577	0.0958003060560819	0.0303958228380784	-612.00056147419
54	107	0.043088255843295	0.0374344491429118	-654.067931960311	0.043088258342714	0.0374344484024015	-656.067931864164
13	106	0.0539677280527839	0.0320381494455077	-651.51221855357	0.0539677275323765	0.0320381555468998	-653.512218561074
64	96	0.0263026040440995	0.0384573568246464	-599.441311202464	0.0283274779372396	0.0365591246870788	-600.015823720673
29	113	0.0197020323068917	0.0391943674189923	-701.056488640645	0.0136308102496665	0.0396704780711043	-700.107066318932
48	111	0.00129253783060671	0.05845229178298	-676.492438394876	0.00123531128870376	0.0580581603626725	-678.39953999078
18	107	0.108138332509135	0.0280167003034226	-659.939918910509	0.102273685795964	0.027603324240613	-657.628268904622
34	111	0.00691121476703998	0.0467707839878784	-685.396093621348	0.00691121479999518	0.0467707866001236	-687.396093612658
5	105	0.00560961034886303	0.0485284964691763	-651.979305345665	0.00712973995619793	0.0460400789994414	-653.473943331638
69	92	0.000156274202725789	0.0693762847567966	-572.814650857954	0.000179005524721172	0.0675087077816666	-573.635080759896
23	112	0.0309517818288926	0.0336467323952506	-711.590509547042	0.0309517819045377	0.0336467357384756	-713.590509544101
38	107	0.0211817453497801	0.0437887768590008	-636.0754018793	0.0211817449179499	0.043788771968845	-638.07540188473
14	94	0.0224170051501109	0.0386515241246085	-584.738282843021	0.0224170051501109	0.0386515241246085	-586.738282843021
88	114	0.00199288312678726	0.0486616882005654	-714.95549147793	0.001992883127301	0.0486616882005654	-716.95549147793
30	124	0.0508299257184844	0.0317318747748253	-775.636393641358	0.06430185030484	0.0295039710919501	-776.05421822441
49	124	0.0169977430297723	0.0380769723074482	-753.033398583877	0.0179083133973609	0.0360021430578031	-750.984355978189
59	121	0.00348969187454263	0.0524937167735817	-721.08863497943	0.00279346820351838	0.0524916460352175	-722.911382881919
19	109	0.0216683367340022	0.0367870979936167	-683.483131168189	0.0216683368190191	0.0367870979936167	-685.483131168189
