simNum	IVsNum	plei_test	P	eff
47	84	0.159	1.90680033566763e-11	0.127056148307424	
27	89	0.315	6.23421459354861e-14	0.141185773264604	
69	91	0.765	1.28478988807498e-13	0.126239362216938	
1	91	0.741	3.16292142437517e-15	0.138631023723071	
31	88	0.546	4.80522523077195e-13	0.12518421850895	
13	91	0.208	6.94706994472178e-11	0.117837367453056	
89	95	0.836	1.262421846735e-14	0.12269817159886	
59	95	0.528	5.86698060699791e-15	0.13486239684555	
11	96	0.374	1.54670915801853e-11	0.115639326073124	
81	97	0.573	1.6060945113085e-16	0.143737098996816	
17	99	0.195	2.1326923560715e-10	0.112755540298681	
43	98	0.009	1.32642603274045e-09	0.111974343025759	
35	101	0.692	1.46521009929588e-11	0.109599365238497	
63	98	0.046	2.83788442922122e-14	0.146852086936174	
87	101	0.387	8.66333787479395e-17	0.150690402170481	
73	101	0.239	1.39727834140859e-15	0.138700728136699	
53	101	0.404	3.55989127258031e-13	0.11817103486866	
99	101	0.973	1.11296004731944e-15	0.117796005925976	
49	100	0.414	1.08897594428589e-12	0.121564857329907	
91	103	0.636	3.73067866341253e-15	0.129879162802907	
67	105	0.87	1.57861025099479e-15	0.121267129019979	
41	104	0.691	3.3865024047507e-16	0.129642597404848	
23	102	0.058	4.58927279813406e-11	0.122180452875484	
61	102	0.138	4.41268366926768e-15	0.145794151272027	
15	105	0.565	1.95874768025915e-19	0.155109569297953	
93	107	0.683	1.2156937023695e-14	0.119576818536997	
77	105	0.663	1.80284625809162e-15	0.127898807040721	
3	108	0.836	5.42715699729247e-18	0.132945725599548	
51	108	0.298	2.27664789606856e-11	0.108247870242284	
97	108	0.65	5.79321097267598e-15	0.125076545555671	
45	108	0.484	4.20630826913393e-13	0.112570609292116	
71	112	0.465	2.3120404623868e-13	0.11460458622174	
39	111	0.787	3.1515957508965e-16	0.125849767216359	
37	113	0.963	9.55059667275484e-23	0.151206039324046	
9	110	0.669	9.90463900383376e-17	0.13027225865247	
95	112	0.662	4.52984681032917e-17	0.132842689437854	
57	114	0.51	3.89595316340528e-14	0.11197592920879	
25	113	0.494	6.95894954404882e-13	0.109221864102702	
29	115	0.2	2.60093169794592e-16	0.134663066497773	
7	113	0.199	7.09969652008213e-12	0.110782169838226	
55	115	0.843	1.32891449484929e-16	0.122081285541906	
83	117	0.506	3.0723935588758e-15	0.121399981633391	
65	115	0.625	3.21587779036185e-16	0.126233561680004	
75	117	0.207	2.72344165737706e-14	0.117790606063991	
19	121	0.717	6.45534544346109e-20	0.141245950022965	
21	118	0.184	2.70758119086299e-08	0.0847192781513143	
85	122	0.468	1.70891393278662e-14	0.113499242696381	
33	127	0.603	4.20825468906529e-20	0.138462897165757	
79	128	0.817	6.05545377757277e-21	0.137321722791983	
5	124	0.936	1.17967234096736e-18	0.122066966995687	
42	81	0.829	7.0397158980948e-14	0.134695886865522	
70	98	0.153	8.06035072805941e-14	0.139523895203151	
32	97	0.194	1.45707949089277e-12	0.125763928839934	
74	91	0.774	8.03163594324434e-15	0.135664573206859	
90	100	0.84	2.21936489559288e-18	0.150201508871286	
28	103	0.104	1.22181256777531e-13	0.129954561525232	
62	92	0.857	1.51562415765415e-18	0.153531749603146	
60	103	0.226	6.44186311592428e-16	0.147532186618105	
2	109	0.048	1.04991120649078e-11	0.114155989620417	
92	96	0.391	1.30254041896829e-11	0.111761128099708	
48	116	0.883	3.43289216451836e-19	0.131823823850323	
78	95	0.103	2.44337083179619e-07	0.0914242408471074	
14	108	0.144	2.62671546786568e-12	0.118021927952726	
56	88	0.995	1.50885233430586e-14	0.113822568340444	
88	103	0.782	2.80719618250795e-12	0.106381105071554	
98	93	0.452	3.27633610374158e-15	0.140746516591081	
36	108	0.904	7.05280464441347e-17	0.124758347817978	
82	107	0.856	6.78622581124526e-18	0.135853193029653	
84	95	0.85	5.58754121872707e-15	0.12344107309449	
64	108	0.384	6.0003269808787e-19	0.153346287329973	
12	116	0.756	2.49737536090493e-13	0.10591522417672	
68	107	0.657	6.8406239634538e-17	0.130387493552609	
86	90	0.253	1.47785439596852e-11	0.119164985785142	
44	112	0.721	7.39871119669906e-14	0.112602976759284	
80	85	0.307	1.12224795466557e-11	0.125153798137509	
50	111	0.328	5.99617185926202e-13	0.112771920168273	
100	112	0.756	4.2999086224242e-16	0.122625059690874	
18	116	0.189	4.00982165659009e-11	0.103408832024988	
4	111	0.373	7.63254790498597e-14	0.118546647411638	
58	104	0.044	4.11844184426823e-11	0.112966851877268	
16	112	0.755	1.38834803326768e-14	0.114072203154947	
24	113	0.065	3.11494982989387e-18	0.1517166489016	
34	96	0.803	4.93183614669418e-11	0.101691124581096	
30	106	0.616	1.29837154673758e-20	0.155928379758937	
10	109	0.271	2.46718203394321e-12	0.112595929132936	
40	113	0.397	4.48183927098008e-16	0.129049296053644	
46	111	0.58	8.80646190750583e-15	0.122137248663884	
8	109	0.235	4.9593570970795e-11	0.103339057440458	
96	108	0.481	2.51318492477723e-20	0.16143655948149	
52	115	0.923	1.45548047505326e-16	0.121975117479733	
72	116	0.238	5.38208044887321e-15	0.12679087106222	
54	123	0.797	7.04131567835636e-19	0.126735617805763	
38	113	0.894	1.7841866315493e-17	0.129728983868207	
94	121	0.156	7.16110091741445e-18	0.142963585790024	
22	108	0.063	1.4884353271752e-11	0.121769724005065	
26	118	0.457	4.71183882881456e-15	0.119441753431428	
76	118	0.087	2.58034319044629e-16	0.137234787845398	
66	118	0.306	1.57984528302782e-18	0.145656172942348	
20	116	0.194	3.77142307631488e-20	0.161379132048175	
6	113	0.764	8.82666226365736e-14	0.109743841525079	
