simNum	IVsNum	P_random	eff_random	AIC_random	gamma_random	prop_random	P_fixed	eff_fixed	AIC_fixed	gamma_fixed	prop_fixed
51	124	0.40584153634507	0.123155443858092	-767.533479849974	-0.034382144155744_0.123155443858092	0.498028372904112_0.501971627095888	0.148431451669729	0.134867361035989	-771.064948737312	-0.0503878044332335_0.134867361035989	0.490804214145417_0.509195785854583
44	94	0.0237915357271253	-0.146927997500524	-544.592854423701	-0.146927997500524_0.160315563942018	0.523380417303373_0.476619582696627	0.000145159583307278	-0.146927962455098	-548.592855252425	-0.146927962455098_0.160315595314464	0.523380528066782_0.476619471933218
22	117	0.190137563381505	0.138854721715091	-686.179553076647	-0.0995473028127723_0.138854721715091	0.495321595755941_0.504678404244059	0.0174529274685363	0.138854714122875	-690.179553079426	-0.0995472960101238_0.138854714122875	0.495321591177495_0.504678408822505
9	99	0.152383772650849	-0.120366477596013	-560.995511206341	-0.120366477596013_0.140167601932032	0.502668909096488_0.497331090903512	0.0113960587741639	-0.120366475779208	-564.995511207455	-0.120366475779208_0.140167601066418	0.502668908049975_0.497331091950025
27	113	0.041382543796152	-0.106261647101722	-672.552718755281	-0.106261647101722_0.178427090762211	0.518106260278913_0.481893739721087	0.00425168263192267	-0.106261571979779	-676.552716289764	-0.106261571979779_0.178426828564424	0.518105935508351_0.481894064491649
80	88	0.406268429962949	-0.0744697571228503	-502.951963484692	-0.0744697571228503_0.186078609556038	0.501727020007903_0.498272979992097	0.0767912566621205	-0.0770692597443512	-506.563994833523	-0.0770692597443512_0.197726468960766	0.517013161875145_0.482986838124855
62	98	0.365892663373204	0.16852218151994	-576.449362524201	-0.0557984825326531_0.16852218151994	0.497671406264423_0.502328593735577	0.165353556178069	0.17593880456982	-578.499177234131	-0.0742783132737174_0.17593880456982	0.478628566736875_0.521371433263125
50	108	0.313988026224996	-0.0838573486982688	-617.801702292039	-0.0838573486982688_0.120774654893233	0.505141841232341_0.494858158767659	0.0948965851827257	-0.0838573478671243	-621.801702297113	-0.0838573478671243_0.120774651541042	0.505141840508007_0.494858159491993
73	104	0.0575634735446895	-0.0579150680540201	-636.33559428635	-0.0579150680540201_0.111185646763322	0.516548829328233_0.483451170671767	0.399712363912004	-0.064599369210998	-631.430455433256	-0.064599369210998_0.123136256007381	0.521342669338758_0.478657330661242
26	107	0.00510817278538848	-0.145251137255224	-604.04172616848	-0.145251137255224_0.185358689631221	0.525231959635687_0.474768040364313	4.91676805361848e-06	-0.145251276512755	-608.041719279246	-0.145251276512755_0.185358434312936	0.525231349651798_0.474768650348202
6	111	0.345070452410818	0.128477159824974	-643.693976045772	-0.089884846532896_0.128477159824974	0.497500132198693_0.502499867801307	0.0965798396707284	0.128477164045581	-647.693976030958	-0.0898848443112026_0.128477164045581	0.497500125836874_0.502499874163126
94	115	0.064623272654958	-0.093767436723677	-660.942996155709	-0.093767436723677_0.182286917523763	0.506311230002204_0.493688769997796	0.00245448473580241	-0.0973953098753492	-663.971114354527	-0.0973953098753492_0.206814040891809	0.535118103541973_0.464881896458027
19	118	0.0186464184558761	-0.107714082561979	-707.150957220885	-0.107714082561979_0.182224424405728	0.519847080869513_0.480152919130487	0.00166132911268462	-0.108503396526974	-711.232324747678	-0.108503396526974_0.186459486988556	0.524744356605946_0.475255643394054
55	110	0.0082929889985887	0.220552824430813	-644.439332429697	-0.0972628983298152_0.220552824430813	0.496044488311907_0.503955511688093	0.000961417654882333	0.220552898981893	-648.439332089444	-0.0972628163988991_0.220552898981893	0.496044681072081_0.503955318927919
75	106	0.0215090323432277	0.142281417773244	-624.498587267565	-0.131318466967167_0.142281417773244	0.487070612057219_0.512929387942781	0.000184183954387011	0.142281398848823	-628.498587772165	-0.131318511297671_0.142281398848823	0.487070497574889_0.512929502425111
91	116	0.118379424556832	0.124016855584223	-690.440383300157	-0.110979439500051_0.124016855584223	0.497607196074521_0.502392803925479	0.00267289774890489	0.128745227719251	-693.587612383677	-0.125433577811715_0.128745227719251	0.483173120521691_0.516826879478309
52	110	0.112244815338149	-0.0840579936569169	-661.035566563381	-0.0840579936569169_0.0698089349550212	0.505572175370645_0.494427824629355	0.330443423808393	-0.0885146058239545	-662.374959269653	-0.0885146058239545_0.0732835833212744	0.509983121304387_0.490016878695613
78	102	0.0448256603837079	-0.0691460912109433	-598.778609189223	-0.0691460912109433_0.0776997082845282	0.512776169719177_0.487223830280823	0.71010468070482	-0.0491606543437847	-596.658634395538	-0.0491606543437847_0.0457977696185303	0.502465794949753_0.497534205050247
