simNum	IVsNum	P	eff
31	95	0	0.139169503949681	
21	86	0	0.154386261959028	
61	94	0	0.169310585402631	
51	120	0	0.18179430079466	
71	101	0	0.163810709720292	
81	103	0	0.148614403006851	
62	105	0	0.162536656223822	
41	117	0	0.16838315708308	
22	102	0	0.153654094722237	
1	121	0	0.135966614319078	
32	116	0	0.149796226849998	
63	95	0	0.135517455288252	
33	87	1.55431223447522e-15	0.135281272833725	
34	95	0	0.143898715557572	
64	95	0	0.16346240862904	
11	136	0	0.159553211533672	
91	108	0	0.140856239309139	
52	115	0	0.135725803648284	
82	114	0	0.15993594925857	
72	118	0	0.125174494932069	
73	95	0	0.164538551198145	
23	120	0	0.15117073658809	
42	102	0	0.175682340688315	
53	100	0	0.180470870920503	
35	101	0	0.15480753796521	
65	96	0	0.132634837672901	
2	99	0	0.162983544794632	
83	96	1.53210777398272e-14	0.113103769389082	
12	114	0	0.166573886587444	
74	114	0	0.16494942355901	
75	92	0	0.136362382016106	
92	135	0	0.173848153128878	
54	112	0	0.163504290831629	
24	110	0	0.17965141376878	
84	98	0	0.154239288917719	
36	100	0	0.142993158776527	
66	103	0	0.153397631095507	
3	99	0	0.155463534763825	
76	119	0	0.144238530914458	
43	130	0	0.133679289860568	
13	99	0	0.157506994997776	
55	111	0	0.167302889008259	
25	109	2.22044604925031e-16	0.145786587337409	
77	104	0	0.135536794778464	
85	130	0	0.165108807347062	
56	104	0	0.131697265784897	
67	127	0	0.165131374724373	
93	101	0	0.159860250594227	
37	122	0	0.160434774855042	
14	110	6.70574706873595e-14	0.137516053811537	
94	94	0	0.165836068579033	
4	103	0	0.146560893356986	
44	103	0	0.1636355870255	
45	92	0	0.179049429382404	
57	104	0	0.156954980805733	
46	88	2.26485497023532e-14	0.119756392808065	
26	108	0	0.155388597194548	
78	109	0	0.152360970185183	
27	94	0	0.17237176719617	
86	114	1.11022302462516e-15	0.131258122684039	
15	107	0	0.144395953495656	
16	95	0	0.158983113815222	
68	120	8.88178419700125e-16	0.156088636115201	
5	103	0	0.157072363300602	
87	107	0	0.167651768904254	
58	124	0	0.146081484288738	
79	115	0	0.162292677911895	
38	113	0	0.148966594388833	
80	91	0	0.16124156777021	
95	102	0	0.172604945033784	
28	111	0	0.147903141247739	
47	116	0	0.153496434783054	
48	87	0	0.173172869985347	
29	95	0	0.14078409693265	
88	101	0	0.157166123916815	
59	100	0	0.166097336680854	
17	126	0	0.161653962494814	
69	128	0	0.187871746763089	
70	89	0	0.145628869530502	
6	107	0	0.14380210594641	
39	111	0	0.14491898551083	
40	93	0	0.180097685887967	
60	106	0	0.161802000641981	
89	107	0	0.123238670710467	
30	103	2.88657986402541e-15	0.131695844458135	
49	110	0	0.153396575078011	
18	103	0	0.161106178267394	
96	106	0	0.167377856777881	
7	106	0	0.174204179815203	
90	96	0	0.1765939080934	
19	120	2.22044604925031e-16	0.132181680869896	
50	96	0	0.158118153584584	
8	104	0	0.14268068547087	
97	113	0	0.180169361181438	
20	103	0	0.145842661062842	
98	97	0	0.152625636761168	
99	83	0	0.169002649412255	
9	130	0	0.192781173209245	
100	104	0	0.155361423949366	
10	124	0	0.159980352437611	
