simNum	IVsNum	P_random	eff_random	AIC_random	gamma_random	prop_random	P_fixed	eff_fixed	AIC_fixed	gamma_fixed	prop_fixed
46	88	0.000379340565788931	0.119724575713982	-572.842667205965	0.119721336987805_0.119724575713982	0.499999999999935_0.500000000000065	0.000379340565788931	0.119724575713982	-576.842667205965	0.119721336987805_0.119724575713982	0.499999999999935_0.500000000000065
3	99	4.46224168186226e-06	0.154210196772136	-644.863053407747	0.154205427215278_0.154210196772136	0.499999999999856_0.500000000000144	4.46224141162206e-06	0.154210196772136	-648.863053407747	0.154205427215278_0.154210196772136	0.499999999999856_0.500000000000144
65	96	3.87627946028444e-05	0.131680667694437	-641.429269582126	0.131680667694437_0.131684211449248	0.500000000000015_0.499999999999985	3.87627946028444e-05	0.131680667694437	-645.429269582126	0.131680667694437_0.131684211449248	0.500000000000015_0.499999999999985
80	91	2.67872549349248e-07	0.160961878006495	-611.799175539384	0.160961878006495_0.160963180424017	0.500000000000077_0.499999999999922	2.67872539498395e-07	0.160961878006495	-615.799175539384	0.160961878006495_0.160963180424017	0.500000000000077_0.499999999999922
36	100	0.00122409810990517	0.101184303665504	-646.884578727698	0.101184303665504_0.182225010676091	0.50028920876623_0.49971079123377	0.00122409810990517	0.101184303665504	-650.884578727698	0.101184303665504_0.182225010676091	0.50028920876623_0.49971079123377
20	103	5.73866919193724e-05	0.146129125239531	-655.371618029489	0.146121900266946_0.146129125239531	0.499999999999724_0.500000000000276	5.73866919196306e-05	0.146129125239531	-659.371618029489	0.146121900266946_0.146129125239531	0.499999999999724_0.500000000000276
16	95	5.79391453873286e-06	0.158685986354905	-622.537109495304	0.158681587911381_0.158685986354905	0.499999999999787_0.500000000000213	5.71290917846919e-06	0.158685986354905	-626.537109495304	0.158681587911381_0.158685986354905	0.499999999999787_0.500000000000213
15	107	2.94651035461497e-06	0.144203496672275	-704.758841113036	0.144196619467119_0.144203496672275	0.499999999999897_0.500000000000103	2.94651035908343e-06	0.144203496672275	-708.758841113036	0.144196619467119_0.144203496672275	0.499999999999897_0.500000000000103
58	124	2.90250657286911e-05	0.144572092275265	-787.802417438592	0.144572092275265_0.144576350878638	0.500000000000058_0.499999999999942	2.90250657289742e-05	0.144572092275265	-791.802417438592	0.144572092275265_0.144576350878638	0.500000000000058_0.499999999999942
55	111	1.67785758012041e-06	0.144958973955641	-716.731133704877	0.144958973955641_0.192827723843538	0.502414190533678_0.497585809466322	2.13170063149144e-06	0.143489047459584	-720.430555810767	0.143489047459584_0.194426305085189	0.500443964061818_0.499556035938182
4	103	0.000197425115600504	0.144550742780127	-664.931749566547	0.144550742780127_0.144556176108017	0.500000000000231_0.499999999999769	0.000197425115600172	0.144550742780127	-668.931749566547	0.144550742780127_0.144556176108017	0.500000000000231_0.499999999999769
